cwm,plot,traits,forest_type,longitude,latitude
15.47875,F10P1,afe,P. macroloba,-84.1390665,10.5851456
353.0725,F10P1,cfms,P. macroloba,-84.1390665,10.5851456
0.34375,F10P1,dm,P. macroloba,-84.1390665,10.5851456
25.575,F10P1,n,P. macroloba,-84.1390665,10.5851456
1.1875,F10P1,p,P. macroloba,-84.1390665,10.5851456
12.89933333,F10P2,afe,P. macroloba,-84.142235,10.5889037
432.3753333,F10P2,cfms,P. macroloba,-84.142235,10.5889037
0.65,F10P2,dm,P. macroloba,-84.142235,10.5889037
22.46666667,F10P2,n,P. macroloba,-84.142235,10.5889037
0.854,F10P2,p,P. macroloba,-84.142235,10.5889037
14.90181818,F10P3,afe,P. macroloba,-84.1468991,10.5849723
362.1881818,F10P3,cfms,P. macroloba,-84.1468991,10.5849723
0.521818182,F10P3,dm,P. macroloba,-84.1468991,10.5849723
25.61090909,F10P3,n,P. macroloba,-84.1468991,10.5849723
1.248181818,F10P3,p,P. macroloba,-84.1468991,10.5849723
15.27083333,F10P4,afe,P. macroloba,-84.1474144,10.5864947
385.4925,F10P4,cfms,P. macroloba,-84.1474144,10.5864947
0.535833333,F10P4,dm,P. macroloba,-84.1474144,10.5864947
28.525,F10P4,n,P. macroloba,-84.1474144,10.5864947
1.291666667,F10P4,p,P. macroloba,-84.1474144,10.5864947
11.11176471,F11P1,afe,Q. paraensis,-84.1829863,10.7037668
424.3694118,F11P1,cfms,Q. paraensis,-84.1829863,10.7037668
0.655294118,F11P1,dm,Q. paraensis,-84.1829863,10.7037668
21.70470588,F11P1,n,Q. paraensis,-84.1829863,10.7037668
0.851176471,F11P1,p,Q. paraensis,-84.1829863,10.7037668
11.041875,F11P2,afe,Q. paraensis,-84.1828223,10.7027446
419.7025,F11P2,cfms,Q. paraensis,-84.1828223,10.7027446
0.6625,F11P2,dm,Q. paraensis,-84.1828223,10.7027446
21.41,F11P2,n,Q. paraensis,-84.1828223,10.7027446
0.890625,F11P2,p,Q. paraensis,-84.1828223,10.7027446
10.32923077,F11P3,afe,Q. paraensis,-84.1892305,10.7019358
433.0707692,F11P3,cfms,Q. paraensis,-84.1892305,10.7019358
0.603076923,F11P3,dm,Q. paraensis,-84.1892305,10.7019358
21.14846154,F11P3,n,Q. paraensis,-84.1892305,10.7019358
0.836153846,F11P3,p,Q. paraensis,-84.1892305,10.7019358
14.09090909,F12P1,afe,Q. paraensis,-84.1791731,10.6806223
412.5654545,F12P1,cfms,Q. paraensis,-84.1791731,10.6806223
0.61,F12P1,dm,Q. paraensis,-84.1791731,10.6806223
22.86181818,F12P1,n,Q. paraensis,-84.1791731,10.6806223
0.909090909,F12P1,p,Q. paraensis,-84.1791731,10.6806223
12.966,F12P2,afe,P. macroloba,-84.1773902,10.676867
440.891,F12P2,cfms,P. macroloba,-84.1773902,10.676867
0.586,F12P2,dm,P. macroloba,-84.1773902,10.676867
23.616,F12P2,n,P. macroloba,-84.1773902,10.676867
0.947,F12P2,p,P. macroloba,-84.1773902,10.676867
13.95333333,F12P3,afe,P. macroloba,-84.1767144,10.6818638
420.0633333,F12P3,cfms,P. macroloba,-84.1767144,10.6818638
0.5775,F12P3,dm,P. macroloba,-84.1767144,10.6818638
23.7425,F12P3,n,P. macroloba,-84.1767144,10.6818638
0.95,F12P3,p,P. macroloba,-84.1767144,10.6818638
11.77363636,F12P4,afe,P. macroloba,-84.1743341,10.6776066
422.7972727,F12P4,cfms,P. macroloba,-84.1743341,10.6776066
0.586363636,F12P4,dm,P. macroloba,-84.1743341,10.6776066
23.00090909,F12P4,n,P. macroloba,-84.1743341,10.6776066
1.1,F12P4,p,P. macroloba,-84.1743341,10.6776066
12.44461538,F13P1,afe,Q. paraensis,-84.2388049,10.6909811
413.6261538,F13P1,cfms,Q. paraensis,-84.2388049,10.6909811
0.631538462,F13P1,dm,Q. paraensis,-84.2388049,10.6909811
20.81230769,F13P1,n,Q. paraensis,-84.2388049,10.6909811
0.912307692,F13P1,p,Q. paraensis,-84.2388049,10.6909811
