plot,forest_type,longitude,latitude,fdiv,feve,fdis
F10P1,P. macroloba,-84.1390665,10.5851456,0.633129183,0.759136155,1.47363092
F10P2,P. macroloba,-84.142235,10.5889037,0.848261372,0.75945665,1.513493341
F10P3,P. macroloba,-84.1468991,10.5849723,0.65652387,0.767281168,1.265546326
F10P4,P. macroloba,-84.1474144,10.5864947,0.582865482,0.653417283,1.740923241
F11P1,Q. paraensis,-84.1829863,10.7037668,0.765159285,0.828692052,1.789134652
F11P2,Q. paraensis,-84.1828223,10.7027446,0.704296375,0.752060524,2.022242397
F11P3,Q. paraensis,-84.1892305,10.7019358,0.846480961,0.862726032,1.855198696
F12P1,Q. paraensis,-84.1791731,10.6806223,0.817500739,0.767969858,2.011879103
F12P2,P. macroloba,-84.1773902,10.676867,0.679119301,0.843608594,1.832340863
F12P3,P. macroloba,-84.1767144,10.6818638,0.560998942,0.641983958,1.276343261
F12P4,P. macroloba,-84.1743341,10.6776066,0.606160436,0.728463125,1.591709602
F13P1,Q. paraensis,-84.2388049,10.6909811,0.759139658,0.805846987,1.910623426
F13P2,Q. paraensis,-84.2356011,10.6908347,0.808132342,0.828559499,2.184959438
F13P3,Q. paraensis,-84.2442516,10.6895657,0.80580045,0.627008243,1.792935915
F13P4,Q. paraensis,-84.2389339,10.6777063,0.821666147,0.731790898,1.563216784
F1P1,P. macroloba,-83.9567415,10.6073418,0.595529777,0.487211319,0.909353748
F1P2,P. macroloba,-83.9595468,10.6058258,0.604594058,0.651706245,1.298045095
F1P3,P. macroloba,-83.9555052,10.6041479,0.598330531,0.775058389,1.412482589
F1P4,P. macroloba,-83.954781,10.6009397,0.483309934,0.726765733,1.196267902
F2P1,P. macroloba,-83.9715025,10.609406,0.591380147,0.71880155,1.512008286
F2P2,P. macroloba,-83.97251,10.6126653,0.660851182,0.696382081,0.998169039
F2P3,P. macroloba,-83.969427,10.612848,0.617837931,0.772578277,1.64465533
F30P1,P. macroloba,-84.0639773,10.3883445,0.840765885,0.845769433,1.639070142
F30P2,P. macroloba,-84.0610744,10.3887788,0.684089936,0.700886922,1.262495696
F30P3,P. macroloba,-84.0609103,10.3858604,0.897349411,0.793668594,1.409074698
F30P4,P. macroloba,-84.0576018,10.3855502,0.705702232,0.788698551,1.253798779
F31P1,Foothills,-84.1523309,10.2892138,0.73074612,0.692387904,2.289929788
F31P2,Foothills,-84.1540249,10.292507,0.78721439,0.826319896,2.399690497
F32P1,Foothills,-84.1049182,10.261566,0.810954272,0.712685499,1.85772918
F32P2,Foothills,-84.1011962,10.2637361,0.720997963,0.75817736,1.894212792
F32P3,Foothills,-84.1007223,10.2667571,0.728492831,0.7645253,2.111284301
F33P1,Q. paraensis,-84.004355,10.2786407,0.751529983,0.707000522,1.484215107
F33P2,P. macroloba,-83.9980482,10.2771554,0.535426423,0.706880748,1.417575875
F33P3,P. macroloba,-84.0054834,10.2817664,0.639828582,0.685660927,1.602054431
