plot,forest_type,CRTM_90_X,CRTM_90_Y,longitude,latitude
F10P1,P.macroloba,484782.4125,1170463.975,-84.1390665,10.5851456
F10P2,P.macroloba,484435.8879,1170879.78,-84.142235,10.5889037
F10P3,P.macroloba,483925.3058,1170445.201,-84.1468991,10.5849723
F10P4,P.macroloba,483869.005,1170613.604,-84.1474144,10.5864947
F11P1,Q.paraensis,479984.143,1183586.15,-84.1829863,10.7037668
F11P2,Q.paraensis,480002.0157,1183473.08,-84.1828223,10.7027446
F11P3,Q.paraensis,479300.9976,1183384.048,-84.1892305,10.7019358
F12P1,Q.paraensis,480399.7593,1181026.078,-84.1791731,10.6806223
F12P2,P.macroloba,480594.5564,1180610.62,-84.1773902,10.676867
F12P3,P.macroloba,480668.8041,1181163.24,-84.1767144,10.6818638
F12P4,P.macroloba,480928.9238,1180692.234,-84.1743341,10.6776066
F13P1,Q.paraensis,473877.335,1182176.199,-84.2388049,10.6909811
F13P2,Q.paraensis,474227.7804,1182159.737,-84.2356011,10.6908347
F13P3,Q.paraensis,473281.3902,1182020.113,-84.2442516,10.6895657
F13P4,Q.paraensis,473862.0841,1180707.981,-84.2389339,10.6777063
F1P1,P.macroloba,504733.2893,1172915.825,-83.9567415,10.6073418
F1P2,P.macroloba,504426.3536,1172748.117,-83.9595468,10.6058258
F1P3,P.macroloba,504868.6172,1172562.597,-83.9555052,10.6041479
F1P4,P.macroloba,504947.9019,1172207.772,-83.954781,10.6009397
F2P1,P.macroloba,503118.1373,1173143.937,-83.9715025,10.609406
F2P2,P.macroloba,503007.8704,1173504.417,-83.97251,10.6126653
F2P3,P.macroloba,503345.2021,1173524.649,-83.969427,10.612848
F30P1,P.macroloba,492994.7544,1148695.085,-84.0639773,10.3883445
F30P2,P.macroloba,493312.6235,1148743.046,-84.0610744,10.3887788
F30P3,P.macroloba,493330.5274,1148420.273,-84.0609103,10.3858604
F30P4,P.macroloba,493692.7933,1148385.905,-84.0576018,10.3855502
F31P1,Foothills,483315.1641,1137734.587,-84.1523309,10.2892138
F31P2,Foothills,483129.8017,1138098.894,-84.1540249,10.292507
F32P1,Foothills,488507.2916,1134674.685,-84.1049182,10.261566
F32P2,Foothills,488915.076,1134914.574,-84.1011962,10.2637361
F32P3,Foothills,488967.0936,1135248.674,-84.1007223,10.2667571
F33P1,Q.paraensis,499522.9764,1136561.252,-84.004355,10.2786407
F33P2,P.macroloba,500213.7918,1136396.977,-83.9980482,10.2771554
F33P3,P.macroloba,499399.3871,1136906.954,-84.0054834,10.2817664
F33P4,Foothills,498526.8408,1136727.362,-84.0134494,10.2801424
F34P1,Foothills,491141.0406,1141285.855,-84.0808897,10.321349
F34P2,Foothills,491059.5078,1140689.353,-84.0816328,10.3159554
F34P3,Foothills,491168.8712,1140419.667,-84.0806336,10.3135173
F34P4,Foothills,490726.8317,1140998.101,-84.0846711,10.3187463
F35P1,Foothills,481920.9783,1137326.134,-84.1650578,10.2855145
F35P2,Foothills,481045.8061,1137625.982,-84.1730493,10.2882215
F36P1,Foothills,482798.8081,1142140.559,-84.1570649,10.3290489
F36P2,Foothills,482592.2489,1142338.967,-84.1589519,10.3308419
F37P1,P.macroloba,494869.9787,1150466.139,-84.0468537,10.4043607
F37P2,P.macroloba,494387.0404,1151779.031,-84.0512664,10.4162307
F37P3,P.macroloba,494496.5406,1152055.656,-84.0502667,10.418732
F37P4,P.macroloba,493739.2198,1151184.935,-84.0571824,10.4108581
F38P1,P.macroloba,489206.3616,1147331.638,-84.098572,10.376008
F38P2,Foothills,488903.0024,1146405.615,-84.1013397,10.3676343
F38P3,Q.paraensis,489768.9168,1147881.623,-84.093436,10.3809823
F38P4,P.macroloba,489997.2175,1148367.89,-84.0913523,10.3853795
F39P1,P.macroloba,500437.1434,1142390.214,-83.9960084,10.3313444
F39P2,P.macroloba,500211.5104,1142598.811,-83.9980687,10.3332305
F3P1,P.macroloba,496017.3472,1170331.878,-84.0363955,10.5839798
F3P2,P.macroloba,495732.7918,1170652.152,-84.0389963,10.5868753
F3P3,P.macroloba,495243.6223,1170672.847,-84.0434666,10.5870618
F3P4,P.macroloba,494874.8527,1170641.466,-84.0468366,10.5867776
F40P1,P.macroloba,500413.013,1143682.301,-83.9962286,10.343027
F40P2,P.macroloba,500397.5807,1144156.529,-83.9963695,10.3473148
F40P3,P.macroloba,500143.5261,1144726.38,-83.9986894,10.3524672
F40P4,P.macroloba,499577.5797,1144931.774,-84.0038574,10.3543243
F41P1,Foothills,498979.6463,1135161.167,-84.0093151,10.2659814
F41P2,Foothills,498531.7419,1135328.137,-84.0134041,10.267491
F41P3,Foothills,498426.3857,1134951.61,-84.0143658,10.2640865
F41P4,Foothills,498795.1665,1134876.266,-84.0109991,10.2634054
F41P5,Foothills,499083.2107,1135556.689,-84.0083697,10.2695576
F41P6,P.macroloba,500522.9154,1135379.209,-83.9952261,10.267953
F42P1,P.macroloba,498820.1608,1144144.944,-84.0107738,10.3472099
F42P2,P.macroloba,498985.6477,1144429.007,-84.0092627,10.3497784
F42P3,P.macroloba,499448.0393,1144431.645,-84.0050403,10.3498023
F42P4,Q.paraensis,499149.5599,1143810.27,-84.0077658,10.344184
F43P1,P.macroloba,499831.8607,1141489.894,-84.0015353,10.323204
F43P2,Q.paraensis,499095.8148,1141598.674,-84.008256,10.3241874
F43P3,P.macroloba,500136.1041,1141592.425,-83.9987572,10.324131
F44P1,Q.paraensis,487362.5687,1179168.57,-84.1155173,10.6638577
F44P2,Q.paraensis,487663.8012,1179436.337,-84.1127646,10.6662797
F44P3,P.macroloba,487882.0259,1178044.913,-84.1107653,10.6536999
F44P4,P.macroloba,487834.8814,1178540.744,-84.1111978,10.6581828
F45P1,Q.paraensis,490778.1331,1183461.135,-84.0843067,10.7026788
F45P2,P.macroloba,490991.0599,1183173.426,-84.0823594,10.700078
F46P1,Q.paraensis,492135.281,1188872.187,-84.0719112,10.7516056
F46P2,Q.paraensis,492447.5297,1188630.418,-84.0690556,10.7494203
F47P1,P.macroloba,494410.4983,1184171.834,-84.0511006,10.7091117
F47P2,Q.paraensis,494848.4849,1184021.773,-84.0470962,10.7077556
F47P3,Q.paraensis,494885.3288,1184419.894,-84.0467599,10.7113552
F48P1,Q.paraensis,496138.2175,1182103.643,-84.0353032,10.6904144
F48P2,P.macroloba,495826.6551,1182109.657,-84.0381514,10.6904685
F49P1,P.macroloba,488998.9677,1176527.927,-84.1005513,10.6399875
F49P2,P.macroloba,488623.2299,1176405.715,-84.1039852,10.6388814
F49P3,P.macroloba,488755.8975,1176079.822,-84.1027717,10.6359353
F4P1,P.macroloba,495730.0641,1164327.306,-84.039014,10.5296889
F4P2,P.macroloba,496113.1709,1164505.336,-84.0355138,10.531299
F50P1,Q.paraensis,499296.4671,1181525.659,-84.0064314,10.6851905
F50P2,P.macroloba,499453.7832,1180755.131,-84.0049931,10.6782238
F50P3,Q.paraensis,499858.7744,1181011.856,-84.001291,10.680545
F50P4,P.macroloba,500184.2473,1180747.614,-83.9983157,10.6781559
F51P1,Q.paraensis,487132.3802,1185595.094,-84.1176438,10.721962
F51P2,Q.paraensis,487013.5846,1186009.749,-84.1187313,10.7257107
F51P3,Q.paraensis,487331.1284,1186312.265,-84.1158291,10.728447
F52P1,Foothills,493077.0496,1141332.602,-84.0632124,10.3217756
F52P2,Foothills,493348.6883,1141859.385,-84.060733,10.3265391
F52P3,Q.paraensis,493508.1577,1144802.159,-84.0592819,10.353147
F52P4,Foothills,493348.2998,1144582.956,-84.0607413,10.3511647
F52P5,Q.paraensis,493202.2757,1144032.019,-84.0620738,10.3461831
F52P6,Q.paraensis,493133.4758,1143722.052,-84.0627015,10.3433803
F52P7,Q.paraensis,493819.1966,1144950.043,-84.0564418,10.3544846
F53P1,Foothills,502814.6588,1127367.024,-83.97431,10.195508
F53P2,Foothills,502499.4622,1127539.868,-83.9771867,10.197071
F54P1,Foothills,501560.3084,1128652.681,-83.9857582,10.2071333
F54P2,Foothills,501836.4556,1128596.334,-83.9832377,10.2066237
F54P3,Foothills,500659.9229,1129145.66,-83.9939764,10.2115909
F54P4,Foothills,500395.6993,1129311.984,-83.9963882,10.2130948
F54P5,Foothills,502925.0796,1129346.492,-83.9733006,10.2134057
F54P6,Foothills,503121.2358,1129624.96,-83.9715099,10.2159234
F5P1,P.macroloba,503433.7811,1156167.743,-83.9686333,10.4559144
F5P2,P.macroloba,503382.1235,1155821.646,-83.9691055,10.4527851
F5P3,P.macroloba,503331.4655,1155475.609,-83.9695685,10.4496564
F6P1,P.macroloba,508229.9021,1128970.327,-83.9248804,10.209997
F6P2,P.macroloba,507817.54,1128951.583,-83.9286443,10.2098284
F6P3,P.macroloba,507468.9747,1129059.208,-83.9318257,10.2108022
F7P1,P.macroloba,491191.4553,1154663.817,-84.0804603,10.4423079
F7P2,P.macroloba,490896.7461,1154657.63,-84.0831522,10.4422512
F8P1,P.macroloba,481409.6269,1165492.201,-84.1698641,10.5401782
F8P2,P.macroloba,481418.2952,1165772.775,-84.1697863,10.542715
F9P1,P.macroloba,467863.2904,1164945.733,-84.2936342,10.5351467
F9P2,P.macroloba,468047.3062,1164551.368,-84.2919495,10.5315826
F9P3,P.macroloba,467729.0682,1164483.542,-84.2948566,10.5309667
