familia,especie,coespec,af,afe,cfms,dm,n,p
FABACEAE/MIM.,Inga_acuminata,INGAAC,9622.51,17.93,443.67,0.66,33,1.1
FABACEAE/MIM.,Abarema_adenophora,ABARAD,14183.24,19.66,443.66,0.51,26.7,1.1
ANNONACEAE,Guatteria_aeruginosa,GUATAE,16736.08,11.64,319.17,0.49,22.2,1
MELIACEAE,Guarea_hoffmanniana,GUARHO,61130.53,17.45,344.81,0.61,28.11,1.5
SAPOTACEAE,Manilkara_staminodella,MANIST,13141.27,11.25,444.87,0.73,22.9,0.83
CHRYSOBALANACEAE,Licania_affinis,LICNAF,7019.36,7.52,449.84,0.73,17.3,0.6
FABACEAE/MIM.,Inga_alba,INGAAL,21991.37,13.98,450,0.5,33.34,1.18
APOCYNACEAE,Tabernaemontana_alba,TABRAL,10099.91,16.3,332.62,0.56,22.59,1
EUPHORBIACEAE,Hyeronima_alchorneoides,HYERAL,23878.5,13.87,280,0.64,25.11,1.16
FABACEAE/MIM.,Inga_allenii,INGAAE,17130.65,16.21,361.76,0.61,36.4,1.3
VOCHYSIACEAE,Vochysia_allenii,VOCHAL,3400.96,9.3,391.14,0.37,2.3,0.7
SIMAROUBACEAE,Simarouba_amara,SIMAAM,48523.14,16.63,350,0.36,27.85,0.95
COMBRETACEAE,Terminalia_amazonia,TERMAM,3016.55,17,400,0.74,24.22,1.44
FABACEAE/PAP.,Lecointea_amazonica,LECOAM,1917.45,9.96,452.82,0.8,27.2,1.2
LECYTHIDACEAE,Lecythis_ampla,LECYAM,2399.37,22.3,420,0.69,25.75,1.26
STERCULIACEAE,Theobroma_angustifolium,THEOAN,10815.4,15.33,472.01,0.49,23,1.4
TILIACEAE,Mortoniodendron_anisophyllum,MORTAN,9312.34,24.5,368.39,0.25,28.82,1.13
MALVACEAE,Hampea_appendiculata,HAMPAP,16079.4,17.67,330,0.32,31.97,1.66
BOMBACACEAE,Pachira_aquatica,PACHAQ,31463.08,14.48,320.19,0.41,23.9,1.4
