"","familia","especie","coespec","afe","cfms","dm","n","p"
"1","FABACEAE/MIM.","Inga_acuminata","INGAAC",17.93,443.67,0.66,33,1.1
"2","FABACEAE/MIM.","Abarema_adenophora","ABARAD",19.66,443.66,0.51,26.7,1.1
"3","ANNONACEAE","Guatteria_aeruginosa","GUATAE",11.64,319.17,0.49,22.2,1
"4","MELIACEAE","Guarea_hoffmanniana","GUARHO",17.45,344.81,0.61,28.11,1.5
"5","SAPOTACEAE","Manilkara_staminodella","MANIST",11.25,444.87,0.73,22.9,0.83
"6","CHRYSOBALANACEAE","Licania_affinis","LICNAF",7.52,449.84,0.73,17.3,0.6
"7","FABACEAE/MIM.","Inga_alba","INGAAL",13.98,450,0.5,33.34,1.18
"8","APOCYNACEAE","Tabernaemontana_alba","TABRAL",16.3,332.62,0.56,22.59,1
"9","EUPHORBIACEAE","Hyeronima_alchorneoides","HYERAL",13.87,280,0.64,25.11,1.16
"10","FABACEAE/MIM.","Inga_allenii","INGAAE",16.21,361.76,0.61,36.4,1.3
"11","VOCHYSIACEAE","Vochysia_allenii","VOCHAL",9.3,391.14,0.37,2.3,0.7
"12","SIMAROUBACEAE","Simarouba_amara","SIMAAM",16.63,350,0.36,27.85,0.95
"13","COMBRETACEAE","Terminalia_amazonia","TERMAM",17,400,0.74,24.22,1.44
"14","FABACEAE/PAP.","Lecointea_amazonica","LECOAM",9.96,452.82,0.8,27.2,1.2
"15","LECYTHIDACEAE","Lecythis_ampla","LECYAM",22.3,420,0.69,25.75,1.26
"16","STERCULIACEAE","Theobroma_angustifolium","THEOAN",15.33,472.01,0.49,23,1.4
"17","TILIACEAE","Mortoniodendron_anisophyllum","MORTAN",24.5,368.39,0.25,28.82,1.13
"18","MALVACEAE","Hampea_appendiculata","HAMPAP",17.67,330,0.32,31.97,1.66
"19","BOMBACACEAE","Pachira_aquatica","PACHAQ",14.48,320.19,0.41,23.9,1.4
"20","FLACOURTIACEAE","Casearia_arborea","CASEAR",19.3,440,0.57,32.58,1.05
"21","EUPHORBIACEAE","Pera_arborea","PERAAR",10,465.32,0.73,21.5,0.9
"22","APOCYNACEAE","Tabernaemontana_arborea","PESCAR",18.78,253.39,0.54,31.9,1.5
"23","ARALIACEAE","Dendropanax_arboreus","DENDAR",17.37,250,0.42,22.27,1.11
"24","LAURACEAE","Ocotea_atirrensis","OCOTAT",9.55,473.45,0.53,22.2,0.9
"25","SAPOTACEAE","Pradosia_atroviolacea","PRADAT",12.58,476.37,0.82,18.6,0.8
"26","HUMIRIACEAE","Vantanea_barbourii","VANTOC",5.96,502.49,0.79,15,0.4
"27","SAPOTACEAE","Pouteria_belizensis","POUTBE",8.3,430.94,0.73,19.3,0.8
"28","BORAGINACEAE","Cordia_bicolor","CORDBI",10.51,430,0.5,23.92,0.83
"29","CECROPIACEAE","Pourouma_bicolor","POURBI",13.61,390,0.32,24.21,0.92
"30","ICACINACEAE","Dendrobangia_boliviana","DENBBO",16.12,252.61,0.6,27.8,1.2
"31","BOMBACACEAE","Quararibea_bracteolosa","QUARBR",22.49,339.05,0.47,22.8,1.3
"32","CLUSIACEAE","Calophyllum_brasiliense","CALOBR",16.52,370,0.54,14.87,0.63
"33","COMBRETACEAE","Terminalia_bucidoides","TERMBU",16.48,223.7,0.69,23.6,1.7
"34","MELIACEAE","Guarea_bullata","GUARBU",24.21,370.5,0.6,26.6,1.7
"35","SAPOTACEAE","Pouteria_calistophylla","POUTCA",8.63,426.08,0.67,25.6,0.9
"36","LECYTHIDACEAE","Eschweilera_calyculata","ESCHCA",8.74,469.77,0.69,22.3,0.9
"37","SAPOTACEAE","Pouteria_campechiana","POUTCM",13.68,450,0.8,25.9,0.71
