code,plot
APEIME,F10P1
CECRIN,F10P1
DENDAR,F10P1
EUTEPR,F10P1
HERNDI,F10P1
IRIADE,F10P1
OCHRPY,F10P1
PENTMA,F10P1
POURBI,F10P1
POUTCU,F10P1
SOCREX,F10P1
WELFRE,F10P1
ABARAD,F10P2
BROSGU,F10P2
BROSLA,F10P2
CARAGU,F10P2
DIALGU,F10P2
ELAEGL,F10P2
EUTEPR,F10P2
GUARGE,F10P2
IRIADE,F10P2
ORMOCC,F10P2
PENTMA,F10P2
POUTDU,F10P2
QUALPO,F10P2
SLOAGU,F10P2
SOCREX,F10P2
TAPUGU,F10P2
TETRPA,F10P2
VANTOC,F10P2
WELFRE,F10P2
CARAGU,F10P3
CHIMPA,F10P3
IRIADE,F10P3
PENTMA,F10P3
POURBI,F10P3
POUTCA,F10P3
PTERRO,F10P3
STERRE,F10P3
TABRAL,F10P3
TERMBU,F10P3
TERMOL,F10P3
WELFRE,F10P3
ZANTPA,F10P3
CHIMPA,F10P4
DIALGU,F10P4
ESCHLO,F10P4
INGAAL,F10P4
IRIADE,F10P4
JACTCO,F10P4
LONCFE,F10P4
MORTAN,F10P4
PENTMA,F10P4
POUTDU,F10P4
SOCREX,F10P4
TALAGL,F10P4
THEOAN,F10P4
VITECO,F10P4
WELFRE,F10P4
CHRYCO,F11P1
COUEPO,F11P1
COUMMA,F11P1
DIALGU,F11P1
ELAEGL,F11P1
ESCHIN,F11P1
EUTEPR,F11P1
HIRTME,F11P1
IRIADE,F11P1
LICNAF,F11P1
LICNHY,F11P1
LICNKA,F11P1
MARAPA,F11P1
PENTMA,F11P1
PODOGU,F11P1
POUTTO,F11P1
QUALPO,F11P1
SOCREX,F11P1
SWARSP,F11P1
VOCHFE,F11P1
WELFRE,F11P1
CHIMPA,F11P2
CHRYCO,F11P2
COUMMA,F11P2
CUPASP,F11P2
DIALGU,F11P2
DIPTPA,F11P2
ELAEGL,F11P2
ENTESC,F11P2
EUTEPR,F11P2
IRIADE,F11P2
LICNAF,F11P2
LICNHY,F11P2
LICNSA,F11P2
MARAPA,F11P2
QUALPO,F11P2
SOCREX,F11P2
VANTOC,F11P2
VOCHAL,F11P2
VOCHFE,F11P2
WELFRE,F11P2
BEIL01,F11P3
CALOBR,F11P3
COUMMA,F11P3
DIALGU,F11P3
DIPTPA,F11P3
ENTESC,F11P3
EUTEPR,F11P3
IRIADE,F11P3
LICNAF,F11P3
LICNSA,F11P3
PENTMA,F11P3
PODOGU,F11P3
QUALPO,F11P3
SOCREX,F11P3
TAPUGU,F11P3
VOCHFE,F11P3
WELFRE,F11P3
BROSGU,F12P1
COUMMA,F12P1
CUPASP,F12P1
DIALGU,F12P1
EUTEPR,F12P1
INGAAL,F12P1
IRIADE,F12P1
LAETPR,F12P1
LICNAF,F12P1
LICNKA,F12P1
POUTSP,F12P1
SOCREX,F12P1
VIROKO,F12P1
VOCHFE,F12P1
WELFRE,F12P1
DIALGU,F12P2
ENTESC,F12P2
IRIADE,F12P2
LECYAM,F12P2
PENTMA,F12P2
POUTFP,F12P2
POUTTO,F12P2
SOCREX,F12P2
TABRAL,F12P2
VOCHAL,F12P2
VOCHFE,F12P2
WELFRE,F12P2
XYLOSE,F12P2
APEIME,F12P3
BROSLA,F12P3
CARAGU,F12P3
CORDBI,F12P3
COUMMA,F12P3
DIALGU,F12P3
DIPTPA,F12P3
EUTEPR,F12P3
IRIADE,F12P3
PENTMA,F12P3
POUTDU,F12P3
POUTSI,F12P3
SOCREX,F12P3
VATALU,F12P3
VOCHFE,F12P3
WELFRE,F12P3
CESPSA,F12P4
DIALGU,F12P4
DIPTPA,F12P4
DUSSMA,F12P4
ENTESC,F12P4
EUTEPR,F12P4
GUARGE,F12P4
IRIADE,F12P4
LACMPA,F12P4
PENTMA,F12P4
POUTCA,F12P4
SOCREX,F12P4
VOCHAL,F12P4
VOCHFE,F12P4
WELFRE,F12P4
BROSLA,F13P1
CUPALI,F13P1
DENBBO,F13P1
DIALGU,F13P1
ENTESC,F13P1
EUTEPR,F13P1
HIRTME,F13P1
IRIADE,F13P1
LICNHY,F13P1
MANIST,F13P1
MICRME,F13P1
OTOBNO,F13P1
QUALPO,F13P1
TAPIGU,F13P1
TETRPA,F13P1
WELFRE,F13P1
APEIME,F13P2
ASPISR,F13P2
BEILCO,F13P2
COJOCA,F13P2
DENBBO,F13P2
DIPTPA,F13P2
ELAEGL,F13P2
INGAAL,F13P2
INGATH,F13P2
IRIADE,F13P2
LACMPA,F13P2
LICNHY,F13P2
OTOBNO,F13P2
POUTDU,F13P2
QUALPO,F13P2
SLOARU,F13P2
SOCREX,F13P2
TERMAM,F13P2
TETRPA,F13P2
VATALU,F13P2
VIROKO,F13P2
VIROMU,F13P2
VOCHAL,F13P2
VOCHFE,F13P2
WELFRE,F13P2
APEIME,F13P3
BROSGU,F13P3
BROSLA,F13P3
CARAGU,F13P3
CUPALI,F13P3
CYNORE,F13P3
DENBBO,F13P3
DIALGU,F13P3
ELAEGL,F13P3
EUTEPR,F13P3
IRIADE,F13P3
MANIST,F13P3
PERAAR,F13P3
PRADAT,F13P3
SOCREX,F13P3
TAPIGU,F13P3
TETRPA,F13P3
VOCHFE,F13P3
WELFRE,F13P3
AMPEMA,F13P4
BROSGU,F13P4
BROSLA,F13P4
DIALGU,F13P4
ELAEGL,F13P4
EUTEPR,F13P4
IRIADE,F13P4
OTOBNO,F13P4
PENTMA,F13P4
POUTSP,F13P4
QUALPO,F13P4
SOCREX,F13P4
TETRPA,F13P4
VATALU,F13P4
WELFRE,F13P4
CARAGU,F1P1
CEIBPE,F1P1
PENTMA,F1P1
PSYCPA,F1P1
PTEROF,F1P1
TAPIGU,F1P1
ALCOFL,F1P2
APEIME,F1P2
CARAGU,F1P2
DUSSMA,F1P2
GUATAE,F1P2
HERNDI,F1P2
PENTMA,F1P2
PTEROF,F1P2
CARAGU,F1P3
CECRIN,F1P3
CHIMPA,F1P3
DIPTPA,F1P3
PENTMA,F1P3
POUTSP,F1P3
TAPIGU,F1P3
APEIME,F1P4
CARAGU,F1P4
GRIACA,F1P4
MINQGU,F1P4
PENTMA,F1P4
POUTSP,F1P4
WELFRE,F1P4
APEIME,F2P1
BROSLA,F2P1
DENDAR,F2P1
GUATAE,F2P1
HERNDI,F2P1
LECOAM,F2P1
MACRCO,F2P1
PENTMA,F2P1
PROTPI,F2P1
PSYCPA,F2P1
SOCREX,F2P1
TETRPA,F2P1
UNONPI,F2P1
WELFRE,F2P1
BILLCO,F2P2
CESPSA,F2P2
DENDAR,F2P2
HERNDI,F2P2
LACMPA,F2P2
PENTMA,F2P2
POURMI,F2P2
SOCREX,F2P2
WELFRE,F2P2
ALCOFL,F2P3
APEIME,F2P3
DENDAR,F2P3
DUSSMA,F2P3
HYERAL,F2P3
LAETPR,F2P3
MACRCO,F2P3
PENTMA,F2P3
POURMI,F2P3
POUTBE,F2P3
PSEUSU,F2P3
ROLLPI,F2P3
SOCREX,F2P3
WELFRE,F2P3
BROSLA,F30P1
CHRYCO,F30P1
COUEPO,F30P1
CUPASP,F30P1
ELAEGL,F30P1
EUTEPR,F30P1
IRIADE,F30P1
LICNAF,F30P1
LICNHY,F30P1
MARAPA,F30P1
MICRCR,F30P1
PENTMA,F30P1
PERAAR,F30P1
POUTCM,F30P1
POUTDU,F30P1
SLOASP,F30P1
SOCREX,F30P1
TALAGL,F30P1
TAPIGU,F30P1
TETRPA,F30P1
WELFRE,F30P1
BALIEL,F30P2
BROSGU,F30P2
BROSLA,F30P2
CESPSA,F30P2
EUTEPR,F30P2
INGALE,F30P2
IRIADE,F30P2
PENTMA,F30P2
PROTPI,F30P2
SOCREX,F30P2
TAPIGU,F30P2
WELFRE,F30P2
CARAGU,F30P3
CORDBI,F30P3
EUTEPR,F30P3
HIRTTR,F30P3
HYEROB,F30P3
LICNHY,F30P3
MARAPA,F30P3
MICRCR,F30P3
PENTMA,F30P3
PROTPA,F30P3
SCLECO,F30P3
SOCREX,F30P3
TAPIGU,F30P3
WELFRE,F30P3
BALIEL,F30P4
BROSLA,F30P4
BYRSAR,F30P4
CARAGU,F30P4
DENDAR,F30P4
EUGE01,F30P4
EUTEPR,F30P4
GUARKU,F30P4
INGA01,F30P4
INGASE,F30P4
IRIADE,F30P4
PENTMA,F30P4
POUT01,F30P4
PROTPA,F30P4
PROTRA,F30P4
SIMAAM,F30P4
SOCREX,F30P4
TAPIGU,F30P4
TERMBU,F30P4
UNONSP,F30P4
VOCHFE,F30P4
WELFRE,F30P4
CALOBR,F31P1
CECRIN,F31P1
CHRYCO,F31P1
DUSS01,F31P1
EUGE01,F31P1
HIRTTR,F31P1
LICNSP,F31P1
MACAMA,F31P1
MARAPA,F31P1
MOURGL,F31P1
OCOTIN,F31P1
PROTRA,F31P1
PROTSP,F31P1
PTERRO,F31P1
SAPIRI,F31P1
STEPCO,F31P1
STRYMI,F31P1
TAPUGU,F31P1
VIROSE,F31P1
VOCHAL,F31P1
APEIME,F31P2
CASEAR,F31P2
CECRIN,F31P2
CECROB,F31P2
CHRYCO,F31P2
COJOCO,F31P2
CONORU,F31P2
FICUSP,F31P2
INGASE,F31P2
IRIADE,F31P2
MARAPA,F31P2
OCOTIN,F31P2
POURBI,F31P2
POUT02,F31P2
PTERRO,F31P2
ROLLPI,F31P2
TOVOWE,F31P2
VIROSE,F31P2
VITECO,F31P2
CALTCO,F32P1
CONORU,F32P1
FICUSP,F32P1
GUAR01,F32P1
GUAR02,F32P1
GUARGL,F32P1
INGA02,F32P1
INGACH,F32P1
INGASE,F32P1
NAUCNA,F32P1
POUT03,F32P1
POUT04,F32P1
SAPISP,F32P1
CONORU,F32P2
EUGE01,F32P2
FICUSP,F32P2
GUAR01,F32P2
GUARBU,F32P2
HAMPAP,F32P2
INGA02,F32P2
INGASE,F32P2
NECTSP,F32P2
POSOLA,F32P2
POUT03,F32P2
POUT04,F32P2
PTERRO,F32P2
ARDIFI,F32P3
CONORU,F32P3
DUSS01,F32P3
GUAR01,F32P3
GUARBU,F32P3
INGAAL,F32P3
NECTSP,F32P3
POUT03,F32P3
POUT05,F32P3
PTERRO,F32P3
TOVOWE,F32P3
COUEPO,F33P1
ELAEGL,F33P1
EUGE01,F33P1
EUTEPR,F33P1
INGACH,F33P1
INGALE,F33P1
JACACO,F33P1
MANICH,F33P1
MANIZA,F33P1
MARAPA,F33P1
MINQGU,F33P1
POUT06,F33P1
POUT07,F33P1
SOCREX,F33P1
TAPIGU,F33P1
TAPUGU,F33P1
THEOSP,F33P1
CHRYCO,F33P2
HAMPAP,F33P2
MINQGU,F33P2
PENTMA,F33P2
POURBI,F33P2
POUTFP,F33P2
PROTRA,F33P2
SOCREX,F33P2
VOCHFE,F33P2
BROSGU,F33P3
CARAGU,F33P3
CORDBI,F33P3
DENDAR,F33P3
DUSSMA,F33P3
GUARBU,F33P3
HAMPAP,F33P3
INGA03,F33P3
INGACH,F33P3
MARAPA,F33P3
PACHAQ,F33P3
PENTMA,F33P3
SOCREX,F33P3
TAPIGU,F33P3
ZYGISP,F33P3
APEIME,F33P4
BYRSAR,F33P4
CASEAR,F33P4
CESPSA,F33P4
COUEPO,F33P4
GUARBU,F33P4
INGA04,F33P4
MACRCO,F33P4
SCLECO,F33P4
STRYMI,F33P4
TAPIGU,F33P4
VOCHAL,F33P4
ZYGISP,F33P4
APEIME,F34P1
BILLCO,F34P1
CEDROD,F34P1
CHIMPA,F34P1
EUTEPR,F34P1
FICUSP,F34P1
GUARGR,F34P1
GUARKU,F34P1
INGA05,F34P1
INGAAL,F34P1
IRIADE,F34P1
MARAPA,F34P1
MINQGU,F34P1
PACHAQ,F34P1
POUT08,F34P1
PTERRO,F34P1
TAPUGU,F34P1
TERMAM,F34P1
VOCHGU,F34P1
ANDIIN,F34P2
APEIME,F34P2
ARDIFI,F34P2
COUEPO,F34P2
DUSSMA,F34P2
DYSTPA,F34P2
GARCMA,F34P2
GUARKU,F34P2
HYERAL,F34P2
IRIADE,F34P2
OCOTIN,F34P2
PTERRO,F34P2
QUARBR,F34P2
TERMSP,F34P2
VOCHAL,F34P2
ANDIIN,F34P3
APEIME,F34P3
DUSSMA,F34P3
DYSTPA,F34P3
GARCSP,F34P3
GUARKU,F34P3
ILEXSK,F34P3
INGA05,F34P3
INGATH,F34P3
IRIADE,F34P3
MANICH,F34P3
NECTSP,F34P3
POURMI,F34P3
PROTPI,F34P3
SOCREX,F34P3
VITECO,F34P3
VOCHAL,F34P3
ALCOFL,F34P4
APEIME,F34P4
BYRSAR,F34P4
CARAGU,F34P4
CASEAR,F34P4
DUSSMA,F34P4
GUAR03,F34P4
HERNDI,F34P4
ILEXSK,F34P4
INGA05,F34P4
IRIADE,F34P4
LECYAM,F34P4
POURBI,F34P4
QUAROB,F34P4
SCLECO,F34P4
TAPIGU,F34P4
TERMAM,F34P4
VOCHAL,F34P4
CASESP,F35P1
DENDSP,F35P1
EUTEPR,F35P1
HIRTTR,F35P1
IRIADE,F35P1
MACAMA,F35P1
MARAPA,F35P1
MOURGL,F35P1
NECTSP,F35P1
OCOTIN,F35P1
QUAROB,F35P1
SLOASP,F35P1
TAPUGU,F35P1
VIROSP,F35P1
VOCHAL,F35P1
BILLCO,F35P2
CASESP,F35P2
CONORU,F35P2
CORDME,F35P2
CUPASP,F35P2
EUTEPR,F35P2
GUAR03,F35P2
GUETSP,F35P2
HIRTTR,F35P2
IRIADE,F35P2
LONCSP,F35P2
POURBI,F35P2
PTERRO,F35P2
SAPIGL,F35P2
TERMBU,F35P2
VIROSE,F35P2
BROSLA,F36P1
CARAGU,F36P1
CESPSA,F36P1
DUSSMA,F36P1
EUTEPR,F36P1
FICUSP,F36P1
GUARBU,F36P1
GUARKU,F36P1
INGACH,F36P1
IRIADE,F36P1
MACAMA,F36P1
MINQGU,F36P1
POUT05,F36P1
PSEUSU,F36P1
SOCREX,F36P1
STRYMI,F36P1
TERMBU,F36P1
VIROKO,F36P1
VOCHAL,F36P1
VOCHFE,F36P1
BILLCO,F36P2
CECRIN,F36P2
CESPSA,F36P2
CHRYCO,F36P2
EUTEPR,F36P2
GUARKU,F36P2
INGA06,F36P2
INGACH,F36P2
IRIADE,F36P2
OCOTSP,F36P2
POURBI,F36P2
POURMI,F36P2
POUT09,F36P2
STRYMI,F36P2
VIROSE,F36P2
VOCHAL,F36P2
ALCOFL,F37P1
ESCHCA,F37P1
EUTEPR,F37P1
GUARKU,F37P1
ILEXSK,F37P1
IRIADE,F37P1
LAETPR,F37P1
LICNHY,F37P1
MACRCO,F37P1
MINQGU,F37P1
PENTMA,F37P1
POUTRE,F37P1
SOCREX,F37P1
TAPIGU,F37P1
TETRPA,F37P1
WELFRE,F37P1
ALCOFL,F37P2
BALIEL,F37P2
EUTEPR,F37P2
GUATRE,F37P2
HUMIDI,F37P2
IRIADE,F37P2
LICNAF,F37P2
MARAPA,F37P2
PENTMA,F37P2
SIMAAM,F37P2
SLOASP,F37P2
SOCREX,F37P2
STERRE,F37P2
UNONSP,F37P2
VOCHFE,F37P2
WELFRE,F37P2
ALCOFL,F37P3
BALIEL,F37P3
BYRSAR,F37P3
CORDBI,F37P3
EUTEPR,F37P3
GUATAE,F37P3
HYEROB,F37P3
LICNAF,F37P3
LICNHY,F37P3
MANIZA,F37P3
MARAPA,F37P3
PENTMA,F37P3
SLOASP,F37P3
SOCREX,F37P3
VOCHFE,F37P3
WELFRE,F37P3
BALIEL,F37P4
CALOBR,F37P4
ELAEGL,F37P4
EUTEPR,F37P4
INGALE,F37P4
IRIADE,F37P4
LACUPA,F37P4
LICNAF,F37P4
ORMOIN,F37P4
PENTMA,F37P4
PERAAR,F37P4
POUTDU,F37P4
PROTPA,F37P4
SOCREX,F37P4
TERMAM,F37P4
WELFRE,F37P4
APEIME,F38P1
ARDIFI,F38P1
CUPASP,F38P1
EUTEPR,F38P1
HERNDI,F38P1
INGALE,F38P1
IRIADE,F38P1
LONCSP,F38P1
MINQGU,F38P1
OCOTSP,F38P1
PENTMA,F38P1
POURBI,F38P1
POURMI,F38P1
POUT05,F38P1
PROTPA,F38P1
PTERRO,F38P1
SOCREX,F38P1
WELFRE,F38P1
ALCOFL,F38P2
BROSLA,F38P2
CESPSA,F38P2
ELAEGL,F38P2
EUTEPR,F38P2
HAMPAP,F38P2
HYERAL,F38P2
INGA05,F38P2
IRIADE,F38P2
JACACO,F38P2
MACRCO,F38P2
MANICH,F38P2
MINQGU,F38P2
QUARBR,F38P2
SIMAAM,F38P2
SOCREX,F38P2
STERRE,F38P2
STRYMI,F38P2
TAPIGU,F38P2
UNONSP,F38P2
VOCHFE,F38P2
WELFRE,F38P2
COUEPO,F38P3
ELAEGL,F38P3
EUTEPR,F38P3
LICNAF,F38P3
SLOASP,F38P3
SOCREX,F38P3
TAPIGU,F38P3
VANTOC,F38P3
VOCHFE,F38P3
WELFRE,F38P3
BROSGU,F38P4
CESPSA,F38P4
DENDAR,F38P4
DUSSMA,F38P4
HUMIDI,F38P4
HYERAL,F38P4
IRIADE,F38P4
MACRCO,F38P4
MANICH,F38P4
MINQGU,F38P4
PARATR,F38P4
PENTMA,F38P4
POURBI,F38P4
POUTDU,F38P4
PROTPA,F38P4
PSEUSU,F38P4
QUARBR,F38P4
SOCREX,F38P4
TAPIGU,F38P4
TERMAM,F38P4
WELFRE,F38P4
ASPISR,F39P1
CARAGU,F39P1
CASEAR,F39P1
EUTEPR,F39P1
GUATAE,F39P1
HIRTTR,F39P1
IRIADE,F39P1
LAETPR,F39P1
LICNAF,F39P1
MARAPA,F39P1
MICRCR,F39P1
MINQGU,F39P1
OCOTIN,F39P1
PENTMA,F39P1
POUTDU,F39P1
POUTFP,F39P1
SOCREX,F39P1
TAPIGU,F39P1
APEIME,F39P2
CALTCO,F39P2
CASEAR,F39P2
COCCTU,F39P2
CONCPL,F39P2
DUSSMA,F39P2
EUTEPR,F39P2
HERNDI,F39P2
INGAPE,F39P2
IRIADE,F39P2
LECYAM,F39P2
MINQGU,F39P2
PENTMA,F39P2
POUTDU,F39P2
ROLLPI,F39P2
SOCREX,F39P2
STRYMI,F39P2
