plot,especies
F13P2,25
F54P6,23
F30P4,22
F38P2,22
F40P2,22
F43P2,22
F51P1,22
F52P2,22
F11P1,21
F30P1,21
F38P4,21
F45P2,21
F52P5,21
F52P6,21
F11P2,20
F31P1,20
F36P1,20
F43P3,20
F48P2,20
F51P3,20
F10P2,19
F13P3,19
F31P2,19
F34P1,19
F39P2,19
F41P3,19
F42P4,19
F43P1,19
F34P4,18
F38P1,18
F39P1,18
F45P1,18
F50P3,18
F52P3,18
F6P2,18
F11P3,17
F33P1,17
F34P3,17
F3P4,17
F41P1,17
F44P1,17
F44P2,17
F47P2,17
F54P2,17
F12P3,16
F13P1,16
F35P2,16
F36P2,16
F37P1,16
F37P2,16
F37P3,16
F37P4,16
F3P1,16
F40P3,16
F41P5,16
F49P2,16
F50P1,16
F52P1,16
F52P4,16
F54P1,16
F10P4,15
F12P1,15
F12P4,15
F13P4,15
F33P3,15
F34P2,15
F35P1,15
F42P3,15
F44P3,15
F47P1,15
F47P3,15
F50P2,15
F51P2,15
F52P7,15
F53P1,15
F54P5,15
F2P1,14
F2P3,14
F30P3,14
F3P2,14
F44P4,14
F46P1,14
F46P2,14
F48P1,14
F49P3,14
F4P2,14
F7P2,14
F10P3,13
F12P2,13
F32P1,13
F32P2,13
F33P4,13
F40P1,13
F41P2,13
F41P4,13
F41P6,13
F42P1,13
F49P1,13
F54P3,13
F7P1,13
F8P1,13
F10P1,12
F30P2,12
F5P1,12
F5P3,12
F6P3,12
F9P2,12
F32P3,11
F3P3,11
F42P2,11
F4P1,11
F53P2,11
F54P4,11
F5P2,11
F38P3,10
F40P4,10
F2P2,9
F33P2,9
F50P4,9
F6P1,9
F8P2,9
F9P1,9
F1P2,8
F9P3,8
F1P3,7
F1P4,7
F1P1,6
