familia,especie,fijacion_nitrogeno,diseminacion/dispersion,sist.sexual,polinizacion,resprout_capacity
FABACEAE/CAES.,Cynometra_retusa,NA,DVAR,H,PI,40
FABACEAE/PAP.,Lecointea_amazonica,NA,DV,H,PI,20
EUPHORBIACEAE,Alchorneopsis_floribunda,NO,DV,D,PI,60
ULMACEAE,Ampelocera_macrocarpa,NO,DV,H,PI,20
ANNONACEAE,Annona_montana,NO,DNV,H,PI,20
TILIACEAE,Apeiba_membranacea,NO,DVAR,H,PI,40
MYRSINACEAE,Ardisia_fimbrillifera,NO,DV,H,PI,20
APOCYNACEAE,Aspidosperma_sp.,NO,DW,H,PI,20
APOCYNACEAE,Aspidosperma_sp.01,NO,DW,H,PI,20
APOCYNACEAE,Aspidosperma_spruceanum,NO,DW,H,PI,20
LAURACEAE,Beilschmiedia_costaricensis,NO,DV,H,PI,20
LAURACEAE,Beilschmiedia_sp.,NO,DV,H,PI,20
HIPPOCASTANACEAE,Billia_colombiana,NO,NV,H,PI,20
MORACEAE,Brosimum_lactescens,NO,DVAR,D,PVAR,20
MORACEAE,Brosimum_panamense,NO,DVAR,D,PVAR,20
MALPIGHIACEAE,Byrsonima_crispa,NO,DVAR,H,PI,40
MALPIGHIACEAE,Byrsonima_sp.,NO,DVAR,H,PI,40
ICACINACEAE,Calatola_costaricensis,NO,DNV,H,PI,20
CLUSIACEAE,Calophyllum_brasiliense,NO,DV,VAR,PI,20
MELIACEAE,Carapa_guianensis,NO,DV,M,PI,20
FLACOURTIACEAE,Casearia_arborea,NO,DVAR,H,PI,40
FLACOURTIACEAE,Casearia_sp.,NO,DV,H,PI,40
CECROPIACEAE,Cecropia_insignis,NO,DVAR,D,PVAR,20
CECROPIACEAE,Cecropia_obtusifolia,NO,DVAR,D,PVAR,20
CECROPIACEAE,Cecropia_peltata,NO,DVAR,D,PVAR,20
MELIACEAE,Cedrela_odorata,NO,DW,M,PI,60
BOMBACACEAE,Ceiba_pentandra,NO,DW,H,PMA,20
OCHNACEAE,Cespedesia_macrophylla,NO,DW,H,PI,40
RUBIACEAE,Chimarrhis_parviflora,NO,DW,H,PI,40
SAPOTACEAE,Chrysophyllum_colombianum,NO,DV,M,PI,20
CLETHRACEAE,Clethra_mexicana,NO,DW,H,PI,60
POLYGONACEAE,Coccoloba_tuerckheimii,NO,DV,D,I,40
EUPHORBIACEAE,Conceveiba_pleiostemona,NO,DA,D,PI,60
MELASTOMATACEAE,Conostegia_rufescens,NO,DV,H,I,20
BORAGINACEAE,Cordia_bicolor,NO,DNV,H,PI,20
BORAGINACEAE,Cordia_cymosa,NO,DV,H,PI,20
BORAGINACEAE,Cordia_lucidula,NO,DV,H,PI,20
BORAGINACEAE,Cordia_megalantha,NO,DV,H,PI,20
BORAGINACEAE,Cordia_sp.,NO,DV,H,PI,20
CHRYSOBALANACEAE,Couepia_polyandra,NO,DNV,H,PI,20
APOCYNACEAE,Couma_macrocarpa,NO,DW,H,PI,20
EUPHORBIACEAE,Croton_smithianus,NO,DA,M,PI,20
SAPINDACEAE,Cupania_livida,NO,DNV,H,PI,20
SAPINDACEAE,Cupania_sp.,NO,DNV,H,PI,20
ICACINACEAE,Dendrobangia_boliviana,NO,DV,H,PI,20
ARALIACEAE,Dendropanax_arboreus,NO,DV,D,PI,60
ARALIACEAE,Dendropanax_sp.,NO,DV,D,PI,60
FABACEAE/CAES.,Dialium_guianense,NO,DVAR,H,PI,40
DICHAPETALACEAE,Dichapetalum_morenoi,NO,DNV,H,PI,20
FABACEAE,Dipteryx_panamensis,NO,DVAR,H,PI,20
CLUSIACEAE,Dystovomita_paniculata,NO,DV,D,PI,60
SAPOTACEAE,Elaeoluma_glabrescens,NO,DV,D,PI,40
LECYTHIDACEAE,Eschweilera_calyculata,NO,DNV,H,PI,20
LECYTHIDACEAE,Eschweilera_integrifolia,NO,DNV,H,PI,20
LECYTHIDACEAE,Eschweilera_longirachis,NO,DNV,H,PI,20
LECYTHIDACEAE,Eschweilera_sp.01,NO,DNV,H,PI,20
LECYTHIDACEAE,Eschweilera_sp.02,NO,DNV,H,PI,20
LECYTHIDACEAE,Eschweilera_sp.03,NO,DNV,H,PI,20
MYRTACEAE,Eugenia_sp.01,NO,DV,H,PI,20
ARECACEAE,Euterpe_precatoria,NO,DV,M,PI,0
MORACEAE,Ficus_sp.,NO,DV,M,PI,20
CLUSIACEAE,Garcinia_madruno,NO,DV,D,PI,20
CLUSIACEAE,Garcinia_sp.,NO,DV,D,PI,20
TILIACEAE,Goethalsia_meiantha,NO,DW,H,PI,40
LECYTHIDACEAE,Grias_cauliflora,NO,DVAR,H,PI,20
MELIACEAE,Guarea_bullata,NO,DV,D,PI,40
MELIACEAE,Guarea_gentryi,NO,DV,D,PI,40
MELIACEAE,Guarea_glabra,NO,DV,D,PI,40
MELIACEAE,Guarea_grandifolia,NO,DV,D,PI,40
MELIACEAE,Guarea_hoffmanniana,NO,DV,D,PI,40
MELIACEAE,Guarea_kunthiana,NO,DV,D,PI,40
MELIACEAE,Guarea_sp.01,NO,DV,D,PI,40
MELIACEAE,Guarea_sp.02,NO,DV,D,PI,40
MELIACEAE,Guarea_sp.03,NO,DV,D,PI,40
ANNONACEAE,Guatteria_aeruginosa,NO,DV,H,PI,20
ANNONACEAE,Guatteria_recurvisepala,NO,DV,H,PI,20
RUBIACEAE,Guettarda_sp.,NO,DV,H,PI,20
MALVACEAE,Hampea_appendiculata,NO,DV,D,PI,20
HERNANDIACEAE,Hernandia_didymantha,NO,DV,M,PI,40
CHRYSOBALANACEAE,Hirtella_media,NO,DV,H,PI,20
CHRYSOBALANACEAE,Hirtella_sp.,NO,DNV,H,PI,20
