N,D,Q,U,plot,redundancy,forest_type,longitude,latitude
12,0.810950413,0.469914627,0.579461604,F10P1,0.420538396,P. macroloba,-84.1390665,10.5851456
19,0.883975026,0.454815667,0.514511897,F10P2,0.485488103,P. macroloba,-84.142235,10.5889037
13,0.729766804,0.448749058,0.614921172,F10P3,0.385078828,P. macroloba,-84.1468991,10.5849723
15,0.612476371,0.398418429,0.650504163,F10P4,0.349495837,P. macroloba,-84.1474144,10.5864947
21,0.835909631,0.483023919,0.577842271,F11P1,0.422157729,Q. paraensis,-84.1829863,10.7037668
20,0.888888889,0.459310558,0.516724378,F11P2,0.483275622,Q. paraensis,-84.1828223,10.7027446
17,0.81,0.48834821,0.602899025,F11P3,0.397100975,Q. paraensis,-84.1892305,10.7019358
15,0.866735537,0.452015059,0.521514395,F12P1,0.478485605,Q. paraensis,-84.1791731,10.6806223
13,0.832409972,0.431411211,0.518267711,F12P2,0.481732289,P. macroloba,-84.1773902,10.676867
16,0.799039781,0.423014511,0.529403568,F12P3,0.470596432,P. macroloba,-84.1767144,10.6818638
15,0.81852552,0.47542931,0.58083627,F12P4,0.41916373,P. macroloba,-84.1743341,10.6776066
16,0.73125,0.490286413,0.670477146,F13P1,0.329522854,Q. paraensis,-84.2388049,10.6909811
25,0.841145833,0.485166626,0.576792522,F13P2,0.423207478,Q. paraensis,-84.2356011,10.6908347
19,0.858024691,0.47499186,0.553587636,F13P3,0.446412364,Q. paraensis,-84.2442516,10.6895657
15,0.858725762,0.460935658,0.536767009,F13P4,0.463232991,Q. paraensis,-84.2389339,10.6777063
6,0.479166667,0.014793828,0.030874077,F1P1,0.969125923,P. macroloba,-83.9567415,10.6073418
8,0.628472222,0.016714059,0.026594747,F1P2,0.973405253,P. macroloba,-83.9595468,10.6058258
7,0.73,0.03493686,0.047858713,F1P3,0.952141287,P. macroloba,-83.9555052,10.6041479
7,0.607438017,0.110811199,0.182423878,F1P4,0.817576122,P. macroloba,-83.954781,10.6009397
