PLOT,FOREST_TYPE,CRTM_90_X,CRTM_90_Y,SAND,LIMO,CLAY,pH,ACIDITY,Ca,Mg,K,P,OrganicMatter,ELEV,SLOPE_PER,SLOPE_DEG,PREC,PRECDRIEST,PRECCV,TEMP,TEMPMIN,TEMPSD
F10P1,P. macroloba,484782.4125,1170463.975,35.21,21.6,43.19,4.7,7.26,4.47,1.83,0.22,2,4.39,133,11.1,5.71,4001,136,33,254,199,675
F10P2,P. macroloba,484435.8879,1170879.78,29.2,19.6,51.2,4.4,3.4,0.62,0.47,0.06,3.2,6.8,228,27.66,14.72,4301,151,32,250,196,660
F10P3,P. macroloba,483925.3058,1170445.201,39.21,27.59,33.19,5.7,0.22,11.02,3.78,0.28,1.8,4.6,187,17.16,10.32,4181,145,33,251,197,665
F10P4,P. macroloba,483869.005,1170613.604,25.21,29.59,45.19,5.9,1.57,6.81,2.89,0.1,1.3,1.9,220,18.12,10.02,4088,145,33,252,197,665
F11P1,Q. paraensis,479984.143,1183586.15,23.21,13.2,63.59,4.5,2.54,0.15,0.3,0.05,3,6.6,40,16.93,8.59,3658,83,39,258,204,649
F11P2,Q. paraensis,480002.0157,1183473.08,22.81,13.6,63.59,4.6,2.28,0.14,0.46,0.06,2.7,7.02,44,8.44,5.05,3658,84,39,258,204,655
F11P3,Q. paraensis,479300.9976,1183384.048,26.82,11.6,61.59,4.2,2.76,0.13,0.15,0.06,4.6,7.89,40,0,0,3623,85,40,258,203,634
F12P1,Q. paraensis,480399.7593,1181026.078,22.81,13.6,63.59,4.5,1.89,0.27,0.25,0.05,2.4,6.19,60,0,0,3553,89,39,259,204,656
F12P2,P. macroloba,480594.5564,1180610.62,16.81,15.6,67.59,4.4,2.22,0.29,0.22,0.06,2.8,6.46,60,0,0,3584,91,39,258,204,678
F12P3,P. macroloba,480668.8041,1181163.24,12.82,15.6,71.59,4.5,2.34,0.29,0.27,0.05,2.1,5.39,60,0,0,3603,89,39,258,204,656
F12P4,P. macroloba,480928.9238,1180692.234,24.81,15.6,59.59,4.5,1.68,0.22,0.17,0.06,2.9,7.04,60,0,0,3603,91,39,258,204,678
F13P1,Q. paraensis,473877.335,1182176.199,24.81,23.6,51.59,5,2.29,0.46,0.63,0.05,1.2,4.39,200,3.34,0,3870,104,38,252,197,643
F13P2,Q. paraensis,474227.7804,1182159.737,34.8,19.6,45.6,5,2.79,1.55,1.35,0.1,1.5,6.11,164,35.36,25.45,3867,104,38,253,198,634
F13P3,Q. paraensis,473281.3902,1182020.113,10.42,31.99,57.59,5,4.57,0.36,0.36,0.03,1.2,1.65,120,5.3,0,3870,104,38,252,197,643
F13P4,Q. paraensis,473862.0841,1180707.981,12.41,25.6,61.99,4.6,3.77,0.3,0.55,0.07,2.1,3.71,67,23.57,14.88,3366,76,42,258,204,663
F1P1,P. macroloba,504733.2893,1172915.825,21.61,30.6,47.79,6.2,0.28,9.43,5.59,0.22,15.1,2.73,40,0,0,4088,156,32,258,205,657
F1P2,P. macroloba,504426.3536,1172748.117,18.62,31.59,49.79,5.8,1.44,8.39,5.39,0.09,5.6,2.06,40,0,0,4041,156,32,258,205,657
F1P3,P. macroloba,504868.6172,1172562.597,15.61,41.59,42.79,5.5,3.26,4.49,3.92,0.13,2,3.37,40,0,0,4088,156,32,258,205,657
F1P4,P. macroloba,504947.9019,1172207.772,17.61,41.99,40.39,6.4,0.1,8.55,5.4,0.21,13.6,2.65,40,0,0,4094,157,32,258,205,678
F2P1,P. macroloba,503118.1373,1173143.937,16.81,11.6,71.59,4.3,3.88,0.41,0.3,0.09,3.1,4.96,40,0,0,4019,152,32,258,205,642
F2P2,P. macroloba,503007.8704,1173504.417,24.81,11.6,63.59,4.3,3.33,0.26,0.18,0.05,2.6,5.1,40,0,0,3957,147,33,258,205,671
F2P3,P. macroloba,503345.2021,1173524.649,24.81,11.6,63.59,4.4,3.41,0.53,0.3,0.06,3.9,6.71,40,0,0,3957,153,32,258,204,682
F30P1,P. macroloba,492994.7544,1148695.085,29.01,14,56.99,4.73,2.663,1.397,0.312,0.075,1.7,6.91,199,1.96,2.86,4126,172,27,255,202,735
F30P2,P. macroloba,493312.6235,1148743.046,29.01,14,56.99,4.41,3.712,0.422,0.159,0.06,2.33,5.98,189,4.96,3.2,4126,173,27,255,202,705
F30P3,P. macroloba,493330.5274,1148420.273,41.5,11,47.5,4.21,4.225,0.25,0.185,0.089,2.95,9.42,204,30.41,20.39,4141,175,27,254,200,715
F30P4,P. macroloba,493692.7933,1148385.905,19.02,16,64.99,4.53,3.351,0.354,0.243,0.072,1.86,5.7,220,0,0,4202,175,27,253,200,715
F31P1,Foothills,483315.1641,1137734.587,74,16,10,4.82,1.662,0.272,0.26,0.066,1.16,13.37,735,40.51,22.43,4357,151,38,229,171,522
F31P2,Foothills,483129.8017,1138098.894,74.01,16,10,4.92,0.931,0.432,0.218,0.062,1.04,10.23,799,48.72,28,4357,151,38,229,171,522
F32P1,Foothills,488507.2916,1134674.685,76.51,16,7.5,4.49,2.16,0.364,0.235,0.095,3.44,20.54,1203,11.93,7.05,2839,50,60,200,145,554
