Familia,genero,Especie,coespec,AF(mm2),AFE(mm2mg-1),CFMS(Mgg-1),DM(gcm3-1),N(mgg-1),P(mgg-1),rasgo de:
FABACEAE/MIM.,Abarema,adenophora,ABARAD,14183.24,19.66,443.66,0.51,26.7,1.1,ADINA
FABACEAE/MIM.,Abarema,racemiflora,ABARRA,14183.24,19.66,443.66,0.51,26.7,1.1,
EUPHORBIACEAE,Alchorneopsis,floribunda,ALCOFL,4483.15,13.39,389.39,0.36,32.8,1.2,ADINA
ULMACEAE,Ampelocera,macrocarpa,AMPEMA,14106.51,8.4,411.83,0.66,24.8,1,AQUINO
FABACEAE/PAP.,Andira,inermis,ANDIIN,13600.64,18.86,407.55,0.66,28.8,1.1,ADINA
ANNONACEAE,Annona,montana,ANNOMO,7107.93,14.11,350.89,0.28,22.5,1,ADINA
TILIACEAE,Apeiba,membranacea,APEIME,12612.94,31.65,290,0.16,31.4,1.46,FERNANDO
MYRSINACEAE,Ardisia,fimbrillifera,ARDIFI,14156.61,13.99,230,0.58,18.84,0.89,FERNANDO
APOCYNACEAE,Aspidosperma,sp.01,ASPI01,9926.17,11.45,380,0.67,18.64,0.69,
APOCYNACEAE,Aspidosperma,sp.,ASPISP,9926.17,11.45,380,0.67,18.64,0.69,
APOCYNACEAE,Aspidosperma,spruceanum,ASPISR,9926.17,11.45,380,0.67,18.64,0.69,FERNANDO
FABACEAE/MIM.,Balizia,elegans,BALIEL,32382.79,14.13,400,0.47,28.37,0.84,FERNANDO
LAURACEAE,Beilschmiedia,sp.,BEIL01,7626,9.4,461.45,0.59,23.7,0.9,
LAURACEAE,Beilschmiedia,costaricensis,BEILCO,7626,9.4,461.45,0.59,23.7,0.9,ADINA
HIPPOCASTANACEAE,Billia,colombiana,BILLCO,28880.67,16.86,372.97,0.69,20.2,1.5,AQUINO
MORACEAE,Brosimum,guianense,BROSGU,3541.24,22.32,430,0.77,28.85,0.88,FERNANDO
MORACEAE,Brosimum,lactescens,BROSLA,10376.53,15.99,500,0.6,23.19,0.88,FERNANDO
MORACEAE,Brosimum,panamense,BROSPA,6533.18,16.44,447.26,0.68,24.75,0.92,
MALPIGHIACEAE,Byrsonima,crispa,BYRSAR,7157.64,11.74,425.4,0.48,28.1,1.1,ADINA
MALPIGHIACEAE,Byrsonima,sp.,BYRSSP,7157.64,11.74,425.4,0.48,28.1,1.1,
CLUSIACEAE,Calophyllum,brasiliense,CALOBR,5126.78,16.52,370,0.54,14.87,0.63,FERNANDO
ICACINACEAE,Calatola,costaricensis,CALTCO,22821.6,17.04,245.82,0.6,35.9,1.1,ADINA
MELIACEAE,Carapa,guianensis,CARAGU,337534.79,11.78,400,0.53,18.92,0.77,FERNANDO
FLACOURTIACEAE,Casearia,arborea,CASEAR,3589.07,19.3,440,0.57,32.58,1.05,FERNANDO
FLACOURTIACEAE,Casearia,sp.,CASESP,3589.07,19.3,440,0.57,32.58,1.05,
CECROPIACEAE,Cecropia,insignis,CECRIN,352125.03,16.59,310,0.19,33.38,1.63,FERNANDO
CECROPIACEAE,Cecropia,obtusifolia,CECROB,211347.8,12.52,285.09,0.34,31.9,2.1,ADINA
CECROPIACEAE,Cecropia,peltata,CECRPE,323363.68,7.22,418.31,0.35,17.8,1,ADINA
MELIACEAE,Cedrela,odorata,CEDROD,45985.94,7.48,328.09,0.34,26,2.1,AQUINO
BOMBACACEAE,Ceiba,pentandra,CEIBPE,25358.12,12.61,323.4,0.34,23.2,1.9,AQUINO
OCHNACEAE,Cespedesia,macrophylla,CESPSA,66871.24,5.69,501.61,0.62,13.5,0.9,ADINA
RUBIACEAE,Chimarrhis,parviflora,CHIMPA,6066.24,14.12,296.39,0.62,27,1.4,ADINA
SAPOTACEAE,Chrysophyllum,colombianum,CHRYCO,17345.1,15.36,356.1,0.87,40.9,1.3,AQUINO
CLETHRACEAE,Clethra,mexicana,CLETCO,18510.92,46.75,270.21,0.42,19.2,0.9,ADINA
POLYGONACEAE,Coccoloba,tuerckheimii,COCCTU,46300.58,8.41,400,0.61,18.54,1.4,FERNANDO
FABACEAE/MIM.,Cojoba,catenata,COJOCA,38014.91,16.23,471.14,0.53,31.41,1.16,
