familia,genero,especie,autoridad,Estrato,Diseminacion,Rep.Vegetativa,Sist.Sexual,Polinizacion,Tasacrecimiento
FABACEAE/MIM.,Abarema,adenophora,(Ducke)Barneby&J.W.Grimes,3,NV(15),1,"H(1,15)","I(15,25)-A(25)",1
EUPHORBIACEAE,Alchornea,latifolia,Sw.,2,V(13),1,D(15),I(66),3
EUPHORBIACEAE,Alchorneopsis,floribunda,(Benth.)Mull.Arg.,3,V(37),0,"D(1,37)",I(1),4
RUBIACEAE,Alibertia,atlantica,(Dwyer)Delprete&C.Persson,2,V(66),1,H(51),I(66),5
SAPINDACEAE,Allophylus,psilospermus,Radlk.,2,"V(13,15)",1,"P(33,41,61)-D(3)",I(33),1
RUBIACEAE,Amaioua,pedicellata,Dwyer,2,V(13),0,H(51),I(66),6
ULMACEAE,Ampelocera,macrocarpa,Forero&A.H.Gentry,3,V(66),0,H(62),"I(1,15)",1
ANNONACEAE,Anaxagorea,crassipetala,Hemsl.,2,"A(1,14)-NV(15)",1,"H(1,2,3)","I(1,2,4,15)",3
ANNONACEAE,Anaxagorea,phaeocarpa,Mart.,2,"A(1,14)",0,"H(1,2,3,15)","I(1,2,15)",5
FABACEAE/PAP.,Andira,inermis,(W.Wright)Kunth,3,V(66),1,"H(1,2,3,12,15)","I(1,2,4,15)",3
ANNONACEAE,Annona,montana,Macfad.,2,"NV(14,15)",0,"H(1,2,3,15)","I(1,2,4,15)",4
TILIACEAE,Apeiba,membranacea,SpruceexBenth.,4,"NV(15,33)-H(15)-A(66)",1,"H(1,2,3,15)","I(1,2,15)",6
MYRSINACEAE,Ardisia,fimbrillifera,Lundell,2,"V(13,33,37)",0,"H(15,33,39)","I(15,20)",5
MYRSINACEAE,Ardisia,standleyana,P.H.Allen,2,"V(13,33,37)",0,"H(33,39)",I(20),5
APOCYNACEAE,Aspidosperma,myristicifolium,(Markgr.)Woodson,4,W(5),0,H(44),I(33),3
APOCYNACEAE,Aspidosperma,spruceanum,Benth.exMull.Arg.,4,"W(1,15)",1,"H(1,15)","I(1,15)",6
ARECACEAE,Astrocaryum,confertum,H.Wendl.exBurret,2,V(13)-NV(15),0,"M(1,15)",W(1),5
FABACEAE/MIM.,Balizia,elegans,(Ducke)Barneby&J.W.Grimes,4,NV(15),1,H(1),"I(15,25)-A(25)",2
LAURACEAE,Beilschmiedia,costaricensis,Mez&Pittier,3,"V(7,13)",0,H(40),I(66),2
HIPPOCASTANACEAE,Billia,colombiana,Planch.&Lindl.,3,NV(15),0,H(57),I(15),3
MORACEAE,Brosimum,alicastrum,Sw.,3,"V(33,37)-NV(33,37)",1,"D(2,3,12,15)-M(33)","I(2,4,15,33)-W(33)",6
MORACEAE,Brosimum,guianense,(Aubl.)Huber,2,V(37)-NV(37),1,D(1),"I(1,33)-W(33)",5
MORACEAE,Brosimum,lactescens,(S.Moore)C.C.Berg,4,V(37)-NV(37),1,"D(1,15)","I(1,15,33)-W(33)",3
MALPIGHIACEAE,Byrsonima,arthropoda,A.Juss.,3,V(13),1,"H(1,2,15)","I(1,2,15)",4
ICACINACEAE,Calatola,costaricensis,Standl.,2,NV(15),0,H,I(66),5
CLUSIACEAE,Calophyllum,brasiliense,Cambess.,4,V(66),0,"D(1,3)-P(49)",I(15),6
CAPPARACEAE,Capparis,pittieri,Standl.,1,"NV(13,15)",0,"H(1,2,3,15)","I(2,15)-MA(1,2,15)",5
MELIACEAE,Carapa,guianensis,Aubl.,4,"V(13,33)",1,M(3),I(24),6
FLACOURTIACEAE,Casearia,arborea,(Rich.)Urb.,2,V(13)-W(15),1,"H(1,2,3,15)","I(1,2,4,15)",6
FLACOURTIACEAE,Casearia,arguta,Kunth,1,V(13),0,H(12),I(66),1
FLACOURTIACEAE,Casearia,commersoniana,Cambess.,2,"V(13,15)",0,"H(1,15)","I(1,15)",3
FLACOURTIACEAE,Casearia,coronata,Standl.&L.O.Williams,2,V(13),0,H(1),I(1),1
FLACOURTIACEAE,Casearia,sylvestris,Sw.,2,"V(7,13)",1,"H(1,12,15)","I(1,15)",5
RHIZOPHORACEAE,Cassipourea,elliptica,(Sw.)Poit.,2,V(15),1,"H(1,2,3,15)","I(1,2,15)",5
CECROPIACEAE,Cecropia,insignis,Liebm.,2,V(33)-NV(33),1,"D(1,3,15)","W(1)-I(15,33)",2
CECROPIACEAE,Cecropia,obtusifolia,Bertol.,2,"V(7,13,33)-NV(33)",1,"D(1,3,15)","W(1,32)-I(15,33)",2
MELIACEAE,Cedrela,odorata,L.,4,"W(5,13,33)",0,"M(2,3,15)","I(2,4,15)",2
BOMBACACEAE,Ceiba,pentandra,(L.)Gaertn.,4,"W(1,10,15,23)",1,"H(1,3,15)","MA(1,2,4,15)",2
ULMACEAE,Celtis,schippii,Standl.,2,V(66),1,"M(1,3)",W(1),2
OCHNACEAE,Cespedesia,spathulata,(Ruiz&Pav.)Planch.,4,"W(1,15)",1,"H(1,15,33)","I(1,15,33)",1
SOLANACEAE,Cestrum,nocturnum,L.,1,V(13),0,H(33),I(31),5
RUBIACEAE,Chimarrhis,latifolia,Stand,3,W(66),0,H(51),I(66),5
RUBIACEAE,Chimarrhis,parviflora,Standl.,3,W(66),0,H(15),I(66),3
SAPOTACEAE,Chrysophyllum,colombianum,(Aubrév.)T.D.Penn.,3,V(13),0,M(47),I(15),6
