,familia,especie,dispersion,sist_sexual,polinizacion,tasacrecimiento,resprout_capacity
ABARRA,FABACEAE/MIM.,Abarema_racemiflora,AN,H,I,NA,20
ALCOFL,EUPHORBIACEAE,Alchorneopsis_floribunda,AN,D,I,4,60
AMPEMA,ULMACEAE,Ampelocera_macrocarpa,AN,H,I,1,20
ANDIIN,FABACEAE/PAP.,Andira_inermis,AN,H,I,3,20
ANNOMO,ANNONACEAE,Annona_montana,A,H,I,4,20
ARDIFI,MYRSINACEAE,Ardisia_fimbrillifera,AN,H,I,5,20
ASPISP,APOCYNACEAE,Aspidosperma_sp.,W,H,I,NA,NA
ASPI01,APOCYNACEAE,Aspidosperma_sp.01,W,H,I,NA,NA
ASPISR,APOCYNACEAE,Aspidosperma_spruceanum,W,H,I,6,NA
BEILCO,LAURACEAE,Beilschmiedia_costaricensis,AN,H,I,2,20
BEIL01,LAURACEAE,Beilschmiedia_sp.,AN,H,I,NA,20
BILLCO,HIPPOCASTANACEAE,Billia_colombiana,AN,H,I,3,20
BROSPA,MORACEAE,Brosimum_panamense,A,D,I,NA,NA
BYRSAR,MALPIGHIACEAE,Byrsonima_crispa,A,H,I,NA,40
BYRSSP,MALPIGHIACEAE,Byrsonima_sp.,AN,H,I,NA,40
CALTCO,ICACINACEAE,Calatola_costaricensis,AN,H,I,5,20
CALOBR,CLUSIACEAE,Calophyllum_brasiliense,AN,D,I,6,20
CARAGU,MELIACEAE,Carapa_guianensis,AN,M,I,6,20
CASESP,FLACOURTIACEAE,Casearia_sp.,AN,H,I,NA,40
CECRPE,CECROPIACEAE,Cecropia_peltata,AN,D,W,NA,20
CEDROD,MELIACEAE,Cedrela_odorata,W,M,I,2,60
CEIBPE,BOMBACACEAE,Ceiba_pentandra,W,H,MA,2,NA
CESPSA,OCHNACEAE,Cespedesia_macrophylla,H,I,W,NA,40
CHIMPA,RUBIACEAE,Chimarrhis_parviflora,W,H,I,3,40
CHRYCO,SAPOTACEAE,Chrysophyllum_colombianum,AN,M,I,6,20
CLETCO,CLETHRACEAE,Clethra_mexicana,W,H,I,NA,60
COCCTU,POLYGONACEAE,Coccoloba_tuerckheimii,AN,D,I,5,40
COJOCA,FABACEAE/MIM.,Cojoba_catenata/catenatum,A,H,UN,NA,NA
CONCPL,EUPHORBIACEAE,Conceveiba_pleiostemona,A,D,I,1,60
CONORU,MELASTOMATACEAE,Conostegia_rufescens,AN,H,I,NA,20
CORDBI,BORAGINACEAE,Cordia_bicolor,AN,H,I,6,20
CORDCY,BORAGINACEAE,Cordia_cymosa,AN,H,I,6,20
CORDLU,BORAGINACEAE,Cordia_lucidula,AN,H,I,3,20
CORDME,BORAGINACEAE,Cordia_megalantha,AN,H ,I,NA,20
CORDSP,BORAGINACEAE,Cordia_sp.,AN,H,I,NA,20
COUEPO,CHRYSOBALANACEAE,Couepia_polyandra,AN,H,I,6,NA
CROTSM,EUPHORBIACEAE,Croton_smithianus,A,M,I,2,20
CUPALI,SAPINDACEAE,Cupania_livida,AN,H,I,NA,20
CUPASP,SAPINDACEAE,Cupania_sp.,AN,H,I,NA,20
DENBBO,ICACINACEAE,Dendrobangia_boliviana,AN,H,I,1,20
DENDAR,ARALIACEAE,Dendropanax_arboreus,AN,D,I,5,60
DENDSP,ARALIACEAE,Dendropanax_sp.,AN,D,I,NA,60
DICHMO,DICHAPETALACEAE,Dichapetalum_morenoi,AN,H,I,NA,NA
DIPTPA,FABACEAE/PAP.,Dipteryx_panamensis,A,H,I,NA,40
DUSSMA,FABACEAE/PAP.,Dussia_macroprophyllata,AN,H,I,6,40
DUSS01,FABACEAE/PAP.,Dussia_sp.01,AN,H,I,NA,40
DUSS02,FABACEAE/PAP.,Dussia_sp.02,AN,H,I,NA,40
DYSTPA,CLUSIACEAE,Dystovomita_paniculata,AN,D,I,5,60
ELAEGL,SAPOTACEAE,Elaeoluma_glabrescens,AN,D,I,3,40
ESCHCA,LECYTHIDACEAE,Eschweilera_calyculata,AN,H,I,NA,20
ESCHIN,LECYTHIDACEAE,Eschweilera_integrifolia,AN,H,I,NA,20
ESCHLO,LECYTHIDACEAE,Eschweilera_longirachis,A,H,I,NA,20
ESCH01,LECYTHIDACEAE,Eschweilera_sp.01,A,H,I,NA,20
ESCH02,LECYTHIDACEAE,Eschweilera_sp.02,A,H,I,NA,20
ESCH03,LECYTHIDACEAE,Eschweilera_sp.03,A,H,I,NA,20
EUGE01,MYRTACEAE,Eugenia_sp.01,AN,H,I,NA,NA
EUTEPR,ARECACEAE,Euterpe_precatoria,AN,M,I,5,0
FICUSP,MORACEAE,Ficus_sp.,A,M,I,NA,20
GARCMA,CLUSIACEAE,Garcinia_madruno,AN,D,I,3,20
GARCSP,CLUSIACEAE,Garcinia_sp.,AN,D,I,NA,20
GOETME,TILIACEAE,Goethalsia_meiantha,W,H,I,2,40
GUARHO,MELIACEAE,Guarea_bullata,AN,D,I,5,40
GUARBU,MELIACEAE,Guarea_gentryi,AN,H,I,NA,40
GUARGE,MELIACEAE,Guarea_glabra,AN,D,I,5,40
GUARGL,MELIACEAE,Guarea_grandifolia,A,D,I,NA,40
GUARGR,MELIACEAE,Guarea_hoffmanniana,AN,H,I,NA,40
GUARKU,MELIACEAE,Guarea_kunthiana,AN,D,I,3,40
GUAR01,MELIACEAE,Guarea_sp.01,A,D,I,NA,40
GUAR02,MELIACEAE,Guarea_sp.02,A,D,I,NA,40
GUAR03,MELIACEAE,Guarea_sp.03,A,D,I,NA,40
GUATAE,ANNONACEAE,Guatteria_aeruginosa,A,H,I,6,20
GUATRE,ANNONACEAE,Guatteria_recurvisepala,A,H,I,1,20
HAMPAP,MALVACEAE,Hampea_appendiculata,AN,D,I,2,20
HERNDI,HERNANDIACEAE,Hernandia_didymantha,AN,M,I,1,40
HIRTME,CHRYSOBALANACEAE,Hirtella_media,AN,H,I,3,20
HIRTSP,CHRYSOBALANACEAE,Hirtella_sp.,AN,H,I,NA,NA
HIRTTR,CHRYSOBALANACEAE,Hirtella_triandra,AN,H,I,6,20
HUMIDI,HUMIRIACEAE,Humiriastrum_diguense,AN,H,I,6,NA
HYERAL,EUPHORBIACEAE,Hyeronima_alchorneoides,AN,D,I,1,20
HYEROB,EUPHORBIACEAE,Hyeronima_oblonga,AN,D,I,1,20
HYMEME,FABACEAE/PAP.,Hymenolobium_mesoamericanum,W,H,I,3,20
ILEXSK,AQUIFOLIACEAE,Ilex_skutchii,AN,D,I,3,NA
INGAOE,FABACEAE/MIM.,Inga_oerstediana,A,H,AV,NA,20
INGA01,FABACEAE/MIM.,Inga_sp.01,AN,H,AV,NA,20
INGA02,FABACEAE/MIM.,Inga_sp.02,AN,H,AV,NA,20
INGA03,FABACEAE/MIM.,Inga_sp.03,AN,H,AV,NA,20
INGA04,FABACEAE/MIM.,Inga_sp.04,AN,H,AV,NA,20
INGA05,FABACEAE/MIM.,Inga_sp.05,AN,H,AV,NA,20
INGA06,FABACEAE/MIM.,Inga_sp.06,AN,H,AV,NA,20
INGA07,FABACEAE/MIM.,Inga_sp.07,AN,H,AV,NA,20
INGA08,FABACEAE/MIM.,Inga_sp.08,AN,H,AV,NA,20
INGA09,FABACEAE/MIM.,Inga_sp.09,AN,H,AV,NA,20
INGA10,FABACEAE/MIM.,Inga_sp.10,AN,H,AV,NA,20
INGATH,FABACEAE/MIM.,Inga_thibaudiana/thiboudiana,A,H,AV,NA,20
IRIADE,ARECACEAE,Iriartea_deltoidea,AN,M,I,5,0
JACACO,BIGNONIACEAE,Jacaranda_copaia,W,H,I,4,60
JACTCO,CARICACEAE,Jacaratia_costaricensis,AN,D,I,5,20
LACMPA,APOCYNACEAE,Lacmellea_panamensis,AN,H,I,4,60
LACUPA,QUIINACEAE,Lacunaria_panamensis,AN,D,I,3,NA
