site,gen,sp,seedlength.cat,maxht.cat,seedmass.mg,WSG,maxht,SLA,LDMC,seedlength.mm,,
SAR,Carpotroche,platyptera,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,Environmental gradients and the evolution of
SAR,Mangifera,indica,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,successional habitat specialization: a test case with 14
SAR,Spondias,mombin,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,Neotropical forest sites
SAR,Spondias,radlkoferi,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Tapirira,guianensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Anaxagorea,crassipetala,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Anaxagorea,phaeocarpa,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Annona,amazonica,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Annona,montana,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Annona,papilionella,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Annona,subnubila,50 to <100 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cymbopetalum,costaricense,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Desmopsis,microcarpa,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Guatteria,aeruginosa,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Guatteria,amplifolia,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Guatteria,recurvisepala,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Unonopsis,hammelii,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Unonopsis,pittieri,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Xylopia,bocatorena,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Xylopia,sericophylla,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Aspidosperma,spruceanum,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Lacmellea,panamensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Rauvolfia,purpurascens,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Stemmadenia,donnell-smithii,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Stemmadenia,robinsonii,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Tabernaemontana,amygdalifolia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Tabernaemontana,arborea,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ilex,skutchii,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Dendropanax,arboreus,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Astrocaryum,confertum,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Bactris,caudata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Bactris,gasipaes,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cocos,nucifera,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Euterpe,oleracea,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Euterpe,precatoria_var._longevaginata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Iriartea,deltoidea,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Socratea,exorrhiza,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Welfia,regia,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Amphitecna,kennedyae,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Crescentia,cujete,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Handroanthus,chrysanthus,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Jacaranda,copaia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Tabebuia,rosea,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cordia,alliodora,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cordia,bicolor,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cordia,dwyeri,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cordia,megalantha,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cordia,porcata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Protium,confusum,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Protium,glabrum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Protium,panamense,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Protium,pittieri,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Protium,ravenii,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Tetragastris,panamensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Calophyllum,brasiliense,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Marila,pluricostata,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Celtis,schippii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Trema,integerrima,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Trema,micrantha,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Capparidastrum,discolor,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Preslianthus,pittieri,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Jacaratia,dolichaula,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Maytenus,guyanensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hedyosmum,scaberrimum,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Couepia,polyandra,50 to <100 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Hirtella,lemsii,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hirtella,media,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hirtella,racemosa,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hirtella,triandra,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Licania,hypoleuca,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Licania,kallunkiae,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Maranthes,panamensis,>100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Clethra,costaricensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Chrysochlamys,glauca,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Chrysochlamys,nicaraguensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Chrysochlamys,silvicola,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Clusia,uvitana,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Dystovomita,paniculata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Garcinia,intermedia,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Symphonia,globulifera,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
