plot,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F10P1,11.31000012,406.2404483,0.276818178,22.39931795,1.047272747
F10P2,11.03951617,425.7556437,0.430806473,21.72758038,0.953225806
F10P3,11.27500021,395.6309203,0.271111119,22.63074079,1.149259285
F10P4,11.28942057,386.1572477,0.267391333,22.83159472,1.223333328
F11P1,10.0522415,425.4091367,0.400689678,20.32741401,0.886551734
F11P2,9.943111251,419.4148867,0.476000038,19.72377799,0.883555568
F11P3,9.869750149,432.5802491,0.36650003,20.34400032,0.882750014
F12P1,10.89500025,426.849544,0.420681851,20.72113669,0.951136383
F12P2,11.41263139,423.2192097,0.386842095,21.92289381,0.991578929
F12P3,11.86222242,429.8142583,0.4227778,23.84759266,0.997777785
F12P4,10.52521734,434.7204347,0.403478284,22.15217364,1.006739141
F13P1,10.2957502,430.3579988,0.355250028,19.17600018,0.85725001
F13P2,11.56625029,411.7147888,0.38833336,20.31020859,0.884583345
F13P3,11.15666689,423.0466652,0.443703732,19.93888909,0.873148157
F13P4,10.63824584,425.5029851,0.384912324,21.32403547,0.999999998
F1P1,13.83500019,413.43583,0.487500004,27.90583307,1.123749997
F1P2,14.81000039,401.8487444,0.460416665,28.62208321,1.179166675
F1P3,12.89850001,405.6834942,0.538000016,26.01699923,1.112999994
F1P4,13.19136371,414.2749966,0.479090911,26.02727203,1.07863635
F2P1,13.05212124,409.9530274,0.41727272,24.57666599,1.034242409
F2P2,11.98031287,417.1796822,0.36156252,24.08000018,1.026250021
F2P3,13.07452434,396.7828484,0.394047642,24.27023828,1.109523845
F30P1,11.25790727,431.2369758,0.481627947,22.40674471,0.909069783
F30P2,11.06025029,432.3304991,0.376000031,21.96250051,0.979750025
F30P3,11.77416652,428.1863886,0.465833333,23.61999925,0.943055529
F30P4,12.45192339,407.414418,0.401346173,23.62076926,1.040961554
F31P1,13.41341463,386.724878,0.550243902,19.23463415,0.923658537
F31P2,15.59192308,373.3311538,0.435384615,26.86307692,1.22
F32P1,15.56111111,385.225,0.608333333,26.20111111,1.183888889
F32P2,15.88047619,383.7904762,0.601428571,26.44238095,1.190952381
F32P3,16.7085,354.5,0.5705,27.321,1.3155
F33P1,12.13666667,423.7366667,0.614761905,21.18571429,0.912380952
F33P2,13.74684211,411.3736842,0.506315789,27.71315789,1.145789474
F33P3,14.82923113,407.9207652,0.51653847,26.21461483,1.158461542
F33P4,15.63823529,432.8341176,0.521176471,27.47588235,1.1
F34P1,15.414,375.728,0.486,25.0104,1.2532
F34P2,14.96142857,346.8028571,0.434761905,22.80714286,1.29047619
F34P3,14.3908,371.624,0.4756,22.776,1.1464
