plot,cwm_sp_afe,cwm_sp_cfms,cwm_sp_dm,cwm_sp_n,cwm_sp_p
F10P1,14.09764741,393.7988133,0.410588219,27.51529363,1.162352947
F10P2,12.65166663,425.2283326,0.583333351,24.32266588,0.944999969
F10P3,13.93428596,394.4795157,0.497142863,27.33904718,1.19666668
F10P4,14.21272727,390.2204545,0.537727273,28.41545455,1.249090909
F11P1,10.995,426.8220833,0.675,22.4675,0.867083333
F11P2,10.5472,406.5468,0.65,20.5064,0.882
F11P3,10.85352941,434.8947059,0.592941176,22.77941176,0.899411765
F12P1,13.41625,425.08625,0.64625,23.2325,0.9225
F12P2,12.46374992,429.6804166,0.505833341,23.52916552,1.004583306
F12P3,13.28000006,430.2848572,0.535142866,26.63028536,1.05542856
F12P4,12.23681804,427.1427266,0.546363653,25.95499928,1.13181818
F13P1,12.37529412,422.6070588,0.644117647,20.73764706,0.904705882
F13P2,13.59185185,395.6411111,0.575925926,21.99666667,0.934444444
F13P3,12.86413793,414.2937931,0.634137931,21.10551724,0.880689655
F13P4,12.565,435.1668182,0.609545455,24.40454545,0.966363636
F1P1,13.83500019,413.43583,0.487500004,27.90583307,1.123749997
F1P2,14.81000039,401.8487444,0.460416665,28.62208321,1.179166675
F1P3,12.89850001,405.6834942,0.538000016,26.01699923,1.112999994
F1P4,13.40857155,413.0499961,0.496190482,26.42380888,1.093333323
F2P1,14.35400028,402.3379947,0.501200006,26.6447995,1.107199994
F2P2,13.60047636,407.6071377,0.474761906,27.26428526,1.146666668
F2P3,15.19120045,383.3951911,0.490800004,27.6787997,1.247600021
F30P1,12.7036,428.5276,0.6312,24.9592,0.9168
F30P2,13.469375,438.32625,0.520625,26.173125,1.03875
F30P3,13.08545459,427.9413632,0.556818201,26.35136301,0.954545414
F30P4,14.25322602,400.5016083,0.496774198,26.49258022,1.097096768
F31P1,13.41341463,386.724878,0.550243902,19.23463415,0.923658537
F31P2,16.93761905,371.7433333,0.508095238,28.41142857,1.212857143
F32P1,15.56111111,385.225,0.608333333,26.20111111,1.183888889
F32P2,15.88047619,383.7904762,0.601428571,26.44238095,1.190952381
F32P3,16.7085,354.5,0.5705,27.321,1.3155
F33P1,12.58882353,422.2629412,0.641764706,21.37176471,0.883529412
F33P2,14.01588235,413.8882353,0.518823529,28.50176471,1.155882353
F33P3,14.9640004,408.6375959,0.52120001,26.42279946,1.162400004
F33P4,15.63823529,432.8341176,0.521176471,27.47588235,1.1
F34P1,16.831,370.16,0.5515,26.202,1.266
F34P2,16.530625,336.42875,0.53,23.571875,1.303125
F34P3,14.85954545,369.5727273,0.498181818,23.04636364,1.149545455
F34P4,15.08480024,347.606016,0.420400021,25.48640009,1.255999972
F35P1,12.38809524,384.6171429,0.56952381,18.54047619,0.765238095
F35P2,16.17055556,350.3611111,0.541111111,26.575,1.242222222
F36P1,13.41681818,408.9709091,0.578181818,20.87363636,1.089090909
F36P2,14.4065,392.206,0.465,25.0035,1.157
F37P1,14.12380981,426.3914277,0.542380969,26.74761848,1.085238083
F37P2,12.57178566,425.1764277,0.512142864,26.1028566,1.000714262
F37P3,12.5605,402.8715,0.5525,25.382,0.962
F37P4,13.17090909,419.0590909,0.585909091,25.11,0.988636364
F38P1,16.6415,367.6855,0.472,27.7095,1.242
F38P2,14.75590909,404.5754545,0.503181818,25.85636364,1.133181818
F38P3,10.80125,436.209375,0.685625,19.361875,0.66875
F38P4,14.27466689,400.4399953,0.570000016,25.81666612,1.160333337
F39P1,13.39636371,422.9730293,0.556666679,26.75272691,1.019999983
F39P2,16.01230769,400.9930769,0.504230769,29.50884615,1.232307692
F3P1,13.36842105,423.3642105,0.575789474,26.14,1.132631579
F3P2,12.41966659,438.3053347,0.556666681,27.31899969,1.073666656
F3P3,15.03407357,417.2570454,0.64518519,25.27036984,1.068518474
F3P4,12.32961528,435.6361549,0.602307717,25.24499926,0.99192305
F40P1,14.43352941,424.9841176,0.522352941,25.95882353,1.004705882
F40P2,13.07035714,425.3939286,0.562857143,23.17678571,0.890357143
F40P3,12.73,412.21,0.529473684,24.93368421,0.953157895
F40P4,14.38230769,400,0.466153846,27.16153846,1.089230769
F41P1,16.59380952,385.7290476,0.486666667,24.52333333,1.134285714
F41P2,12.42928571,428.1092857,0.48,22.08571429,0.932857143
F41P3,15.36708333,385.0920833,0.52,24.71375,1.102916667
F41P4,15.27875,392.560625,0.49875,20.771875,1.00875
F41P5,16.54521739,367.6795652,0.432608696,27.59565217,1.235652174
F41P6,14.07466686,425.2619992,0.517666674,27.17399967,1.135666666
F42P1,13.50807704,423.1184603,0.548846168,25.74769166,0.964615352
