plot,forest_type,longitude,latitude,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F10P1,P. macroloba,-84.1390665,10.5851456,14.09764706,393.7988235,0.410588235,27.51529412,1.162352941
F10P2,P. macroloba,-84.142235,10.5889037,12.65166667,425.2283333,0.583333333,24.32266667,0.945
F10P3,P. macroloba,-84.1468991,10.5849723,13.93428571,394.4795238,0.497142857,27.33904762,1.196666667
F10P4,P. macroloba,-84.1474144,10.5864947,14.21272727,390.2204545,0.537727273,28.41545455,1.249090909
F11P1,Q. paraensis,-84.1829863,10.7037668,10.995,426.8220833,0.675,22.4675,0.867083333
F11P2,Q. paraensis,-84.1828223,10.7027446,10.5472,406.5468,0.65,20.5064,0.882
F11P3,Q. paraensis,-84.1892305,10.7019358,10.85352941,434.8947059,0.592941176,22.77941176,0.899411765
F12P1,Q. paraensis,-84.1791731,10.6806223,13.41625,425.08625,0.64625,23.2325,0.9225
F12P2,P. macroloba,-84.1773902,10.676867,12.46375,429.6804167,0.505833333,23.52916667,1.004583333
F12P3,P. macroloba,-84.1767144,10.6818638,13.28,430.2848571,0.535142857,26.63028571,1.055428571
F12P4,P. macroloba,-84.1743341,10.6776066,12.23681818,427.1427273,0.546363636,25.955,1.131818182
F13P1,Q. paraensis,-84.2388049,10.6909811,12.37529412,422.6070588,0.644117647,20.73764706,0.904705882
F13P2,Q. paraensis,-84.2356011,10.6908347,13.59185185,395.6411111,0.575925926,21.99666667,0.934444444
F13P3,Q. paraensis,-84.2442516,10.6895657,12.86413793,414.2937931,0.634137931,21.10551724,0.880689655
F13P4,Q. paraensis,-84.2389339,10.6777063,12.565,435.1668182,0.609545455,24.40454545,0.966363636
F1P1,P. macroloba,-83.9567415,10.6073418,13.835,413.4358333,0.4875,27.90583333,1.12375
F1P2,P. macroloba,-83.9595468,10.6058258,14.81,401.84875,0.460416667,28.62208333,1.179166667
F1P3,P. macroloba,-83.9555052,10.6041479,12.8985,405.6835,0.538,26.017,1.113
F1P4,P. macroloba,-83.954781,10.6009397,13.40857143,413.05,0.496190476,26.42380952,1.093333333
F2P1,P. macroloba,-83.9715025,10.609406,14.354,402.338,0.5012,26.6448,1.1072
F2P2,P. macroloba,-83.97251,10.6126653,13.60047619,407.6071429,0.474761905,27.26428571,1.146666667
F2P3,P. macroloba,-83.969427,10.612848,15.1912,383.3952,0.4908,27.6788,1.2476
F30P1,P. macroloba,-84.0639773,10.3883445,12.7036,428.5276,0.6312,24.9592,0.9168
F30P2,P. macroloba,-84.0610744,10.3887788,13.469375,438.32625,0.520625,26.173125,1.03875
F30P3,P. macroloba,-84.0609103,10.3858604,13.08545455,427.9413636,0.556818182,26.35136364,0.954545455
F30P4,P. macroloba,-84.0576018,10.3855502,14.25322581,400.5016129,0.496774194,26.49258065,1.097096774
F31P1,Foothills,-84.1523309,10.2892138,13.41341463,386.724878,0.550243902,19.23463415,0.923658537
F31P2,Foothills,-84.1540249,10.292507,16.93761905,371.7433333,0.508095238,28.41142857,1.212857143
F32P1,Foothills,-84.1049182,10.261566,15.56111111,385.225,0.608333333,26.20111111,1.183888889
F32P2,Foothills,-84.1011962,10.2637361,15.88047619,383.7904762,0.601428571,26.44238095,1.190952381
F32P3,Foothills,-84.1007223,10.2667571,16.7085,354.5,0.5705,27.321,1.3155
F33P1,Q. paraensis,-84.004355,10.2786407,12.58882353,422.2629412,0.641764706,21.37176471,0.883529412
F33P2,P. macroloba,-83.9980482,10.2771554,14.01588235,413.8882353,0.518823529,28.50176471,1.155882353
F33P3,P. macroloba,-84.0054834,10.2817664,14.964,408.6376,0.5212,26.4228,1.1624
F33P4,Foothills,-84.0134494,10.2801424,15.63823529,432.8341176,0.521176471,27.47588235,1.1
F34P1,Foothills,-84.0808897,10.321349,16.831,370.16,0.5515,26.202,1.266
F34P2,Foothills,-84.0816328,10.3159554,16.530625,336.42875,0.53,23.571875,1.303125
F34P3,Foothills,-84.0806336,10.3135173,14.85954545,369.5727273,0.498181818,23.04636364,1.149545455
F34P4,Foothills,-84.0846711,10.3187463,15.0848,347.606,0.4204,25.4864,1.256
F35P1,Foothills,-84.1650578,10.2855145,12.38809524,384.6171429,0.56952381,18.54047619,0.765238095
F35P2,Foothills,-84.1730493,10.2882215,16.17055556,350.3611111,0.541111111,26.575,1.242222222
F36P1,Foothills,-84.1570649,10.3290489,13.41681818,408.9709091,0.578181818,20.87363636,1.089090909
F36P2,Foothills,-84.1589519,10.3308419,14.4065,392.206,0.465,25.0035,1.157
F37P1,P. macroloba,-84.0468537,10.4043607,14.12380952,426.3914286,0.542380952,26.74761905,1.085238095
F37P2,P. macroloba,-84.0512664,10.4162307,12.57178571,425.1764286,0.512142857,26.10285714,1.000714286
F37P3,P. macroloba,-84.0502667,10.418732,12.5605,402.8715,0.5525,25.382,0.962
F37P4,P. macroloba,-84.0571824,10.4108581,13.17090909,419.0590909,0.585909091,25.11,0.988636364
F38P1,P. macroloba,-84.098572,10.376008,16.6415,367.6855,0.472,27.7095,1.242
F38P2,Foothills,-84.1013397,10.3676343,14.75590909,404.5754545,0.503181818,25.85636364,1.133181818
F38P3,Q. paraensis,-84.093436,10.3809823,10.80125,436.209375,0.685625,19.361875,0.66875
F38P4,P. macroloba,-84.0913523,10.3853795,14.27466667,400.44,0.57,25.81666667,1.160333333
F39P1,P. macroloba,-83.9960084,10.3313444,13.39636364,422.9730303,0.556666667,26.75272727,1.02
F39P2,P. macroloba,-83.9980687,10.3332305,16.01230769,400.9930769,0.504230769,29.50884615,1.232307692
F3P1,P. macroloba,-84.0363955,10.5839798,13.36842105,423.3642105,0.575789474,26.14,1.132631579
F3P2,P. macroloba,-84.0389963,10.5868753,12.41966667,438.3053333,0.556666667,27.319,1.073666667
F3P3,P. macroloba,-84.0434666,10.5870618,15.03407407,417.257037,0.645185185,25.27037037,1.068518519
F3P4,P. macroloba,-84.0468366,10.5867776,12.32961538,435.6361538,0.602307692,25.245,0.991923077
F40P1,P. macroloba,-83.9962286,10.343027,14.43352941,424.9841176,0.522352941,25.95882353,1.004705882
F40P2,P. macroloba,-83.9963695,10.3473148,13.07035714,425.3939286,0.562857143,23.17678571,0.890357143
F40P3,P. macroloba,-83.9986894,10.3524672,12.73,412.21,0.529473684,24.93368421,0.953157895
F40P4,P. macroloba,-84.0038574,10.3543243,14.38230769,400,0.466153846,27.16153846,1.089230769
