"","fdis_abundrela_sp","feve_abundrela_sp","fdiv_abundrela_sp"
"F10P1",0.319171639202665,0.86941147911675,0.880382699538619
"F10P2",0.295848505204507,0.716068377898077,0.671504985110332
"F10P3",0.273872154276982,0.682280253475017,0.665593151011182
"F10P4",0.229587438980447,0.697071452148842,0.825114491366449
"F11P1",0.217457641901075,0.740024238306979,0.786616603455692
"F11P2",0.187919816587834,0.589048196501387,0.815209758524201
"F11P3",0.280225652358054,0.7237058500639,0.729027687660414
"F12P1",0.173186287014581,0.63620501913424,0.861947673632021
"F12P2",0.238323700498493,0.673604264854123,0.822402030782767
"F12P3",0.27028238778437,0.699181080469895,0.649133365185018
"F12P4",0.271368239101235,0.702469742260897,0.613410302037937
"F13P1",0.236860436944725,0.835825463283986,0.763630264362385
"F13P2",0.20253392829208,0.763203385871357,0.844903137748869
"F13P3",0.194889497770883,0.713174145743323,0.673263724748458
"F13P4",0.267100376307597,0.666875506643173,0.769997662744609
"F1P1",0.20777738226346,0.765851417353727,0.6979408100766
"F1P2",0.210567422714396,0.534307740410878,0.721638759000243
"F1P3",0.334491429381784,0.797695596831043,0.661575078453342
"F1P4",0.254758655185628,0.693191914652867,0.730579818850183
"F2P1",0.282521736635373,0.752380079577132,0.68146798668114
"F2P2",0.228492359278173,0.829769859629149,0.774135496704142
"F2P3",0.297943179028359,0.735236365701796,0.64144357772072
"F30P1",0.263777101320783,0.715780087610655,0.844490302991537
"F30P2",0.315737953237996,0.761679612459333,0.737061329860925
"F30P3",0.268800998655202,0.53086172848062,0.722459595672917
"F30P4",0.306956958623573,0.736800409135739,0.623921984199048
"F31P1",0.210026410282535,0.688742773650051,0.870944644567045
"F31P2",0.268449964329272,0.751449451845966,0.716439708008172
"F32P1",0.276383255686462,0.545454545454545,0.756242078622691
"F32P2",0.250663994699112,0.623292490592907,0.821667259330855
"F32P3",0.270966751877558,0.666666666666667,0.729862315892907
"F33P1",0.168646012637096,0.725868246655691,0.86638274628455
"F33P2",0.305572418559158,0.668501272754917,0.818671500073909
"F33P3",0.321580206744539,0.829393367694345,0.618012365080608
"F33P4",0.238014656763671,0.784917389861907,0.641545209795406
"F34P1",0.262616678116048,0.885070414094631,0.757214039204287
"F34P2",0.315896368690517,0.8466419680238,0.736372671915115
"F34P3",0.259859002970022,0.803421048021295,0.62740411884037
"F34P4",0.29345124176599,0.740577410942018,0.518034664946768
"F35P1",0.134111689934771,0.763369723308771,0.881587963290317
"F35P2",0.245031411075533,0.688699301454422,0.773201388473043
"F36P1",0.260881547896601,0.766539835686816,0.756433908433062
"F36P2",0.286523342294607,0.806596796817359,0.568841131601291
"F37P1",0.278768910947325,0.653970381200165,0.790938524534096
"F37P2",0.243222008325142,0.813437665052329,0.728920946636414
"F37P3",0.236537176918667,0.789310077867513,0.665846873524539
"F37P4",0.289950680429172,0.77404681464015,0.743522351066753
"F38P1",0.298050306106039,0.742847361113615,0.738381277674782
"F38P2",0.243565241233869,0.871709318461295,0.768307324688791
"F38P3",0.155600175010576,0.619733595666908,0.920134437155473
"F38P4",0.304905013853836,0.720033220691825,0.775107672744148
"F39P1",0.254123754646924,0.768175811901082,0.754970431027176
"F39P2",0.286593370672574,0.683722202040891,0.747222319873831
"F3P1",0.295549224962803,0.756288242628265,0.7257116684689
"F3P2",0.268506939682377,0.680108477715657,0.594558519328535
"F3P3",0.175480564651518,0.60846346706677,0.889557707267147
"F3P4",0.299080656985994,0.662511711271505,0.777598057049616
"F40P1",0.302645774706027,0.74111552848863,0.688090580267032
"F40P2",0.281838017742839,0.672978471618788,0.653007134784762
"F40P3",0.275373019506,0.681522985690055,0.677363284645593
"F40P4",0.271064878951609,0.753947049394496,0.719525046800164
"F41P1",0.24150856177444,0.85756640430623,0.676913086150061
"F41P2",0.303554197666952,0.826517778608136,0.664528392952607
"F41P3",0.256563288494635,0.801216203663716,0.747275730923988
"F41P4",0.23211893246845,0.719136684079681,0.809211990022087
"F41P5",0.313556426263917,0.865120256904324,0.682627098244834
"F41P6",0.295301250102847,0.762553829485731,0.783708710670055
"F42P1",0.28109690723857,0.753673495681306,0.722323861270485
"F42P2",0.271028213847171,0.640879334881817,0.824820140247219
"F42P3",0.271368031209404,0.742882499309727,0.673590742574941
"F42P4",0.201504634964403,0.624621885479954,0.801090211238545
"F43P1",0.252977127451901,0.698191777594894,0.769193680455421
"F43P2",0.162241127839354,0.664548455943157,0.785851131048614
"F43P3",0.277292143651787,0.765882136025433,0.688321271204068
"F44P1",0.227774793528716,0.704838694540449,0.791792440589773
"F44P2",0.291050773293339,0.700932542056675,0.585424724322221
"F44P3",0.294727930446329,0.611567154129709,0.565631064230688
"F44P4",0.343736921211041,0.667549099106214,0.650711274778982
"F45P1",0.260983927446256,0.7098794952629,0.781485478225159
"F45P2",0.300704575076081,0.835785869919808,0.724606379762603
"F46P1",0.209424961810262,0.677228075829697,0.826311371211792
"F46P2",0.303898685428805,0.839353597391082,0.587813778413628
"F47P1",0.269726726329151,0.742554121461166,0.663505839078389
"F47P2",0.284323689270549,0.819874646950834,0.692902642368779
"F47P3",0.282017961248001,0.864050445303088,0.718953066003576
"F48P1",0.257558319552174,0.685767601457046,0.732618538611598
"F48P2",0.2936855644633,0.661976699069015,0.648295338035465
"F49P1",0.263711531854211,0.872824466688118,0.846846382274339
"F49P2",0.272293016522319,0.802088406174227,0.742096339840782
"F49P3",0.25739532638583,0.693316452366209,0.598159196685145
"F4P1",0.210799126800213,0.76844270775927,0.87386175051558
"F4P2",0.338216930572164,0.757080162261197,0.80404471666175
"F50P1",0.267081086301091,0.769581102503382,0.748783608600415
"F50P2",0.235236937730073,0.747246352182869,0.706240878716789
"F50P3",0.181059724950707,0.623732175104578,0.796561767000994
"F50P4",0.221392377045933,0.769375276003385,0.777497074312162
"F51P1",0.222015717832337,0.706966681378391,0.799535252826089
"F51P2",0.150882588986818,0.545138111028034,0.866991289442491
"F51P3",0.196710399795339,0.668108723197439,0.71198295375359
"F52P1",0.283597478214236,0.726375499433189,0.72598476592863
"F52P2",0.261060873634727,0.86642060956808,0.715114375116621
"F52P3",0.251290937676196,0.678730920796236,0.63817069499173
"F52P4",0.300451106383311,0.90405247123221,0.778133512651503
"F52P5",0.17476813299971,0.707515661685617,0.814355433235191
"F52P6",0.176581074492326,0.705758303572169,0.829953227060196
"F52P7",0.249053936445175,0.642843175249531,0.705866470942731
"F53P1",0.316641357446531,0.863300085508295,0.728640437715009
"F53P2",0.3168493255574,0.947625571185364,0.716338651911636
"F54P1",0.230318114549346,0.794541061104668,0.770183907259817
"F54P2",0.247674043654268,0.854709820686383,0.785111904213657
"F54P3",0.365222008999309,0.740524747134554,0.719259063463479
"F54P4",0.25867953875077,0.856532462783056,0.63873029550594
"F54P5",0.288188074672289,0.795125426851837,0.698888762034394
"F54P6",0.239605591382496,0.727863057102921,0.679268623817762
"F5P1",0.270245544983035,0.729232095170604,0.569599248800816
"F5P2",0.241805468610205,0.830750986125914,0.746770409728709
"F5P3",0.213096902531871,0.702590507458615,0.845991196537793
"F6P1",0.258874266081335,0.648493804283178,0.877669345003233
"F6P2",0.305051307944838,0.80485440625459,0.783346476515672
"F6P3",0.302094355088269,0.848837224785276,0.841119461951816
"F7P1",0.347431380547239,0.7156863425873,0.683412919361411
"F7P2",0.295659947047549,0.804184159845178,0.717376019085622
"F8P1",0.243737740031326,0.69774010292151,0.584354113611838
"F8P2",0.151725122432331,0.640053537115308,0.635189943149283
"F9P1",0.205006476566949,0.70128191861273,0.63024813882036
"F9P2",0.324177173436564,0.846251466250186,0.80057512411499
"F9P3",0.177584554020689,0.701957174312603,0.792746141300408
