"","fdis_areabasal","feve_areabasal","fdiv_areabasal"
"F10P1",0.301873379377763,0.595721151171405,0.801934806167411
"F10P2",0.225507377171468,0.6848002261936,0.789339202747825
"F10P3",0.26502867993162,0.530797264504565,0.583255441263319
"F10P4",0.148033863696447,0.607051002325112,0.928516000281824
"F11P1",0.233256542348792,0.590539111972165,0.85358280275048
"F11P2",0.240612315043446,0.561761659997566,0.764579978270353
"F11P3",0.317486571702316,0.612460052663424,0.811258824341743
"F12P1",0.200131508034441,0.53330880578253,0.818413893261625
"F12P2",0.184058157531441,0.672249611239455,0.881617637395093
"F12P3",0.230533374141395,0.625847690270617,0.731832765468949
"F12P4",0.265253346362694,0.555242251826999,0.766635084823946
"F13P1",0.246294742888246,0.728504762022338,0.812967678632564
"F13P2",0.208548070693711,0.713899651956654,0.792018407194141
"F13P3",0.243486674050187,0.65780561093415,0.666705112185866
"F13P4",0.168432967291528,0.598825733797932,0.768455678771401
"F1P1",0.16808004336371,0.552620561350495,0.483998149650858
"F1P2",0.334239950992165,0.693655938861043,0.918969526419028
"F1P3",0.259166402979879,0.904827373126359,0.668799681721924
"F1P4",0.132538268952124,0.655585145949099,0.741887697008743
"F2P1",0.241483819061834,0.769146806754904,0.720475605230247
"F2P2",0.193297206637009,0.737768722844327,0.801630560238578
"F2P3",0.267796439254957,0.677423633859378,0.758012960526611
"F30P1",0.210484535302987,0.665754233688614,0.82593106856906
"F30P2",0.366030108007653,0.677142263436127,0.850329216427145
"F30P3",0.20921582955891,0.574589896123908,0.852269449707272
"F30P4",0.273968566455899,0.625747312714907,0.725220709043603
"F31P1",0.247881816492351,0.786137464089362,0.67568464360635
"F31P2",0.208917780213615,0.729412624578296,0.765419271060352
"F32P1",0.244239575227755,0.470233562671615,0.603182895869126
"F32P2",0.168000419587301,0.614274782839884,0.857369989098307
"F32P3",0.182301011339544,0.645642606715497,0.840574316707554
"F33P1",0.187454434251307,0.627240669542158,0.908680034456433
"F33P2",0.227993592436366,0.820081985658475,0.698106810576842
"F33P3",0.297808884682254,0.911766088422709,0.714814316662332
"F33P4",0.20486409898659,0.701189098659536,0.684467785399382
"F34P1",0.236660748866691,0.694842182097962,0.840147547009192
"F34P2",0.281747131393732,0.689674026824326,0.787730607653651
"F34P3",0.214896242723494,0.6726516793624,0.876219377371039
"F34P4",0.302405881363783,0.752754481769493,0.698668865497661
"F35P1",0.15634258943738,0.702242743477759,0.871529654323139
"F35P2",0.255726093809006,0.589022791740789,0.85547333565498
"F36P1",0.300533293890808,0.731452248993048,0.752504262077783
"F36P2",0.254783401643858,0.720155812596202,0.568730560033949
"F37P1",0.189936330071233,0.605141508589821,0.827349886007219
"F37P2",0.210000761453206,0.61418217346045,0.797917287721677
"F37P3",0.203984369758671,0.687437122914579,0.839022923971312
"F37P4",0.28786728968763,0.718316218798118,0.884992054993067
"F38P1",0.313764090363851,0.616819424652091,0.84381432679036
"F38P2",0.271375176089517,0.767807445128231,0.751654430120515
"F38P3",0.20464677717279,0.625,0.812555508653867
"F38P4",0.24597716837397,0.700292572336958,0.85113302064341
"F39P1",0.180106525579411,0.701921304213802,0.865688038570459
"F39P2",0.311945193483189,0.689497446471397,0.762497313778044
"F3P1",0.278500224395142,0.719442765812865,0.690716210971424
"F3P2",0.255285790238177,0.637956924987683,0.547473430186014
"F3P3",0.172431457796447,0.591291111794125,0.703393988971642
"F3P4",0.172907021252204,0.497114981605617,0.758051491681576
"F40P1",0.297844010568809,0.744212786917124,0.759506328360643
"F40P2",0.220744615404946,0.587060200681385,0.866187734786316
"F40P3",0.214323743839339,0.54006336486907,0.645885361629272
"F40P4",0.354625468993556,0.515269244181614,0.77854407905056
"F41P1",0.215317056079012,0.728644862551245,0.794326270272085
"F41P2",0.372550571926779,0.72184244264108,0.755965046478507
"F41P3",0.259723173473135,0.784922809305628,0.664815005791035
"F41P4",0.173945178340872,0.522400671200811,0.940385517044959
"F41P5",0.253119857894237,0.778492748109376,0.808018186699998
"F41P6",0.206741822929129,0.796127929503618,0.791281439493699
"F42P1",0.155478888640708,0.671414145397834,0.946492671261399
"F42P2",0.248988208151394,0.431047802823501,0.790538075211641
"F42P3",0.232174610721091,0.716380400374292,0.849584736624315
"F42P4",0.147252698651386,0.548493225190989,0.931191518938113
"F43P1",0.212502400249832,0.757557692150353,0.653069062885443
"F43P2",0.153975673688914,0.552117521277606,0.893759124617135
"F43P3",0.229667255680075,0.701181041553602,0.834608370849317
"F44P1",0.208128330304114,0.581897211517862,0.89921595044451
"F44P2",0.285071987984064,0.674382555120735,0.677405090780529
"F44P3",0.211490687843832,0.571703061121262,0.919231182788038
"F44P4",0.303429981175808,0.514941662153927,0.715728524198998
"F45P1",0.210200100469463,0.674649777093531,0.765699030498207
"F45P2",0.256664799423709,0.737522776467021,0.723771376352505
"F46P1",0.234214281663996,0.6245379420161,0.776288465682679
"F46P2",0.28099792614146,0.621311659477823,0.784399082322463
"F47P1",0.257345386816806,0.550749271955409,0.803448186414467
"F47P2",0.327892943851855,0.646744166910803,0.660546553862616
"F47P3",0.231697831732019,0.597825765674266,0.831039587476337
"F48P1",0.255810596367464,0.588252896306712,0.844504133524288
"F48P2",0.24008573199849,0.612959629976247,0.77131927314299
"F49P1",0.191163208772949,0.582816087585749,0.651448814760974
"F49P2",0.240342846395599,0.729809791977719,0.81925371952815
"F49P3",0.312336173185089,0.645195579206771,0.859203444785191
"F4P1",0.258871419346526,0.599367906848904,0.644190149452001
"F4P2",0.287560012391655,0.681830278574487,0.834723876345015
"F50P1",0.183557777415924,0.696431288759208,0.823518328749734
"F50P2",0.149763689490393,0.590084457690984,0.909261880006771
"F50P3",0.216396003976368,0.563670170132622,0.735782143755933
"F50P4",0.239436595208586,0.609615036802076,0.622203733807718
"F51P1",0.207360053934941,0.587885965035126,0.81422211354123
"F51P2",0.200938878148547,0.455395378567805,0.766330251736342
"F51P3",0.253771425047852,0.538815395542838,0.713682853446099
"F52P1",0.277584781535378,0.767696858643213,0.642339384658613
"F52P2",0.260270958499026,0.765264076793982,0.755931582831246
"F52P3",0.226217193929045,0.665581758762314,0.802081978947604
"F52P4",0.262583720133376,0.585199976035989,0.682194581082669
"F52P5",0.272562679034149,0.619940878251393,0.793236648564084
"F52P6",0.201385351640548,0.635218874816462,0.702831022471424
"F52P7",0.214128633887474,0.512755733507956,0.773875456122551
"F53P1",0.31356972680471,0.706855192329211,0.734534512696805
"F53P2",0.220348607583267,0.679569752838464,0.845149512198109
"F54P1",0.209022195338591,0.735585288662035,0.713116757900111
