plot,forest_type,longitude,latitude,fdiv,feve,fdis
F10P1,P.macroloba,-84.1390665,10.5851456,0.855088719,0.661757396,4.547790531
F10P2,P.macroloba,-84.142235,10.5889037,0.840024041,0.737082085,4.461923218
F10P3,P.macroloba,-84.1468991,10.5849723,0.864209217,0.678340458,4.665734456
F10P4,P.macroloba,-84.1474144,10.5864947,0.88491034,0.578593779,4.220442241
F11P1,Q.paraensis,-84.1829863,10.7037668,0.886998731,0.74216428,4.818803032
F11P2,Q.paraensis,-84.1828223,10.7027446,0.829298173,0.738228102,4.828948881
F11P3,Q.paraensis,-84.1892305,10.7019358,0.885976836,0.789469183,4.909553759
F12P1,Q.paraensis,-84.1791731,10.6806223,0.900720589,0.694738296,4.343954951
F12P2,P.macroloba,-84.1773902,10.676867,0.760215789,0.784676262,4.666556421
F12P3,P.macroloba,-84.1767144,10.6818638,0.734393578,0.682210034,4.469343432
F12P4,P.macroloba,-84.1743341,10.6776066,0.841454849,0.709936048,4.788438207
F13P1,Q.paraensis,-84.2388049,10.6909811,0.890261095,0.698206093,5.270971901
F13P2,Q.paraensis,-84.2356011,10.6908347,0.868567935,0.778089,5.313990837
F13P3,Q.paraensis,-84.2442516,10.6895657,0.83424798,0.666294428,4.91553293
F13P4,Q.paraensis,-84.2389339,10.6777063,0.8839351,0.691305424,4.531438636
F1P1,P.macroloba,-83.9567415,10.6073418,0.623006697,0.491907871,0.9283229
F1P2,P.macroloba,-83.9595468,10.6058258,0.620310503,0.669837254,1.314162089
F1P3,P.macroloba,-83.9555052,10.6041479,0.614079983,0.798168356,1.452073023
F1P4,P.macroloba,-83.954781,10.6009397,0.437740948,0.597365818,1.774887837
F2P1,P.macroloba,-83.9715025,10.609406,0.687687841,0.720676938,4.095072967
F2P2,P.macroloba,-83.97251,10.6126653,0.749149025,0.698945546,4.732670441
F2P3,P.macroloba,-83.969427,10.612848,0.770940614,0.798383071,4.43123976
F30P1,P.macroloba,-84.0639773,10.3883445,0.813144323,0.795323964,4.592432265
F30P2,P.macroloba,-84.0610744,10.3887788,0.854824904,0.687580355,4.37231651
F30P3,P.macroloba,-84.0609103,10.3858604,0.794775397,0.792499061,4.068807468
F30P4,P.macroloba,-84.0576018,10.3855502,0.789350913,0.768230111,4.284076386
F31P1,Foothills,-84.1523309,10.2892138,0.736376194,0.690450293,2.285489632
F31P2,Foothills,-84.1540249,10.292507,0.814623289,0.814713515,3.899493834
F32P1,Foothills,-84.1049182,10.261566,0.855949872,0.712939619,1.863212587
F32P2,Foothills,-84.1011962,10.2637361,0.72244573,0.757379368,1.895865101
F32P3,Foothills,-84.1007223,10.2667571,0.726530487,0.762975396,2.11633847
F33P1,Q.paraensis,-84.004355,10.2786407,0.745381606,0.691995929,2.565174075
F33P2,P.macroloba,-83.9980482,10.2771554,0.556029732,0.677532145,2.027097678
F33P3,P.macroloba,-84.0054834,10.2817664,0.600487188,0.679938487,1.802512737
F33P4,Foothills,-84.0134494,10.2801424,0.644126236,0.719942035,1.995396499
