plot,fdis,feve,fdiv
F10P1,0.221969305,0.305971153,0.759638303
F10P2,0.228566576,0.579247114,0.523397897
F10P3,0.243263766,0.509642808,0.474275583
F10P4,0.195379613,0.384936703,0.631864565
F11P1,0.168756667,0.642857143,0.684819408
F11P2,0.26512721,0.568506504,0.622495392
F11P3,0.206861039,0.641113387,0.592169745
F12P1,0.116527623,0.39596116,0.617790201
F12P2,0.278553326,0.664201761,0.657885421
F12P3,0.275124464,0.580959053,0.600709144
F12P4,0.27472776,0.60729656,0.70070456
F13P1,0.181946716,0.753543179,0.614367807
F13P2,0.282264953,0.74674626,0.69363459
F13P3,0.195596048,0.582442228,0.437873115
F13P4,0.210023808,0.569378479,0.407374354
F1P1,0.150282886,0.36762966,0.485407513
F1P2,0.193917584,0.572708821,0.469941042
F1P3,0.223204532,0.720411119,0.512801406
F1P4,0.228777536,0.667674492,0.809854846
F2P1,0.262002982,0.621833879,0.627395856
F2P2,0.282587134,0.695541482,0.649405112
F2P3,0.243549906,0.577032422,0.532029021
F30P1,0.246777713,0.604438266,0.615598706
F30P2,0.252933284,0.4,0.53145113
F30P3,0.281528824,0.403482447,0.548831574
F30P4,0.277062363,0.681519204,0.505768716
F31P1,0.209248328,0.754677269,0.846208055
F31P2,0.201952864,0.759075249,0.77486086
F32P1,0.285680323,0.555555556,0.72943321
F32P2,0.258612454,0.67635731,0.866964
F32P3,0.221603675,0.428571429,0.814874944
F33P1,0.137437052,0.666666667,0.830450599
F33P2,0.260288076,0.662000743,0.550094833
F33P3,0.230783306,0.83322479,0.67390003
F33P4,0.216510861,0.797248697,0.807258523
F34P1,0.274840261,0.83810789,0.786995068
F34P2,0.247371545,0.796364731,0.740892035
F34P3,0.219563379,0.722509502,0.763281336
F34P4,0.306653024,0.845124511,0.553550677
F35P1,0.190556983,0.702219808,0.663952744
F35P2,0.219878809,0.766150374,0.667392597
F36P1,0.276808214,0.754595983,0.712284433
F36P2,0.171014748,0.71207715,0.624172701
F37P1,0.253450397,0.60625944,0.62367929
F37P2,0.273488624,0.605862596,0.667576646
F37P3,0.260089481,0.654815608,0.506083502
F37P4,0.254883107,0.663186909,0.492627473
F38P1,0.237474859,0.642120997,0.606954324
F38P2,0.231114561,0.772164112,0.766601849
F38P3,0.169098151,0.413343885,0.701498292
F38P4,0.259456875,0.704133642,0.73289178
F39P1,0.245043003,0.48486095,0.587545652
F39P2,0.225539203,0.705782938,0.806506579
F3P1,0.260220236,0.742631086,0.638673745
F3P2,0.301440834,0.677480054,0.750040358
F3P3,0.172245438,0.51169923,0.828489355
F3P4,0.240997464,0.619212001,0.617947445
F40P1,0.294610174,0.711864922,0.646640529
F40P2,0.277644596,0.560908362,0.664784006
F40P3,0.283619234,0.496864932,0.522234494
F40P4,0.315385942,0.693665784,0.563253421
F41P1,0.22497438,0.847271833,0.729403394
F41P2,0.387129712,0.824488748,0.534396506
F41P3,0.174233271,0.685836428,0.856975191
F41P4,0.228933255,0.666666667,0.723453975
F41P5,0.235164636,0.874858794,0.810530653
F41P6,0.224607693,0.67687165,0.508088244
F42P1,0.263229189,0.426807776,0.433689997
F42P2,0.272595858,0.556897003,0.606998007
F42P3,0.27383374,0.613970833,0.452913088
F42P4,0.248165489,0.572823112,0.600332515
F43P1,0.246180959,0.630191349,0.702904006
F43P2,0.181991045,0.5,0.689543659
F43P3,0.25980701,0.543618223,0.570743638
F44P1,0.162957499,0.526290573,0.622279388
F44P2,0.190525767,0.39043689,0.500257
F44P3,0.263422041,0.405719888,0.5228635
F44P4,0.214816742,0.372058503,0.533682533
F45P1,0.233135995,0.599247362,0.52168672
F45P2,0.236764559,0.685634913,0.62632472
F46P1,0.252157846,0.564079279,0.592390109
F46P2,0.141195864,0.565271745,0.686580575
F47P1,0.283285745,0.358691177,0.398829947
F47P2,0.192918324,0.494218876,0.582277535
F47P3,0.240411964,0.61286663,0.459001311
F48P1,0.26492274,0.55734603,0.694477385
F48P2,0.292499721,0.587323758,0.558386294
F49P1,0.260636162,0.473162401,0.642520645
F49P2,0.242260751,0.520716951,0.565590032
F49P3,0.252899528,0.342453071,0.612766942
F4P1,0.248333124,0.576296694,0.81398645
F4P2,0.236697623,0.597622251,0.531872305
F50P1,0.257858451,0.502972819,0.569713336
F50P2,0.23227937,0.437715688,0.553868279
F50P3,0.221336626,0.531187367,0.50040086
F50P4,0.271487452,0.517240379,0.460774801
F51P1,0.212741016,0.622933719,0.642671103
F51P2,0.163673459,0.483756298,0.614022384
F51P3,0.210805717,0.593864834,0.531390107
F52P1,0.224289136,0.721828461,0.703034985
F52P2,0.241415286,0.849998421,0.737518108
F52P3,0.273002117,0.560000068,0.636671761
F52P4,0.204942662,0.671897688,0.743449903
F52P5,0.228772692,0.521743831,0.703945966
F52P6,0.216461218,0.591255182,0.715829841
F52P7,0.220373026,0.496866119,0.665972676
F53P1,0.277975311,0.673725229,0.662110921
