plot,fdis_sp,feve_sp,fdiv_sp
F10P1,0.137173076,0.317669355,0.928293397
F10P2,0.241580946,0.679361942,0.624657335
F10P3,0.21304775,0.678158678,0.519819355
F10P4,0.203669634,0.686560478,0.635924984
F11P1,0.211955695,0.783454436,0.797234143
F11P2,0.217532688,0.624287256,0.833296652
F11P3,0.208062532,0.825138759,0.646411054
F12P1,0.183172498,0.666666667,0.81422074
F12P2,0.188765134,0.731693567,0.601862021
F12P3,0.131906799,0.800502374,0.492395487
F12P4,0.185615612,0.803668408,0.593986065
F13P1,0.256346074,0.855491723,0.830221886
F13P2,0.280030406,0.804122787,0.813405027
F13P3,0.224338416,0.707524272,0.653825997
F13P4,0.245856783,0.826568285,0.625044018
F1P1,0.155232334,0.368141567,0.471716017
F1P2,0.200122448,0.572734591,0.394587109
F1P3,0.231422302,0.759265396,0.577695172
F1P4,0.221667218,0.696132349,0.703701637
F2P1,0.230689801,0.6552717,0.734299343
F2P2,0.170478513,0.787756694,0.746082115
F2P3,0.217593277,0.757050515,0.785241999
F30P1,0.23055374,0.697254708,0.599967259
F30P2,0.289025343,0.49548153,0.827962672
F30P3,0.240145921,0.41216573,0.580007484
F30P4,0.252901559,0.779990898,0.576302173
F31P1,0.211598691,0.754785641,0.876788574
F31P2,0.19209401,0.780680611,0.81531802
F32P1,0.292214716,0.555555556,0.781427305
F32P2,0.263120975,0.66810897,0.736184401
F32P3,0.22598907,0.428571429,0.847615111
F33P1,0.086519843,0.7,0.777882208
F33P2,0.256776999,0.613715472,0.609500403
F33P3,0.228766259,0.818254119,0.728815891
F33P4,0.221525638,0.797158539,0.781836144
F34P1,0.282861015,0.87845515,0.82482289
F34P2,0.244069803,0.842718742,0.735890555
F34P3,0.219235154,0.75431118,0.742853274
F34P4,0.311307589,0.832105348,0.612776043
F35P1,0.175710138,0.763011052,0.840897016
F35P2,0.224395354,0.788311762,0.775742182
F36P1,0.317568282,0.876718746,0.811360318
F36P2,0.251750274,0.903212344,0.66691444
F37P1,0.234738074,0.708710923,0.766690996
F37P2,0.188101572,0.759958525,0.884733238
F37P3,0.228571486,0.798467119,0.680282614
F37P4,0.275582464,0.775703683,0.632291118
F38P1,0.240549101,0.80054349,0.634076019
F38P2,0.247081276,0.869669553,0.800880687
F38P3,0.161467687,0.504947192,0.798847886
F38P4,0.25672929,0.740440109,0.715217392
F39P1,0.215126807,0.522343786,0.535991899
F39P2,0.208912126,0.795721083,0.585988716
F3P1,0.280662877,0.872404746,0.709955139
F3P2,0.253090443,0.791450614,0.696665595
F3P3,0.155954545,0.788939213,0.939991365
F3P4,0.276858749,0.779783318,0.721823099
F40P1,0.281733073,0.81378403,0.798252923
F40P2,0.285926311,0.632876912,0.710129906
F40P3,0.261379693,0.59892104,0.637555018
F40P4,0.264452404,0.704441194,0.545560069
F41P1,0.229377083,0.847192151,0.641275637
F41P2,0.40593677,0.886539669,0.672719053
F41P3,0.168343605,0.713181629,0.906953224
F41P4,0.202824232,0.714132684,0.809669061
F41P5,0.235303743,0.861379076,0.801590023
F41P6,0.193359208,0.675835038,0.597034742
F42P1,0.191605748,0.59149851,0.55879435
F42P2,0.208085475,0.617059595,0.571997003
F42P3,0.227972787,0.634912752,0.593702303
F42P4,0.246063251,0.681034832,0.777838536
F43P1,0.245483708,0.647694887,0.708498594
F43P2,0.124099497,0.520072439,0.791010784
F43P3,0.215227397,0.612111409,0.555875174
F44P1,0.284168494,0.778206497,0.81105631
F44P2,0.22525033,0.764786422,0.512335484
F44P3,0.181363537,0.600394901,0.53359527
F44P4,0.238491109,0.446924176,0.393016493
F45P1,0.193109546,0.870067429,0.4918093
F45P2,0.233607436,0.848055404,0.564423865
F46P1,0.216534433,0.687741105,0.78578681
F46P2,0.224924549,0.830339294,0.697872617
F47P1,0.182430529,0.532804162,0.427356323
F47P2,0.212145876,0.749425498,0.5985983
F47P3,0.251641761,0.849567682,0.462536823
F48P1,0.194173471,0.637053935,0.782647483
F48P2,0.228822405,0.795903693,0.630583283
F49P1,0.13493376,0.708134458,0.771602139
F49P2,0.21284669,0.70848417,0.667259821
F49P3,0.142595755,0.386016641,0.47859419
F4P1,0.186821299,0.716262935,0.609437244
F4P2,0.240439675,0.778024075,0.695249957
F50P1,0.230417362,0.763708275,0.711467815
F50P2,0.226222211,0.655859431,0.619318943
F50P3,0.200198899,0.65188345,0.715370758
F50P4,0.149349428,0.763060314,0.424994446
F51P1,0.272351726,0.796012985,0.781988989
F51P2,0.200142441,0.810065646,0.805829763
F51P3,0.247963764,0.686054027,0.818024511
F52P1,0.224241178,0.692335457,0.651188506
F52P2,0.250779182,0.849867041,0.550839406
F52P3,0.311283844,0.736226936,0.746855906
F52P4,0.246897555,0.926496029,0.741255593
F52P5,0.216806077,0.661740242,0.780856606
F52P6,0.210141253,0.637266637,0.786360938
F52P7,0.243472233,0.714685818,0.751077009
F53P1,0.251370209,0.696232991,0.807744979
F53P2,0.271341968,0.873308619,0.756368212
F54P1,0.201056458,0.715841306,0.760847569
F54P2,0.1891388,0.822348677,0.728860367
F54P3,0.243575638,0.657353155,0.766675249
F54P4,0.254600658,0.855376175,0.648752527
F54P5,0.190565177,0.779464415,0.777741785
F54P6,0.218109038,0.751062273,0.776630134
F5P1,0.226808782,0.847931395,0.536373645
F5P2,0.258585133,0.747129374,0.605415409
F5P3,0.219307486,0.614490229,0.841194771
F6P1,0.225003793,0.643038878,0.880510907
F6P2,0.253124924,0.826126537,0.676993275
F6P3,0.195924628,0.78980768,0.777294387
F7P1,0.226151045,0.724376116,0.588030594
F7P2,0.250988619,0.831110027,0.551844774
F8P1,0.228807107,0.673214292,0.432901099
F8P2,0.140543727,0.825645261,0.481267655
F9P1,0.181460532,0.821967024,0.626970081
F9P2,0.146751868,0.783986218,0.563802297
F9P3,0.104408576,0.710147658,0.972692556
