plot,feve_sp,fdiv_sp,fdis_sp
F10P1,0.759136192,0.633129201,1.473631209
F10P2,0.759456654,0.84826135,1.513493414
F10P3,0.76728118,0.656523894,1.26554652
F10P4,0.653417283,0.582865482,1.740923241
F11P1,0.828692052,0.765159285,1.789134652
F11P2,0.752060524,0.704296375,2.022242397
F11P3,0.862726032,0.846480961,1.855198696
F12P1,0.767969858,0.817500739,2.011879103
F12P2,0.843608599,0.679119339,1.832341095
F12P3,0.64198396,0.560998956,1.276343377
F12P4,0.728463134,0.606160478,1.59170984
F13P1,0.805846987,0.759139658,1.910623426
F13P2,0.828559499,0.808132342,2.184959438
F13P3,0.627008243,0.80580045,1.792935915
F13P4,0.731790898,0.821666147,1.563216784
F1P1,0.487211358,0.595529799,0.909353896
F1P2,0.651706257,0.604594086,1.298045292
F1P3,0.775058487,0.598330588,1.412482785
F1P4,0.726765789,0.483309965,1.1962681
F2P1,0.718801563,0.591380189,1.51200849
F2P2,0.696382108,0.660851199,0.998169221
F2P3,0.7725783,0.617837957,1.644655518
F30P1,0.845769433,0.840765885,1.639070142
F30P2,0.700886922,0.684089936,1.262495696
F30P3,0.793668601,0.897349391,1.409074855
F30P4,0.788698557,0.70570226,1.253798896
F31P1,0.692387904,0.73074612,2.289929788
F31P2,0.826319896,0.78721439,2.399690497
F32P1,0.712685499,0.810954272,1.85772918
F32P2,0.75817736,0.720997963,1.894212792
F32P3,0.7645253,0.728492831,2.111284301
F33P1,0.707000522,0.751529983,1.484215107
F33P2,0.706880748,0.535426423,1.417575875
F33P3,0.685660941,0.639828626,1.602054636
F33P4,0.71182265,0.642497795,1.993732227
F34P1,0.782773313,0.711727888,2.123754203
F34P2,0.835932321,0.720835592,2.392976912
F34P3,0.825428434,0.708025414,2.185317358
F34P4,0.81717326,0.783700923,1.994467119
F35P1,0.764228623,0.738984172,1.804340032
F35P2,0.848500028,0.820959386,2.004188154
F36P1,0.797192764,0.743135484,2.230669432
F36P2,0.726569373,0.674749578,2.10374052
F37P1,0.73715948,0.675792603,1.302872821
F37P2,0.663481636,0.683270958,1.269938552
F37P3,0.814549439,0.794106152,1.46682311
F37P4,0.782253652,0.812007506,1.481063804
F38P1,0.823566083,0.748374676,2.053586871
F38P2,0.879159273,0.849771278,1.899049154
F38P3,0.632156747,0.733144974,1.253208947
F38P4,0.802260123,0.756414685,1.692595867
F39P1,0.790848925,0.81374348,1.340585412
F39P2,0.732716277,0.685531597,1.76212126
F3P1,0.792334583,0.643546497,1.882773331
F3P2,0.768715329,0.728869745,1.306448637
F3P3,0.434121049,0.657431554,1.799893721
F3P4,0.761110504,0.678183171,1.947589274
F40P1,0.751363653,0.836508204,1.370024098
F40P2,0.77623535,0.829877168,1.620604205
F40P3,0.827590578,0.823671902,1.502782714
F40P4,0.711583163,0.698678869,1.393868681
F41P1,0.836550135,0.743149341,2.36344984
F41P2,0.839197954,0.715491433,1.639630469
F41P3,0.760452802,0.735621399,1.893053813
F41P4,0.836046941,0.795926873,1.953876644
F41P5,0.793969416,0.705839221,2.301155696
F41P6,0.759034762,0.650082624,1.076643033
F42P1,0.530423135,0.661286466,1.704659183
F42P2,0.806281395,0.858229681,1.446215842
F42P3,0.731852691,0.71186831,1.53814714
F42P4,0.776158094,0.83513128,1.779783558
F43P1,0.716086505,0.682920259,1.594649953
F43P2,0.819156252,0.833353599,1.676141521
F43P3,0.722117391,0.690714393,1.838261577
F44P1,0.847730816,0.820499935,2.142047891
F44P2,0.73119677,0.658818193,1.670894085
F44P3,0.76493351,0.774643597,1.570898285
F44P4,0.707449514,0.781552058,1.768685043
F45P1,0.754259477,0.832447446,1.602265702
F45P2,0.806295849,0.6886553,1.793450567
F46P1,0.759886219,0.840791331,1.728299166
F46P2,0.760934415,0.810939999,2.408487123
F47P1,0.770532285,0.744809754,1.64829693
F47P2,0.842898514,0.768902536,2.096362046
F47P3,0.892680976,0.902788842,1.646946542
F48P1,0.778803983,0.853451176,1.676688509
F48P2,0.735870765,0.659115426,1.582550411
F49P1,0.729515557,0.858360899,0.860254818
F49P2,0.667746518,0.605707609,2.162182122
F49P3,0.7319358,0.602761082,1.263522377
F4P1,0.658022108,0.660113381,0.949355539
F4P2,0.655518329,0.602624513,1.685824052
F50P1,0.777282335,0.738116824,1.796770902
F50P2,0.770435264,0.888205595,1.623754071
F50P3,0.737809978,0.688163772,1.436691001
F50P4,0.583228635,0.84211704,1.055009312
F51P1,0.729327226,0.74820178,2.267250954
F51P2,0.871346149,0.803742704,1.536782985
F51P3,0.869632059,0.775890702,2.019514594
F52P1,0.791347567,0.719274197,2.220058692
F52P2,0.737603114,0.723411467,2.217249657
F52P3,0.774170951,0.713285301,1.802642524
F52P4,0.891822333,0.780902254,2.115323846
F52P5,0.768313613,0.689485115,1.523063028
F52P6,0.751496037,0.78114492,2.027727722
F52P7,0.835313972,0.776457312,1.697510293
F53P1,0.859640269,0.76297535,2.642502952
F53P2,0.854898934,0.791401446,2.536267032
F54P1,0.843754063,0.799008713,2.63417064
F54P2,0.84963741,0.819691446,2.573172404
F54P3,0.766740888,0.68664039,2.547145915
F54P4,0.867309325,0.888043882,1.912706339
F54P5,0.858005984,0.836256722,1.768299639
F54P6,0.78628933,0.743672783,2.236132706
F5P1,0.628699335,0.601496363,1.510681655
F5P2,0.668531127,0.633093298,1.970543794
F5P3,0.7582305,0.816308359,2.038297451
F6P1,0.647701426,0.729331867,0.72527152
F6P2,0.702085901,0.696494923,1.448420867
F6P3,0.825308301,0.823094482,0.956117566
F7P1,0.734143545,0.813870712,1.855270516
F7P2,0.781928635,0.632315264,1.592092669
F8P1,0.788963258,0.536408269,1.594547527
F8P2,0.572498613,0.56625369,0.90146786
F9P1,0.635008085,0.478272301,1.188587068
F9P2,0.713746822,0.507186616,1.376139361
F9P3,0.550498143,0.625979997,1.172747735
