plot,N,D,Q,U,redundancy
F10P1,12,0.810950445,0.103353792,0.127447729,0.872552271
F10P2,19,0.88397505,0.090211812,0.102052441,0.897947559
F10P3,13,0.729766805,0.094056331,0.128885461,0.871114539
F10P4,15,0.612476463,0.090455441,0.147688029,0.852311971
F11P1,21,0.835909664,0.098309367,0.117607645,0.882392355
F11P2,20,0.888888922,0.164592602,0.185166671,0.814833329
F11P3,17,0.81000005,0.104564141,0.129091524,0.870908476
F12P1,15,0.866735563,0.117708816,0.135807068,0.864192932
F12P2,13,0.83241001,0.095047772,0.11418384,0.88581616
F12P3,16,0.799039814,0.074821936,0.09363981,0.90636019
F12P4,15,0.818525558,0.086402302,0.105558466,0.894441534
F13P1,16,0.731250056,0.141217811,0.193118359,0.806881641
F13P2,25,0.841145877,0.147596124,0.175470305,0.824529695
F13P3,19,0.858024722,0.12607418,0.14693537,0.85306463
F13P4,15,0.858725788,0.109438128,0.127442461,0.872557539
F1P1,6,0.479166742,0.061272205,0.127872408,0.872127592
F1P2,8,0.628472307,0.093780221,0.149219338,0.850780662
F1P3,7,0.730000086,0.101656483,0.139255439,0.860744561
F1P4,7,0.607438103,0.075964385,0.125056998,0.874943002
F2P1,14,0.80624431,0.148547854,0.184246701,0.815753299
F2P2,9,0.67578129,0.091312436,0.135121285,0.864878715
F2P3,14,0.837868515,0.121482712,0.144990187,0.855009813
F30P1,21,0.886965954,0.095258291,0.107397912,0.892602088
F30P2,12,0.841250028,0.081080647,0.096381152,0.903618848
F30P3,14,0.856481517,0.099583606,0.116270584,0.883729416
F30P4,22,0.877218968,0.121987871,0.139062053,0.860937947
F31P1,20,0.928019036,0.148333683,0.159839052,0.840160948
F31P2,19,0.923076923,0.146852736,0.159090464,0.840909536
F32P1,13,0.907407407,0.207729374,0.228926249,0.771073751
F32P2,13,0.884353741,0.161130754,0.182201699,0.817798301
F32P3,11,0.87,0.174902492,0.201037347,0.798962653
F33P1,17,0.934240363,0.088437655,0.094662635,0.905337365
F33P2,9,0.8033241,0.102727742,0.127878327,0.872121673
F33P3,15,0.795858069,0.115779686,0.145477807,0.854522193
F33P4,13,0.906574394,0.150702658,0.166233084,0.833766916
F34P1,19,0.928,0.153971156,0.165917194,0.834082806
F34P2,15,0.897959184,0.168354353,0.187485529,0.812514471
F34P3,17,0.928,0.185000056,0.199353508,0.800646492
F34P4,18,0.85502966,0.190766703,0.223111211,0.776888789
F35P1,15,0.812500039,0.102290652,0.125896181,0.874103819
F35P2,16,0.815427058,0.119169736,0.146143955,0.853856045
F36P1,20,0.915224913,0.152855041,0.167013636,0.832986364
F36P2,16,0.789224995,0.110026829,0.139411233,0.860588767
F37P1,16,0.878086454,0.097037753,0.110510477,0.889489523
F37P2,16,0.822996872,0.072221391,0.08775415,0.91224585
F37P3,16,0.88365651,0.11872336,0.134354649,0.865645351
F37P4,16,0.886250027,0.079172908,0.089334732,0.910665268
F38P1,18,0.922711058,0.159731104,0.173110643,0.826889357
F38P2,22,0.923822715,0.112443352,0.121715292,0.878284708
F38P3,10,0.780612292,0.069409724,0.088917027,0.911082973
F38P4,21,0.8858132,0.120981847,0.136577156,0.863422844
F39P1,18,0.778393409,0.076525863,0.098312578,0.901687422
F39P2,19,0.91987513,0.138063647,0.150089553,0.849910447
F3P1,16,0.851111159,0.105848386,0.124364938,0.875635062
F3P2,14,0.799586817,0.099088575,0.123924723,0.876075277
F3P3,11,0.813938228,0.142530208,0.175111824,0.824888176
F3P4,17,0.851200035,0.115733667,0.135965298,0.864034702
F40P1,13,0.88,0.103076365,0.117132233,0.882867767
F40P2,22,0.924391847,0.107100623,0.115860632,0.884139368
F40P3,16,0.888888889,0.095633088,0.107587224,0.892412776
F40P4,10,0.85,0.087808018,0.10330355,0.89669645
F41P1,17,0.934240363,0.162836438,0.174298226,0.825701774
