plot,N,D,Q,U,redundancy_sp
F10P1,8,0.629757909,0.132176573,0.209884737,0.790115263
F10P2,15,0.828888951,0.091920795,0.110896393,0.889103607
F10P3,11,0.702947949,0.122851947,0.174766776,0.825233224
F10P4,12,0.859504132,0.177171243,0.206131927,0.793868073
F11P1,17,0.927083333,0.139517929,0.150491249,0.849508751
F11P2,16,0.912,0.211539575,0.231951288,0.768048712
F11P3,13,0.892733564,0.159504092,0.178669312,0.821330688
F12P1,11,0.8515625,0.162977168,0.191386032,0.808613968
F12P2,10,0.708333417,0.101266351,0.142964244,0.857035756
F12P3,12,0.653061286,0.073827922,0.113048996,0.886951004
F12P4,11,0.723140593,0.102388302,0.141588376,0.858411624
F13P1,13,0.91349481,0.23659405,0.25899879,0.74100121
F13P2,22,0.949245542,0.20098754,0.211733983,0.788266017
F13P3,15,0.882282996,0.168854156,0.191383214,0.808616786
F13P4,11,0.818181818,0.125243035,0.153074821,0.846925179
F1P1,6,0.479166742,0.061272205,0.127872408,0.872127592
F1P2,8,0.628472307,0.093780221,0.149219338,0.850780662
F1P3,7,0.730000086,0.101656483,0.139255439,0.860744561
F1P4,6,0.571428659,0.076471432,0.133824985,0.866175015
F2P1,12,0.742400085,0.171155698,0.230543747,0.769456253
F2P2,7,0.476190563,0.107337561,0.225408838,0.774591162
F2P3,12,0.774400082,0.145118949,0.187395317,0.812604683
F30P1,17,0.8672,0.109753753,0.126561062,0.873438938
F30P2,8,0.7109375,0.070864244,0.099677179,0.900322821
F30P3,11,0.760330672,0.107627333,0.141553322,0.858446678
F30P4,18,0.803329934,0.144005464,0.179260673,0.820739327
F31P1,20,0.928019036,0.148333683,0.159839052,0.840160948
F31P2,18,0.93877551,0.165826606,0.176641385,0.823358615
F32P1,13,0.907407407,0.207729374,0.228926249,0.771073751
F32P2,13,0.884353741,0.161130754,0.182201699,0.817798301
F32P3,11,0.87,0.174902492,0.201037347,0.798962653
F33P1,15,0.92733564,0.083754843,0.090317723,0.909682277
F33P2,8,0.76816609,0.105334167,0.137124209,0.862875791
F33P3,14,0.780800085,0.116675437,0.149430615,0.850569385
F33P4,13,0.906574394,0.150702658,0.166233084,0.833766916
F34P1,17,0.93,0.163621232,0.175936808,0.824063192
F34P2,14,0.921875,0.188676172,0.204665678,0.795334322
F34P3,15,0.917355372,0.19819783,0.21605349,0.78394651
F34P4,17,0.844800079,0.193279597,0.228787381,0.771212619
F35P1,13,0.820861678,0.115443224,0.140636635,0.859363365
F35P2,14,0.913580247,0.146385012,0.160232243,0.839767757
F36P1,17,0.925619835,0.174724141,0.188764474,0.811235526
F36P2,14,0.91,0.134156289,0.147424493,0.852575507
F37P1,12,0.784580596,0.099253219,0.126504809,0.873495191
F37P2,12,0.688775587,0.051660255,0.075003029,0.924996971
F37P3,13,0.865,0.137714007,0.159206944,0.840793056
F37P4,12,0.851239669,0.068495755,0.080465887,0.919534113
F38P1,14,0.905,0.17534236,0.193748465,0.806251535
F38P2,18,0.933884298,0.136037792,0.145668786,0.854331214
F38P3,7,0.7265625,0.068185453,0.093846645,0.906153355
F38P4,18,0.860000062,0.125683203,0.146143249,0.853856751
F39P1,15,0.716253511,0.06810064,0.095078961,0.904921039
F39P2,16,0.899408284,0.143485762,0.159533512,0.840466488
F3P1,13,0.858725762,0.131708994,0.153377248,0.846622752
F3P2,11,0.655555627,0.101567191,0.154932986,0.845067014
F3P3,7,0.707818984,0.164925623,0.233005368,0.766994632
F3P4,13,0.786982326,0.147079442,0.186890401,0.813109599
F40P1,10,0.816608997,0.109709661,0.134347847,0.865652153
F40P2,18,0.897959184,0.113494221,0.126391292,0.873608708
F40P3,12,0.825484765,0.097360655,0.117943612,0.882056388
F40P4,8,0.816568047,0.108443977,0.132804581,0.867195419
F41P1,17,0.934240363,0.162836438,0.174298226,0.825701774
F41P2,11,0.897959184,0.128936145,0.143587979,0.856412021
F41P3,17,0.923611111,0.145343545,0.15736444,0.84263556
F41P4,11,0.875,0.078140692,0.089303648,0.910696352
F41P5,15,0.918714556,0.158382546,0.172395817,0.827604183
F41P6,12,0.660000073,0.070177873,0.1063301,0.8936699
F42P1,10,0.680473454,0.101492398,0.14914968,0.85085032
F42P2,8,0.7109375,0.057762842,0.081248833,0.918751167
F42P3,13,0.866213152,0.15199933,0.175475666,0.824524334
F42P4,16,0.909469303,0.151120268,0.166163132,0.833836868
F43P1,18,0.863281303,0.100035429,0.115878137,0.884121863
F43P2,19,0.933837429,0.105446055,0.112916929,0.887083071
F43P3,17,0.862244961,0.143755399,0.166722225,0.833277775
F44P1,13,0.918367347,0.175454274,0.19105021,0.80894979
F44P2,13,0.851851852,0.106649347,0.12519706,0.87480294
F44P3,11,0.65777785,0.086970554,0.132218734,0.867781266
F44P4,10,0.770975148,0.113012434,0.146583758,0.853416242
F45P1,14,0.839476863,0.129062824,0.153741967,0.846258033
F45P2,17,0.836762762,0.106038333,0.126724488,0.873275512
F46P1,11,0.875283447,0.183612394,0.209774782,0.790225218
F46P2,10,0.888888889,0.18466988,0.207753615,0.792246385
F47P1,11,0.689453191,0.080480607,0.116731067,0.883268933
F47P2,13,0.906574394,0.111149742,0.122604105,0.877395895
F47P3,11,0.831758034,0.115335519,0.138664749,0.861335251
F48P1,11,0.850694444,0.120662959,0.141840539,0.858159461
F48P2,16,0.777645735,0.101431645,0.130434258,0.869565742
F49P1,9,0.466111835,0.052544263,0.112728877,0.887271123
F49P2,12,0.781250079,0.119534206,0.153003768,0.846996232
F49P3,10,0.632231502,0.099916112,0.158037224,0.841962776
F4P1,7,0.585034107,0.052385106,0.08954197,0.91045803
F4P2,10,0.767485907,0.139225185,0.181404223,0.818595777
F50P1,12,0.847107438,0.115638489,0.136509826,0.863490174
F50P2,11,0.775510297,0.08008815,0.103271549,0.896728451
F50P3,16,0.925619835,0.11048699,0.119365408,0.880634592
F50P4,6,0.471655414,0.04399406,0.093275852,0.906724148
F51P1,18,0.93877551,0.186126827,0.198265533,0.801734467
F51P2,11,0.875,0.157758493,0.180295421,0.819704579
F51P3,16,0.923076923,0.159582074,0.17288058,0.82711942
F52P1,15,0.921487603,0.190923612,0.207190646,0.792809354
F52P2,22,0.946492271,0.118085491,0.124761179,0.875238821
F52P3,15,0.8768,0.15339208,0.174945346,0.825054654
F52P4,12,0.897777778,0.151965576,0.169268587,0.830731413
F52P5,18,0.930056711,0.126234966,0.135728246,0.864271754
F52P6,18,0.927083333,0.168427769,0.181674897,0.818325103
F52P7,12,0.865051903,0.169874812,0.196375282,0.803624718
F53P1,12,0.888888889,0.156309111,0.17584775,0.82415225
F53P2,8,0.864197531,0.11031164,0.127646326,0.872353674
F54P1,14,0.913580247,0.157651896,0.172564913,0.827435087
