plot,feve,fric,fdis
F10P1,0.586147423,2.82836121,1.682602151
F10P2,0.668118589,3.764346588,1.779194331
F10P3,0.682463633,2.301365819,1.634656729
F10P4,0.623080083,8.253693661,1.62522767
F11P1,0.757533937,4.156033393,2.024027009
F11P2,0.761407243,13.26760486,2.124562813
F11P3,0.773159938,4.918220358,1.925353119
F12P1,0.617450456,4.263668608,1.99044343
F12P2,0.658525474,3.037422106,1.95095273
F12P3,0.659598347,4.559354785,1.741229266
F12P4,0.652729216,6.532716429,1.971187537
F13P1,0.803776418,7.872144592,2.125870411
F13P2,0.817849977,22.32665059,2.237204987
F13P3,0.626684782,5.657752162,2.049621555
F13P4,0.658396728,2.253704933,1.929124568
F1P1,0.490204418,0.014741232,0.909228318
F1P2,0.652671167,1.175769909,1.297866035
F1P3,0.776502282,0.140317233,1.402935767
F1P4,0.768050027,0.794361133,1.29060103
F2P1,0.768600944,4.92714066,1.853840221
F2P2,0.658081711,0.916751815,1.719393336
F2P3,0.755693609,7.841731813,1.8107307
F30P1,0.822998792,5.571198748,1.94194244
F30P2,0.634764477,0.908848193,1.720259136
F30P3,0.753435671,2.010896043,1.624245206
F30P4,0.736752022,4.81936361,1.595754455
F31P1,0.693100398,20.75979299,2.28050918
F31P2,0.816459324,14.12841845,2.451440414
F32P1,0.712988452,1.543607178,1.861887773
F32P2,0.757247335,1.525066148,1.894409013
F32P3,0.762958676,2.370954085,2.114398699
F33P1,0.744682434,2.020028852,1.470461232
F33P2,0.700810961,0.566510959,1.398157167
F33P3,0.746464594,8.672431328,1.590709792
F33P4,0.732790304,3.812857948,1.992046173
F34P1,0.795907219,13.41207696,2.291854114
F34P2,0.822562577,15.93470998,2.503264669
F34P3,0.814877723,14.3534637,2.105654402
F34P4,0.819454461,15.41499572,1.995880943
F35P1,0.729851383,3.908855957,2.086030542
F35P2,0.804052873,8.083659861,2.124467118
F36P1,0.752476978,23.0690584,2.149717406
F36P2,0.619030126,7.799443359,1.95524554
F37P1,0.689790789,2.349778204,1.722654774
F37P2,0.626333418,1.126221088,1.359426329
F37P3,0.719227322,1.117842357,1.508786165
F37P4,0.753106938,2.67061875,1.55051898
F38P1,0.794241302,8.553047001,2.167787833
F38P2,0.829007359,7.608205325,1.850563951
F38P3,0.620564473,0.319983034,1.249265028
F38P4,0.820663803,10.70468551,1.811685887
F39P1,0.802707525,3.999271622,1.446462231
F39P2,0.734718419,18.80975324,1.843705541
F3P1,0.773560059,5.163939153,2.230612617
F3P2,0.702226014,3.476827489,1.665080423
F3P3,0.608870785,2.223266763,1.879175697
F3P4,0.676558609,7.414827419,2.009283504
F40P1,0.72756625,1.684700315,1.635817131
F40P2,0.772837071,5.779990843,1.706231469
F40P3,0.802449249,3.338904778,1.670667
F40P4,0.685612196,0.944010395,1.587388996
F41P1,0.835817055,10.24324681,2.352542607
F41P2,0.832460885,0.821977359,1.516339911
F41P3,0.779233604,9.696898653,1.921438851
F41P4,0.790651966,1.813402038,1.683908874
F41P5,0.803933537,11.13204637,2.302133456
F41P6,0.696044792,1.014381448,1.100596086
F42P1,0.499123325,4.735950466,1.633283078
F42P2,0.696738672,0.729444085,1.649178955
F42P3,0.688065152,2.672950717,1.470784312
F42P4,0.762453929,4.34502181,1.703465256
F43P1,0.716594761,5.903127465,1.773940348
F43P2,0.799202716,4.864359813,1.71827574
F43P3,0.675803722,7.583559202,1.790562036
F44P1,0.740457724,8.597099334,1.957159854
F44P2,0.644078857,5.41149494,1.676733675
F44P3,0.633098603,6.047501418,1.745160946
F44P4,0.581947993,5.170722099,1.797027588
F45P1,0.629213084,7.069769847,1.670244078
F45P2,0.729011549,12.37387815,2.016412442
F46P1,0.712012552,3.261204436,1.664518478
F46P2,0.564568442,5.665831121,1.785160046
F47P1,0.681940768,3.700663479,1.761151933
F47P2,0.759109754,6.211501531,1.61718585
F47P3,0.74908172,2.146894566,1.860845262
F48P1,0.825820895,1.843252611,1.50134096
F48P2,0.656280668,11.49944744,1.635982964
F49P1,0.606402395,0.734103415,1.611547723
F49P2,0.554614558,11.60062546,1.822234846
F49P3,0.619269712,4.009611207,1.63277884
F4P1,0.737748502,0.458555555,1.766869952
F4P2,0.601612751,5.019347206,1.870926031
F50P1,0.723419334,5.847588164,1.787600843
F50P2,0.623330262,2.495215949,1.507196581
F50P3,0.701848128,3.679472744,1.702357375
F50P4,0.689716334,0.52605225,1.723499339
F51P1,0.686086966,32.00003147,2.07483287
F51P2,0.775144875,1.31108543,1.433085246
F51P3,0.691217839,10.68461924,2.060180939
F52P1,0.800339584,18.5697603,2.301262825
F52P2,0.736829633,21.40236792,2.215477771
F52P3,0.666236177,5.100058379,1.675997109
F52P4,0.856827318,6.332456653,2.171037198
F52P5,0.651454933,6.632527818,1.445214327
F52P6,0.743645153,9.729079032,1.968538246
F52P7,0.779122843,4.093383929,1.494561739
F53P1,0.802686232,14.03952097,2.480916242
F53P2,0.803135455,1.468080209,1.997858398
F54P1,0.821566992,18.90136388,2.593177171
F54P2,0.838704995,11.61283391,2.488691585
F54P3,0.732232116,19.59881422,2.26518012
F54P4,0.726964383,1.146224808,1.685206177
F54P5,0.869936349,3.525162403,1.983255281
F54P6,0.772858052,24.37641218,2.334183948
F5P1,0.560712426,3.470960194,1.633083207
F5P2,0.583104887,3.922874553,1.585889347
F5P3,0.624767404,1.405925033,2.042681594
F6P1,0.676798838,0.224303243,1.37683237
F6P2,0.719842261,5.13009767,1.80609962
F6P3,0.754955071,1.043532619,1.317705626
F7P1,0.657846971,4.861143874,2.065695778
F7P2,0.629688561,7.967655524,1.716914141
F8P1,0.643362828,9.239987735,1.909189717
F8P2,0.669812267,0.447624838,1.51254218
F9P1,0.545869565,1.813671265,1.250336889
F9P2,0.731699871,4.156527066,1.47967982
F9P3,0.51838296,2.202870703,1.565029069
