plot,feve_sp,fdiv_sp,fdis_sp
F10P1,0.708740745,0.879333927,0.318910865
F10P2,0.534848615,0.569433511,0.297233322
F10P3,0.596029752,0.469130622,0.274366479
F10P4,0.641157932,0.783993484,0.23461721
F11P1,0.578868835,0.645723887,0.21288193
F11P2,0.480220953,0.633247523,0.190722398
F11P3,0.65385651,0.690980305,0.280033098
F12P1,0.639468601,0.808592728,0.174751768
F12P2,0.433622016,0.63286465,0.238187503
F12P3,0.520424651,0.405702767,0.270118904
F12P4,0.506467572,0.453249739,0.270915288
F13P1,0.710704299,0.656240874,0.226136059
F13P2,0.538027529,0.782054272,0.203272841
F13P3,0.640318386,0.61901812,0.188090603
F13P4,0.412278327,0.658026233,0.265234729
F1P1,0.774591755,0.962067691,0.207470886
F1P2,0.708515576,0.690214198,0.210901583
F1P3,0.810000393,0.51077936,0.334704468
F1P4,0.517546762,0.440005494,0.255650367
F2P1,0.798157292,0.621197763,0.283656812
F2P2,0.829326821,0.556056499,0.228569102
F2P3,0.548543456,0.53906966,0.295525237
F30P1,0.554554263,0.582647373,0.263670405
F30P2,0.627310211,0.597145709,0.315724097
F30P3,0.485628217,0.47671521,0.266796104
F30P4,0.676590834,0.544650405,0.306726944
F31P1,0.608649313,0.824843869,0.215525505
F31P2,0.521961782,0.57547174,0.273672116
F32P1,0.454545455,0.612886915,0.279941116
F32P2,0.545454545,0.691690227,0.251335601
F32P3,0.521079787,0.595596753,0.271811739
F33P1,0.461538462,0.896806335,0.173473887
F33P2,0.584024297,0.599989822,0.30120729
F33P3,0.765231929,0.51399226,0.322826524
F33P4,0.712997789,0.63623691,0.240674404
F34P1,0.691125398,0.691678018,0.258403428
F34P2,0.744359807,0.64747798,0.320166987
F34P3,0.728454789,0.557344838,0.255218504
F34P4,0.783837644,0.468610142,0.302309175
F35P1,0.505036307,0.87163615,0.122288015
F35P2,0.615716981,0.733278466,0.252411109
F36P1,0.664468454,0.670423724,0.263202979
F36P2,0.583333333,0.54423276,0.283574941
F37P1,0.621876225,0.623920719,0.275916247
F37P2,0.670199597,0.483303352,0.242153705
F37P3,0.660367101,0.542691533,0.230539762
F37P4,0.729154655,0.594011027,0.294379057
F38P1,0.5,0.535832678,0.28979234
F38P2,0.731280105,0.763697367,0.227170683
F38P3,0.552417555,0.711883822,0.153411335
F38P4,0.534022764,0.700840864,0.302196176
F39P1,0.554007016,0.551350092,0.25239503
F39P2,0.500359797,0.497808092,0.283469209
F3P1,0.678317035,0.594769009,0.294557237
F3P2,0.725775126,0.518038676,0.268754947
F3P3,0.667106776,0.878770075,0.157863289
F3P4,0.487927751,0.691174026,0.297662933
F40P1,0.733568689,0.612295777,0.302840041
F40P2,0.53377079,0.498733329,0.278505179
F40P3,0.64031888,0.569175204,0.271589594
F40P4,0.779428133,0.645973036,0.270949352
F41P1,0.6,0.58677446,0.237542151
F41P2,0.834119698,0.580137598,0.309481411
F41P3,0.755708459,0.706017745,0.262000341
F41P4,0.537812868,0.687886714,0.222291725
F41P5,0.714441151,0.546717838,0.334062871
F41P6,0.618532655,0.565097013,0.294224361
F42P1,0.540352855,0.533823666,0.280579831
F42P2,0.571219339,0.535317529,0.270162909
F42P3,0.689422229,0.483142876,0.270518261
F42P4,0.467130109,0.724338807,0.200204557
F43P1,0.584303867,0.649237729,0.249507891
F43P2,0.470588235,0.801186031,0.129179422
F43P3,0.600057142,0.660559679,0.276997313
F44P1,0.545454545,0.701057692,0.225087602
F44P2,0.792851947,0.55405936,0.293235433
F44P3,0.57404491,0.428176818,0.294575605
F44P4,0.55086526,0.589975218,0.343234626
F45P1,0.565870797,0.4894694,0.260299252
F45P2,0.605054845,0.544905568,0.29816346
F46P1,0.616283533,0.628448103,0.212967198
F46P2,0.734403653,0.580308316,0.299601687
F47P1,0.573085732,0.464274771,0.269649563
F47P2,0.842518306,0.625449374,0.284234864
F47P3,0.826455119,0.571240086,0.281156897
F48P1,0.521781173,0.493226417,0.25343476
F48P2,0.518901673,0.560306039,0.293882694
F49P1,0.592633642,0.695201884,0.263911812
F49P2,0.735085797,0.658616618,0.272875657
F49P3,0.669938161,0.623700602,0.257301013
F4P1,0.607728401,0.523039112,0.212242073
F4P2,0.76188693,0.791038524,0.339314766
F50P1,0.693109139,0.66656365,0.266517525
F50P2,0.491606423,0.509208226,0.233922219
F50P3,0.5,0.698652864,0.18469997
F50P4,0.762400995,0.56350415,0.221396899
F51P1,0.5,0.718277608,0.223850024
F51P2,0.438364788,0.573648855,0.148954149
F51P3,0.357142857,0.673999875,0.181552858
F52P1,0.728847918,0.685381058,0.278386971
F52P2,0.693136926,0.657547366,0.260119991
F52P3,0.622672216,0.559709924,0.254698808
F52P4,0.743464555,0.664570449,0.293446215
F52P5,0.474301691,0.703567584,0.169351767
F52P6,0.5625,0.760242783,0.1832741
F52P7,0.47502375,0.552140339,0.2496422
F53P1,0.857878781,0.732584457,0.313920782
F53P2,0.907132165,0.671455923,0.316789659
F54P1,0.721149421,0.794617864,0.217434218
F54P2,0.657114554,0.735098551,0.247797341
F54P3,0.64170523,0.701500644,0.365665425
F54P4,0.857213812,0.634861136,0.257119722
F54P5,0.645338286,0.763568695,0.292594003
F54P6,0.632810794,0.594452042,0.250358794
F5P1,0.56278544,0.560647867,0.269426561
F5P2,0.842919369,0.624873325,0.240012191
F5P3,0.645682237,0.72694281,0.210555161
F6P1,0.447845534,0.850406034,0.25900149
F6P2,0.549620942,0.502061189,0.303487712
F6P3,0.849261371,0.700556955,0.302124964
F7P1,0.651225163,0.507194498,0.352428468
F7P2,0.701770679,0.528648128,0.294961919
F8P1,0.698581363,0.589189369,0.243639334
F8P2,0.764984484,0.532928723,0.151928518
F9P1,0.536211097,0.45314091,0.205005661
F9P2,0.615530671,0.459040022,0.323949032
F9P3,0.363212449,0.429677478,0.177558493
