plot,N,D,Q,U,redundancy
F10P1,12,0.810950445,0.323099154,0.398420342,0.601579658
F10P2,19,0.88397505,0.311592074,0.352489671,0.647510329
F10P3,13,0.729766805,0.301831273,0.41359962,0.58640038
F10P4,15,0.612476463,0.234030701,0.382105624,0.617894376
F11P1,21,0.835909664,0.228246148,0.273051213,0.726948787
F11P2,20,0.888888922,0.278419765,0.313222224,0.686777776
F11P3,17,0.81000005,0.294262523,0.363287043,0.636712957
F12P1,15,0.866735563,0.193739684,0.223528019,0.776471981
F12P2,13,0.83241001,0.355096944,0.426588988,0.573411012
F12P3,16,0.799039814,0.372277094,0.465905562,0.534094438
F12P4,15,0.818525558,0.358947696,0.438529612,0.561470388
F13P1,16,0.731250056,0.238362519,0.325965813,0.674034187
F13P2,25,0.841145877,0.26544272,0.315572753,0.684427247
F13P3,19,0.858024722,0.227798365,0.26549161,0.73450839
F13P4,15,0.858725788,0.254010494,0.295799308,0.704200692
F1P1,6,0.479166742,0.243680595,0.508550726,0.491449274
F1P2,8,0.628472307,0.254444484,0.404861886,0.595138114
F1P3,7,0.730000086,0.406800033,0.557260253,0.442739747
F1P4,7,0.607438103,0.297190114,0.489251682,0.510748318
F2P1,14,0.80624431,0.372176308,0.461617283,0.538382717
F2P2,9,0.67578129,0.367421881,0.543699398,0.456300602
F2P3,14,0.837868515,0.379501136,0.452936385,0.547063615
F30P1,21,0.886965954,0.321687414,0.362682934,0.637317066
F30P2,12,0.841250028,0.335862526,0.399242216,0.600757784
F30P3,14,0.856481517,0.349753067,0.408360321,0.591639679
F30P4,22,0.877218968,0.370608972,0.422481713,0.577518287
F31P1,20,0.928019036,0.272468769,0.293602564,0.706397436
F31P2,19,0.923076923,0.338974359,0.367222222,0.632777778
F32P1,13,0.907407407,0.372098765,0.410068027,0.589931973
F32P2,13,0.884353741,0.319410431,0.361179487,0.638820513
F32P3,11,0.87,0.33575,0.38591954,0.61408046
F33P1,17,0.934240363,0.246530612,0.263883495,0.736116505
F33P2,9,0.8033241,0.377174515,0.469517241,0.530482759
F33P3,15,0.795858069,0.40481266,0.508649313,0.491350687
F33P4,13,0.906574394,0.310034602,0.341984733,0.658015267
F34P1,19,0.928,0.363168,0.391344828,0.608655172
F34P2,15,0.897959184,0.403038549,0.448838384,0.551161616
F34P3,17,0.928,0.341557333,0.368057471,0.631942529
F34P4,18,0.85502966,0.393727843,0.460484427,0.539515573
F35P1,15,0.812500039,0.193900008,0.238646153,0.761353847
F35P2,16,0.815427058,0.290027572,0.355675679,0.644324321
F36P1,20,0.915224913,0.315565167,0.344795211,0.655204789
F36P2,16,0.789224995,0.27032138,0.342514976,0.657485024
F37P1,16,0.878086454,0.336604905,0.383339139,0.616660861
