plot,N,D,Q,U,redundancy_sp
F10P1,8,0.629757909,0.370657501,0.588571412,0.411428588
F10P2,15,0.828888951,0.360177784,0.434530806,0.565469194
F10P3,11,0.702947949,0.321088478,0.456774186,0.543225814
F10P4,12,0.859504132,0.295867769,0.344230769,0.655769231
F11P1,17,0.927083333,0.290590278,0.313445693,0.686554307
F11P2,16,0.912,0.25952,0.284561404,0.715438596
F11P3,13,0.892733564,0.370103806,0.414573643,0.585426357
F12P1,11,0.8515625,0.22703125,0.266605505,0.733394495
F12P2,10,0.708333417,0.275277799,0.388627435,0.611372565
F12P3,12,0.653061286,0.309191858,0.473449988,0.526550012
F12P4,11,0.723140593,0.315730065,0.436609517,0.563390483
F13P1,13,0.91349481,0.310519031,0.339924242,0.660075758
F13P2,22,0.949245542,0.262798354,0.276849711,0.723150289
F13P3,15,0.882282996,0.254173603,0.288086253,0.711913747
F13P4,11,0.818181818,0.328264463,0.401212121,0.598787879
F1P1,6,0.479166742,0.243680595,0.508550726,0.491449274
F1P2,8,0.628472307,0.254444484,0.404861886,0.595138114
F1P3,7,0.730000086,0.406800033,0.557260253,0.442739747
F1P4,6,0.571428659,0.279002302,0.488253954,0.511746046
F2P1,12,0.742400085,0.335392023,0.45176722,0.54823278
F2P2,7,0.476190563,0.250521583,0.526095229,0.473904771
F2P3,12,0.774400082,0.344320032,0.444628093,0.555371907
F30P1,17,0.8672,0.331328,0.382066421,0.617933579
F30P2,8,0.7109375,0.377890625,0.531538462,0.468461538
F30P3,11,0.760330672,0.317520687,0.417608678,0.582391322
F30P4,18,0.803329934,0.374117259,0.465708102,0.534291898
F31P1,20,0.928019036,0.272468769,0.293602564,0.706397436
F31P2,18,0.93877551,0.351882086,0.374830918,0.625169082
F32P1,13,0.907407407,0.372098765,0.410068027,0.589931973
F32P2,13,0.884353741,0.319410431,0.361179487,0.638820513
F32P3,11,0.87,0.33575,0.38591954,0.61408046
F33P1,15,0.92733564,0.216747405,0.233731343,0.766268657
F33P2,8,0.76816609,0.365951557,0.476396396,0.523603604
F33P3,14,0.780800085,0.393685373,0.504207646,0.495792354
