forest_type,plot,N,D,Q,U,redundancy
P.macroloba,F10P1,8,0.629757785,0.370703576,0.588644689,0.411355311
P.macroloba,F10P2,15,0.828888889,0.360577778,0.435013405,0.564986595
P.macroloba,F10P3,11,0.702947846,0.320816327,0.456387097,0.543612903
P.macroloba,F10P4,12,0.859504132,0.289669421,0.337019231,0.662980769
Q.paraensis,F11P1,17,0.927083333,0.305717593,0.329762797,0.670237203
Q.paraensis,F11P2,16,0.912,0.258922667,0.283906433,0.716093567
Q.paraensis,F11P3,13,0.892733564,0.38355248,0.429638243,0.570361757
Q.paraensis,F12P1,11,0.8515625,0.226614583,0.266116208,0.733883792
P.macroloba,F12P2,10,0.708333333,0.276944444,0.390980392,0.609019608
P.macroloba,F12P3,12,0.653061224,0.309790476,0.474366667,0.525633333
P.macroloba,F12P4,11,0.723140496,0.317245179,0.438704762,0.561295238
Q.paraensis,F13P1,13,0.91349481,0.316885813,0.346893939,0.653106061
Q.paraensis,F13P2,22,0.949245542,0.272025606,0.286570328,0.713429672
Q.paraensis,F13P3,15,0.882282996,0.262021403,0.296981132,0.703018868
Q.paraensis,F13P4,11,0.818181818,0.332396694,0.406262626,0.593737374
P.macroloba,F1P1,6,0.479166667,0.243391204,0.50794686,0.49205314
P.macroloba,F1P2,8,0.628472222,0.255393519,0.406372007,0.593627993
P.macroloba,F1P3,7,0.73,0.407733333,0.558538813,0.441461187
P.macroloba,F1P4,6,0.571428571,0.276402116,0.483703704,0.516296296
P.macroloba,F2P1,12,0.7424,0.337386667,0.454454023,0.545545977
P.macroloba,F2P2,7,0.476190476,0.251670446,0.528507937,0.471492063
P.macroloba,F2P3,12,0.7744,0.350464,0.452561983,0.547438017
P.macroloba,F30P1,17,0.8672,0.335317333,0.386666667,0.613333333
P.macroloba,F30P2,8,0.7109375,0.378359375,0.532197802,0.467802198
P.macroloba,F30P3,11,0.760330579,0.32446281,0.42673913,0.57326087
P.macroloba,F30P4,18,0.803329865,0.376704821,0.468929188,0.531070812
Foothills,F31P1,20,0.928019036,0.287087051,0.309354701,0.690645299
Foothills,F31P2,18,0.93877551,0.357626606,0.380950081,0.619049919
Foothills,F32P1,13,0.907407407,0.369794239,0.407528345,0.592471655
Foothills,F32P2,13,0.884353741,0.318533636,0.360188034,0.639811966
Foothills,F32P3,11,0.87,0.333983333,0.383888889,0.616111111
Q.paraensis,F33P1,15,0.92733564,0.220761246,0.238059701,0.761940299
P.macroloba,F33P2,8,0.76816609,0.371534025,0.483663664,0.516336336
P.macroloba,F33P3,14,0.7808,0.391637333,0.501584699,0.498415301
Foothills,F33P4,13,0.906574394,0.305882353,0.33740458,0.66259542
Foothills,F34P1,17,0.93,0.368116667,0.395824373,0.604175627
Foothills,F34P2,14,0.921875,0.4121875,0.447118644,0.552881356
Foothills,F34P3,15,0.917355372,0.343939394,0.374924925,0.625075075
Foothills,F34P4,17,0.8448,0.382613333,0.45290404,0.54709596
Foothills,F35P1,13,0.820861678,0.167921391,0.204567219,0.795432781
Foothills,F35P2,14,0.913580247,0.332057613,0.363468468,0.636531532
Foothills,F36P1,17,0.925619835,0.345950413,0.37375,0.62625
Foothills,F36P2,14,0.91,0.3698,0.406373626,0.593626374
P.macroloba,F37P1,12,0.784580499,0.330461073,0.421194605,0.578805395
P.macroloba,F37P2,12,0.68877551,0.284736395,0.413395062,0.586604938
P.macroloba,F37P3,13,0.865,0.29655,0.34283237,0.65716763
P.macroloba,F37P4,12,0.851239669,0.362410468,0.425744337,0.574255663
P.macroloba,F38P1,14,0.905,0.382466667,0.422615101,0.577384899
Foothills,F38P2,18,0.933884298,0.328443526,0.351696165,0.648303835
Q.paraensis,F38P3,7,0.7265625,0.188385417,0.259283154,0.740716846
P.macroloba,F38P4,18,0.86,0.380333333,0.442248062,0.557751938
P.macroloba,F39P1,15,0.716253444,0.298224671,0.416367521,0.583632479
P.macroloba,F39P2,16,0.899408284,0.369368836,0.410679825,0.589320175
P.macroloba,F3P1,13,0.858725762,0.378504155,0.440774194,0.559225806
P.macroloba,F3P2,11,0.655555556,0.313896296,0.478824859,0.521175141
P.macroloba,F3P3,7,0.70781893,0.221362597,0.312739018,0.687260982
P.macroloba,F3P4,13,0.786982249,0.350601578,0.445501253,0.554498747
P.macroloba,F40P1,10,0.816608997,0.382860438,0.468841808,0.531158192
P.macroloba,F40P2,18,0.897959184,0.366930272,0.408626894,0.591373106
P.macroloba,F40P3,12,0.825484765,0.336657433,0.407829978,0.592170022
P.macroloba,F40P4,8,0.816568047,0.344615385,0.422028986,0.577971014
Foothills,F41P1,17,0.934240363,0.325774754,0.348705502,0.651294498
Foothills,F41P2,11,0.897959184,0.397891156,0.443106061,0.556893939
Foothills,F41P3,17,0.923611111,0.344178241,0.37264411,0.62735589
Foothills,F41P4,11,0.875,0.299479167,0.342261905,0.657738095
Foothills,F41P5,15,0.918714556,0.413585381,0.450178326,0.549821674
P.macroloba,F41P6,12,0.66,0.339288889,0.514074074,0.485925926
P.macroloba,F42P1,10,0.680473373,0.328560158,0.48284058,0.51715942
P.macroloba,F42P2,8,0.7109375,0.323489583,0.455018315,0.544981685
P.macroloba,F42P3,13,0.866213152,0.347044596,0.400645724,0.599354276
Q.paraensis,F42P4,16,0.909469303,0.268796393,0.295553013,0.704446987
P.macroloba,F43P1,18,0.86328125,0.326582031,0.378303167,0.621696833
Q.paraensis,F43P2,19,0.933837429,0.211127914,0.22608637,0.77391363
P.macroloba,F43P3,17,0.862244898,0.352168367,0.408431953,0.591568047
Q.paraensis,F44P1,13,0.918367347,0.322993197,0.351703704,0.648296296
Q.paraensis,F44P2,13,0.851851852,0.373683128,0.438671498,0.561328502
P.macroloba,F44P3,11,0.657777778,0.341274074,0.518828829,0.481171171
