forest_type,plot,fdis_abundrela,feve_abundrela,fdiv_abundrela
P.macroloba,F10P1,0.280609594,0.629411154,0.665645006
P.macroloba,F10P2,0.250825274,0.592760319,0.502561976
P.macroloba,F10P3,0.266559178,0.589130546,0.517534364
P.macroloba,F10P4,0.200482135,0.534385502,0.597758188
Q.paraensis,F11P1,0.19673015,0.663028119,0.593917857
Q.paraensis,F11P2,0.235349091,0.544877411,0.618611256
Q.paraensis,F11P3,0.245058172,0.634419186,0.510146859
Q.paraensis,F12P1,0.159965421,0.478773854,0.517526035
P.macroloba,F12P2,0.29841671,0.625869341,0.689932215
P.macroloba,F12P3,0.314250155,0.586488783,0.616703964
P.macroloba,F12P4,0.312884939,0.542969113,0.579764892
Q.paraensis,F13P1,0.192058002,0.771603414,0.497459356
Q.paraensis,F13P2,0.211842818,0.719208426,0.726068147
Q.paraensis,F13P3,0.185906659,0.620137579,0.484976462
Q.paraensis,F13P4,0.211381915,0.513835613,0.485720287
P.macroloba,F1P1,0.207777383,0.765853055,0.700754916
P.macroloba,F1P2,0.210567423,0.534310976,0.724472829
P.macroloba,F1P3,0.334491429,0.797697212,0.664074147
P.macroloba,F1P4,0.269856722,0.70759647,0.711339319
P.macroloba,F2P1,0.308880149,0.707957794,0.62444168
P.macroloba,F2P2,0.330557098,0.738320787,0.705320314
P.macroloba,F2P3,0.322466893,0.56950213,0.465097838
P.macroloba,F30P1,0.25423246,0.618386597,0.671974901
P.macroloba,F30P2,0.28691756,0.558570781,0.562454181
P.macroloba,F30P3,0.29357015,0.506828645,0.596376265
P.macroloba,F30P4,0.306296135,0.659992097,0.510075475
Foothills,F31P1,0.21002641,0.688787753,0.870578938
Foothills,F31P2,0.255747439,0.741948209,0.626261976
Foothills,F32P1,0.276383256,0.545454545,0.755007896
Foothills,F32P2,0.250663994,0.623287017,0.821012225
Foothills,F32P3,0.270966752,0.666666667,0.730208989
Q.paraensis,F33P1,0.182284347,0.71641091,0.814229689
P.macroloba,F33P2,0.300949304,0.708899864,0.755772878
P.macroloba,F33P3,0.328583098,0.840905059,0.630125836
Foothills,F33P4,0.238014657,0.784913761,0.641573509
Foothills,F34P1,0.259744676,0.844787252,0.697719218
Foothills,F34P2,0.309120506,0.772428478,0.637789426
Foothills,F34P3,0.26124919,0.773552388,0.599214895
Foothills,F34P4,0.293468958,0.755729994,0.519655017
Foothills,F35P1,0.152611228,0.702062918,0.637161749
Foothills,F35P2,0.217050225,0.678830753,0.634191548
Foothills,F36P1,0.250024932,0.712087988,0.642507527
