forest_type,plot,fdis_abundrela_sp,feve_abundrela_sp,fdiv_abundrela_sp
P.macroloba,F10P1,0.319171639,0.869411479,0.8803827
P.macroloba,F10P2,0.295848505,0.716068378,0.671504985
P.macroloba,F10P3,0.273872154,0.682280253,0.665593151
P.macroloba,F10P4,0.229587439,0.697071452,0.825114491
Q.paraensis,F11P1,0.217457642,0.740024238,0.786616603
Q.paraensis,F11P2,0.187919817,0.589048197,0.815209759
Q.paraensis,F11P3,0.280225652,0.72370585,0.729027688
Q.paraensis,F12P1,0.173186287,0.636205019,0.861947674
P.macroloba,F12P2,0.2383237,0.673604265,0.822402031
P.macroloba,F12P3,0.270282388,0.69918108,0.649133365
P.macroloba,F12P4,0.271368239,0.702469742,0.613410302
Q.paraensis,F13P1,0.236860437,0.835825463,0.763630264
Q.paraensis,F13P2,0.202533928,0.763203386,0.844903138
Q.paraensis,F13P3,0.194889498,0.713174146,0.673263725
Q.paraensis,F13P4,0.267100376,0.666875507,0.769997663
P.macroloba,F1P1,0.207777382,0.765851417,0.69794081
P.macroloba,F1P2,0.210567423,0.53430774,0.721638759
P.macroloba,F1P3,0.334491429,0.797695597,0.661575078
P.macroloba,F1P4,0.254758655,0.693191915,0.730579819
P.macroloba,F2P1,0.282521737,0.75238008,0.681467987
P.macroloba,F2P2,0.228492359,0.82976986,0.774135497
P.macroloba,F2P3,0.297943179,0.735236366,0.641443578
P.macroloba,F30P1,0.263777101,0.715780088,0.844490303
P.macroloba,F30P2,0.315737953,0.761679612,0.73706133
P.macroloba,F30P3,0.268800999,0.530861728,0.722459596
P.macroloba,F30P4,0.306956959,0.736800409,0.623921984
Foothills,F31P1,0.21002641,0.688742774,0.870944645
Foothills,F31P2,0.268449964,0.751449452,0.716439708
Foothills,F32P1,0.276383256,0.545454545,0.756242079
Foothills,F32P2,0.250663995,0.623292491,0.821667259
Foothills,F32P3,0.270966752,0.666666667,0.729862316
Q.paraensis,F33P1,0.168646013,0.725868247,0.866382746
P.macroloba,F33P2,0.305572419,0.668501273,0.8186715
P.macroloba,F33P3,0.321580207,0.829393368,0.618012365
Foothills,F33P4,0.238014657,0.78491739,0.64154521
Foothills,F34P1,0.262616678,0.885070414,0.757214039
Foothills,F34P2,0.315896369,0.846641968,0.736372672
Foothills,F34P3,0.259859003,0.803421048,0.627404119
Foothills,F34P4,0.293451242,0.740577411,0.518034665
Foothills,F35P1,0.13411169,0.763369723,0.881587963
Foothills,F35P2,0.245031411,0.688699301,0.773201388
Foothills,F36P1,0.260881548,0.766539836,0.756433908
Foothills,F36P2,0.286523342,0.806596797,0.568841132
P.macroloba,F37P1,0.278768911,0.653970381,0.790938525
P.macroloba,F37P2,0.243222008,0.813437665,0.728920947
P.macroloba,F37P3,0.236537177,0.789310078,0.665846874
P.macroloba,F37P4,0.28995068,0.774046815,0.743522351
P.macroloba,F38P1,0.298050306,0.742847361,0.738381278
Foothills,F38P2,0.243565241,0.871709318,0.768307325
Q.paraensis,F38P3,0.155600175,0.619733596,0.920134437
P.macroloba,F38P4,0.304905014,0.720033221,0.775107673
P.macroloba,F39P1,0.254123755,0.768175812,0.754970431
P.macroloba,F39P2,0.286593371,0.683722202,0.74722232
P.macroloba,F3P1,0.295549225,0.756288243,0.725711668
P.macroloba,F3P2,0.26850694,0.680108478,0.594558519
P.macroloba,F3P3,0.175480565,0.608463467,0.889557707
P.macroloba,F3P4,0.299080657,0.662511711,0.777598057
P.macroloba,F40P1,0.302645775,0.741115528,0.68809058
P.macroloba,F40P2,0.281838018,0.672978472,0.653007135
P.macroloba,F40P3,0.27537302,0.681522986,0.677363285
P.macroloba,F40P4,0.271064879,0.753947049,0.719525047
Foothills,F41P1,0.241508562,0.857566404,0.676913086
Foothills,F41P2,0.303554198,0.826517779,0.664528393
Foothills,F41P3,0.256563288,0.801216204,0.747275731
Foothills,F41P4,0.232118932,0.719136684,0.80921199
Foothills,F41P5,0.313556426,0.865120257,0.682627098
P.macroloba,F41P6,0.29530125,0.762553829,0.783708711
P.macroloba,F42P1,0.281096907,0.753673496,0.722323861
P.macroloba,F42P2,0.271028214,0.640879335,0.82482014
P.macroloba,F42P3,0.271368031,0.742882499,0.673590743
Q.paraensis,F42P4,0.201504635,0.624621885,0.801090211
P.macroloba,F43P1,0.252977127,0.698191778,0.76919368
Q.paraensis,F43P2,0.162241128,0.664548456,0.785851131
