"","fdis_areabasal_sp","feve_areabasal_sp","fdiv_areabasal_sp"
"F10P1",0.300253570369808,0.76916083020218,0.748172066322375
"F10P2",0.224999705429614,0.809877818171478,0.740518619873676
"F10P3",0.266412185649247,0.55972422070988,0.538033989212612
"F10P4",0.142072260428824,0.668237424203591,0.882138411379129
"F11P1",0.232269229250526,0.677586944098023,0.818595530948837
"F11P2",0.237172624753686,0.660230341196071,0.729819643481066
"F11P3",0.31604810637605,0.744902939669629,0.766413642301576
"F12P1",0.197648132618692,0.643949303859861,0.740630996625026
"F12P2",0.184306490009255,0.799084592824502,0.791307567830362
"F12P3",0.229684322532181,0.720737160258535,0.696630061335254
"F12P4",0.26568555671352,0.724425295897781,0.722502675545916
"F13P1",0.244842726229443,0.841554960113562,0.77874367807339
"F13P2",0.206545346563208,0.77764615219187,0.767484620029332
"F13P3",0.243225824458609,0.715700923197252,0.606860640090428
"F13P4",0.167435032495637,0.727268705218462,0.701873045433072
"F1P1",0.16808004336371,0.55262058414312,0.48480747531208
"F1P2",0.334239950992164,0.693651156446324,0.918369746111359
"F1P3",0.25916640297988,0.904822469148871,0.668159044582929
"F1P4",0.129919709582063,0.676649515460264,0.727279176507748
"F2P1",0.241905221671919,0.83887832913743,0.682108066544039
"F2P2",0.191823074766193,0.871354451359845,0.774398385431618
"F2P3",0.268493043986528,0.848099283730634,0.719363624439675
"F30P1",0.21008751877649,0.763922701817089,0.78889021949478
"F30P2",0.3674086915802,0.8958671079625,0.75843256223976
"F30P3",0.208743406741971,0.66373626761499,0.808791331499988
"F30P4",0.274063173859191,0.701374995887447,0.666204890476244
"F31P1",0.247881816492352,0.786139192063604,0.672769012763712
"F31P2",0.207888812724561,0.738234317583265,0.759364104578135
"F32P1",0.244239575227756,0.470237639540349,0.601068821846279
"F32P2",0.168000419587301,0.614254877989426,0.857539164469994
"F32P3",0.182301011339544,0.645644373669311,0.840505501157133
"F33P1",0.185100214081684,0.691771440316469,0.899404098561635
"F33P2",0.228475386103498,0.794777727684847,0.683836817779166
"F33P3",0.29745015256537,0.907420792304896,0.69852836741658
"F33P4",0.20486409898659,0.701186614369109,0.684281002768329
"F34P1",0.234665361848343,0.8043124931364,0.822876862568253
"F34P2",0.281756158109316,0.755082961358894,0.76791397229553
"F34P3",0.213862558193002,0.724843138826236,0.851494775250899
"F34P4",0.302273756682219,0.736615353243273,0.685817471191547
"F35P1",0.154192756387869,0.775910857397193,0.837014346010331
"F35P2",0.255628559404988,0.672211768594055,0.811211145946823
"F36P1",0.300369900048049,0.775126351346875,0.729515783076896
"F36P2",0.254959230585413,0.769752348350664,0.538338391744425
"F37P1",0.189011261365501,0.743879563327903,0.766128115857753
"F37P2",0.208288578505408,0.784204475626407,0.724043456463213
"F37P3",0.201070118298303,0.790766205649301,0.80041468147615
"F37P4",0.286920055114446,0.897147858704388,0.764802873466935
"F38P1",0.313925248574797,0.740232996779087,0.778845146809829
"F38P2",0.271376774637041,0.877259122280923,0.70668561490872
"F38P3",0.201416123263464,0.792454051075257,0.788587605342354
"F38P4",0.246622073212266,0.782887540910995,0.817560011683448
"F39P1",0.179326156254031,0.779645065842099,0.841062472820367
"F39P2",0.312365933190064,0.768181339095462,0.723732210056826
"F3P1",0.279947449264093,0.778110810520394,0.632187716600561
"F3P2",0.251222303642067,0.738099175086068,0.493381652346364
"F3P3",0.17165693838931,0.65245244710142,0.603166055410723
"F3P4",0.173154615785321,0.544547509843225,0.702556904016754
"F40P1",0.29934937995255,0.803975733939882,0.672965652287332
"F40P2",0.219278977874789,0.654118959256859,0.850837738735752
"F40P3",0.216083941401042,0.616835393592222,0.566145176228947
