forest_type,plot,N,D,Q,U,redundancy
P.macroloba,F10P1,12,0.810950414,0.321432507,0.39636518,0.60363482
P.macroloba,F10P2,19,0.883975026,0.307467915,0.34782421,0.65217579
P.macroloba,F10P3,13,0.729766807,0.300809329,0.412199248,0.587800752
P.macroloba,F10P4,15,0.612476372,0.229188546,0.374199816,0.625800184
Q.paraensis,F11P1,21,0.83590963,0.239326198,0.286306306,0.713693694
Q.paraensis,F11P2,20,0.888888888,0.282449382,0.317755555,0.682244445
Q.paraensis,F11P3,17,0.81,0.304166667,0.375514403,0.624485597
Q.paraensis,F12P1,15,0.866735538,0.189827824,0.2190147,0.7809853
P.macroloba,F12P2,13,0.832409971,0.359058172,0.431347755,0.568652245
P.macroloba,F12P3,16,0.799039782,0.373136717,0.4669814,0.5330186
P.macroloba,F12P4,15,0.818525519,0.359596723,0.439322556,0.560677444
Q.paraensis,F13P1,16,0.73125,0.241045833,0.329635328,0.670364672
Q.paraensis,F13P2,25,0.841145832,0.26824074,0.318899209,0.681100791
Q.paraensis,F13P3,19,0.858024693,0.234462735,0.273258727,0.726741273
Q.paraensis,F13P4,15,0.858725762,0.254769673,0.296683393,0.703316607
P.macroloba,F1P1,6,0.479166667,0.243391204,0.50794686,0.49205314
P.macroloba,F1P2,8,0.628472223,0.255393519,0.406372007,0.593627993
P.macroloba,F1P3,7,0.73,0.407733333,0.558538813,0.441461187
P.macroloba,F1P4,7,0.607438015,0.294738292,0.48521542,0.51478458
P.macroloba,F2P1,14,0.80624426,0.370823385,0.459939256,0.540060744
P.macroloba,F2P2,9,0.67578125,0.37078125,0.54867052,0.45132948
P.macroloba,F2P3,14,0.837868481,0.38090703,0.454614344,0.545385656
P.macroloba,F30P1,21,0.886965928,0.325307373,0.366764228,0.633235772
P.macroloba,F30P2,12,0.84125,0.3317375,0.394338782,0.605661218
P.macroloba,F30P3,14,0.856481482,0.356234568,0.415927928,0.584072072
P.macroloba,F30P4,22,0.877218934,0.372460552,0.424592468,0.575407532
Foothills,F31P1,20,0.928019036,0.287087051,0.309354701,0.690645299
Foothills,F31P2,19,0.923076923,0.34459566,0.373311965,0.626688035
Foothills,F32P1,13,0.907407408,0.369794239,0.407528345,0.592471655
Foothills,F32P2,13,0.884353742,0.318533636,0.360188034,0.639811966
Foothills,F32P3,11,0.87,0.333983333,0.383888889,0.616111111
Q.paraensis,F33P1,17,0.934240363,0.245835223,0.263139159,0.736860841
P.macroloba,F33P2,9,0.8033241,0.381569714,0.474988506,0.525011494
P.macroloba,F33P3,15,0.795857986,0.401932938,0.505030979,0.494969021
Foothills,F33P4,13,0.906574394,0.305882353,0.33740458,0.66259542
Foothills,F34P1,19,0.928,0.358901333,0.386747126,0.613252874
Foothills,F34P2,15,0.897959184,0.401027966,0.446599326,0.553400674
Foothills,F34P3,17,0.928,0.348010667,0.375011494,0.624988506
Foothills,F34P4,18,0.855029584,0.383826429,0.448904268,0.551095732
Foothills,F35P1,15,0.8125,0.189416667,0.233128205,0.766871795
Foothills,F35P2,16,0.815426997,0.283275176,0.347394895,0.652605105
Foothills,F36P1,20,0.915224914,0.317716264,0.347145558,0.652854442
