PCNM7,PCNM4,PCNM5,PCNM21,PCNM3,PCNM18,PCNM8,TEMP,PREC,PRECCV,PRECDRIEST,CLAY,OrganicMatter,ELEV,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
0.123417465,0.033598171,-0.060511407,0.016221199,-0.142599927,0.007382947,0.155634444,0.289282637,0.071617362,0.148854647,-0.254414923,-0.122871541,-0.752900987,-0.464684719,-0.707192499,-0.289668318,-2.57098225,-0.36245827,-0.014096378
0.088007126,0.029884005,-0.058424649,-0.01864987,-0.142646304,0.057198972,0.142424162,-0.070021959,1.082592345,-0.036483982,0.203676219,0.265270969,-0.171773219,-0.098084239,-0.863904148,0.662883424,-0.363719324,-0.660288135,-0.896821532
0.088067425,0.029345837,-0.058847505,-0.018820946,-0.142666635,0.058234959,0.142533033,0.01980419,0.678202352,0.148854647,0.020439762,-0.607443963,-0.702263298,-0.256301289,-0.727470631,-0.807527718,-2.652787223,-0.259851899,0.943150029
0.087994056,0.029328982,-0.058910886,-0.01877725,-0.142723533,0.058143915,0.142522953,0.109630339,0.364800107,0.148854647,0.020439762,-0.025957057,-1.353319303,-0.128955859,-0.719115872,-1.269945434,-2.706106817,-0.170799023,1.638409881
-0.075530553,-0.060009491,-0.124810003,0.009378769,-0.157560345,0.058556675,0.006059162,0.648587233,-1.084264036,1.260886425,-1.873003627,0.8656562,-0.21999959,-0.823567294,-1.435906666,0.645970131,-0.795412527,-1.281083444,-1.522625
-0.07545406,-0.05998685,-0.124825951,0.009358705,-0.15759371,0.058665872,0.006172011,0.648587233,-1.084264036,1.260886425,-1.842464218,0.8656562,-0.118724211,-0.808131484,-1.499134038,0.353386143,0.284083544,-1.548718977,-1.550747057
-0.076331617,-0.060742254,-0.125011349,0.008480727,-0.157209162,0.060417457,0.004530185,0.648587233,-1.202211118,1.446225055,-1.811924808,0.768741716,0.091060502,-0.823567294,-1.541637648,0.995997729,-1.285485946,-1.273729577,-1.558308012
-0.009912774,-0.02909931,-0.116486281,-0.002276072,-0.162945734,-0.057535797,-0.015330348,0.738413382,-1.438105281,1.260886425,-1.68976717,0.8656562,-0.31886365,-0.746388245,-0.947633212,0.716277554,-0.508845503,-1.106517733,-0.916433051
-0.009217774,-0.028780261,-0.116414777,-0.002231088,-0.163075527,-0.057840031,-0.014695224,0.648587233,-1.333637866,1.260886425,-1.628688351,1.059485169,-0.253758049,-0.746388245,-0.647730305,0.53907806,-0.993902865,-0.573691263,-0.536838643
-0.009377874,-0.028706677,-0.116325452,-0.001941286,-0.163041395,-0.058776503,-0.014857894,0.648587233,-1.26960945,1.260886425,-1.68976717,1.253314138,-0.511769133,-0.746388245,-0.387248633,0.860987557,-0.47880208,0.279666598,-0.478656366
-0.008499298,-0.028290205,-0.116208861,-0.001848031,-0.163187189,-0.059270826,-0.014058229,0.648587233,-1.26960945,1.260886425,-1.628688351,0.671827231,-0.113901574,-0.746388245,-1.16187609,1.100461825,-0.755440738,-0.472035212,-0.394545044
-0.161027459,-0.12040185,-0.100732081,-0.007127983,-0.080223701,0.016937045,-0.170952196,0.109630339,-0.369841715,1.075547796,-1.231676027,0.284169294,-0.752900987,-0.206134907,-1.294823807,0.887527966,-1.446743085,-1.791588513,-1.797651216
-0.161167767,-0.120475407,-0.100998973,-0.007076,-0.08043906,0.016736931,-0.17096657,0.199456488,-0.379951464,1.075547796,-1.231676027,-0.006089587,-0.338154198,-0.345057194,-0.5587276,-0.022461632,-0.97252765,-1.28871187,-1.541100334
-0.160713171,-0.120248935,-0.100226055,-0.007212038,-0.079821342,0.017259544,-0.170861876,0.109630339,-0.369841715,1.075547796,-1.231676027,0.574912747,-1.413602267,-0.5148511,-0.796030029,0.530656062,-0.178850528,-1.453344653,-1.648431072
-0.167047733,-0.126850128,-0.100192383,-0.016404298,-0.080600928,0.011639587,-0.191169545,0.648587233,-2.068279687,1.816902314,-2.086779494,0.788124612,-0.916870648,-0.719375579,-1.096390341,0.65055076,-1.0215649,-0.83920909,-0.457798572
-0.061874443,-0.164788276,-0.113474585,-0.015225985,0.129384334,0.030114799,0.204028706,0.648587233,0.364800107,-0.036483982,0.356373267,0.100031773,-1.153179865,-0.823567294,0.755729912,0.061543757,0.448924175,2.078978441,0.703719919
-0.021370273,-0.147443598,-0.115665879,0.165702468,0.152671469,-0.131304571,0.156140346,0.648587233,0.206414026,-0.036483982,0.356373267,0.196946258,-1.314738207,-0.823567294,1.320620744,-0.504030854,0.060712548,2.396543906,1.2238612
-0.061688556,-0.164793457,-0.113547167,-0.015145886,0.129295136,0.029726489,0.203685691,0.648587233,0.364800107,-0.036483982,0.356373267,-0.142254438,-0.998855478,-0.823567294,0.213145026,-0.316853703,1.172789556,1.241521918,0.602820333
-0.061518268,-0.164799939,-0.113623764,-0.015084249,0.129236211,0.029434603,0.203382346,0.648587233,0.385019607,-0.036483982,0.386912676,-0.258551819,-1.172470413,-0.823567294,0.382822959,0.10250414,0.328388534,1.246076563,0.28028297
0.017855368,-0.126086841,-0.114239662,-0.018784202,0.174923597,-0.136351371,0.092451516,0.648587233,0.132275861,-0.036483982,0.234215629,1.253314138,-0.61545583,-0.823567294,0.302149347,-0.108454585,-0.557711305,0.602917906,-0.136398906
0.017706968,-0.125997441,-0.114090211,-0.018835246,0.175000705,-0.136419408,0.092616652,0.648587233,-0.076658969,0.148854647,0.081518581,0.8656562,-0.581697371,-0.823567294,-0.318830052,0.244284212,-1.356259912,0.382709624,-0.211415862
0.017446016,-0.126194376,-0.11412595,-0.018678775,0.174713185,-0.136378783,0.092933919,0.648587233,-0.076658969,-0.036483982,0.264755038,0.8656562,-0.193475086,-0.823567294,0.315128858,-0.751301054,-0.890619258,0.467055942,0.570192786
-0.007631778,0.080553138,-0.051099998,-0.002307284,-0.02134474,-0.173804452,0.013829427,0.379108786,0.492856938,-0.963177131,0.845003819,0.545838401,-0.145248715,-0.209993859,-0.737373903,0.930431507,0.364753782,-0.359165782,-1.311270468
-0.00796082,0.080837946,-0.051367143,-0.002492441,-0.021221289,-0.17360159,0.013398285,0.379108786,0.492856938,-0.963177131,0.875543228,0.545838401,-0.369501339,-0.248583384,-0.851891458,0.983807236,-1.14931325,-0.556131385,-0.647865235
-0.000384447,0.079729191,-0.045676297,0.079164004,-0.020842521,0.056654467,0.02159385,0.289282637,0.543405687,-0.963177131,0.936622047,0.085979173,0.459992238,-0.190699097,-0.438265836,0.781529928,0.138354865,0.17875833,-0.99227958
-0.000817128,0.080024379,-0.045921794,0.07924332,-0.020710587,0.057800109,0.021200947,0.199456488,0.748970601,-0.963177131,0.936622047,0.933496339,-0.437018258,-0.128955859,-0.045590572,-0.232365991,-0.786002291,0.179099386,-0.073333248
-0.016459625,-0.173325106,0.151556242,0.009845812,-0.052385502,0.039959155,-0.100293959,-1.956371088,1.271307676,1.075547796,0.203676219,-1.73116741,1.412463061,1.858404636,0.511473799,-1.242238891,1.348293255,-1.765591751,-1.174340156
-0.016386071,-0.17330442,0.151484992,0.009811722,-0.052336044,0.040208289,-0.100469992,-1.956371088,1.271307676,1.075547796,0.203676219,-1.73116741,0.65530904,2.105377591,1.773647594,-1.895997058,-0.298096083,1.616649053,1.607123191
0.010655295,-0.094678195,0.106150743,-0.064059547,-0.067560794,-0.161866645,0.025164783,-4.56132941,-3.844225742,5.152997648,-2.880804141,-1.852310515,3.141378454,3.664394367,1.755795902,-1.315449111,2.180945297,1.323151698,1.268184014
0.036097275,-0.080175192,0.088522915,-0.049083466,-0.064517058,-0.030292032,0.000476482,-4.022372516,-2.189596685,2.743595463,-1.72030658,-1.610024304,3.491019642,3.456010937,1.940828113,-1.385469341,2.08197266,1.430124081,1.334482006
0.036259139,-0.080036459,0.088442389,-0.048842425,-0.064551502,-0.030353669,0.000652274,-4.022372516,-2.189596685,2.743595463,-1.72030658,-1.876539136,2.868899459,3.351819222,2.420564584,-2.815160423,1.638643514,1.819679498,2.503486956
-0.021691217,0.024586501,0.015716771,-0.154516405,0.003554354,0.053989182,0.038269036,-0.339500406,0.701791768,-0.963177131,0.875543228,-1.391966714,0.963957813,0.561796624,-0.228242321,0.564335502,2.273092242,-0.900536711,-1.280191659
0.096917499,0.006287975,-0.004358223,0.146006684,0.020685151,-0.013259202,-0.041644246,-0.070021959,0.56025527,-0.963177131,0.814464409,-0.641364033,0.293611259,0.179760335,0.704653416,-0.039111356,0.718629092,1.993551473,0.910582599
-0.022089072,0.024889126,0.0153413,-0.154170647,0.003525277,0.054313612,0.038219023,-0.249674257,0.759080351,-0.963177131,0.906082638,-0.762022566,0.679422225,0.530925005,1.331762575,-0.207650841,0.865160559,1.329139119,1.029522693
-0.114865005,0.055078896,0.023974599,0.081641142,-0.008047579,-0.003470113,0.071311398,-0.519152704,0.846698183,-0.963177131,0.936622047,-1.610024304,0.537154431,0.770180054,1.80047974,1.008389205,0.931641631,1.888350053,0.480802229
-0.10945828,0.009436255,0.037544193,0.050721448,-0.053803687,-0.07368671,0.063391142,-0.698805002,1.584709921,-0.592499871,1.150397914,-1.004308777,0.633607173,1.090473105,1.670563372,-1.779005118,0.427423223,0.795223283,1.918738657
-0.09468304,0.003900175,0.045388591,-0.052803317,-0.055351654,0.031029567,0.085293579,-1.058109598,1.547640838,-0.592499871,1.150397914,-1.610024304,1.323244275,1.33744606,1.408354703,-3.190863997,-0.307021988,-0.181640072,2.268613275
-0.110002744,0.009307226,0.037732017,0.049973078,-0.053802336,-0.073906823,0.063606863,-1.058109598,1.547640838,-0.592499871,1.150397914,-1.852310515,1.173742526,1.028729866,1.077746655,-1.979324572,0.278349957,-0.195447956,0.916313001
