PCNM10,PCNM5,PCNM46,PCNM36,PCNM7,PCNM8,PCNM4,TEMPSD,Mg,fdiv_sp
-0.033134008,-0.060511407,0.167473937,0.081389239,0.123417465,0.155634444,0.033598171,0.166030508,1.434303459,-1.017817012
-0.023733464,-0.058424649,0.367175345,-0.055085525,0.088007126,0.142424162,0.029884005,-0.078396167,0.006620968,1.297809767
-0.023661863,-0.058847505,-0.215880344,-0.054460985,0.088067425,0.142533033,0.029345837,0.003079391,3.481348207,-0.766002702
-0.023540974,-0.058910886,-0.29468672,-0.054675447,0.087994056,0.142522953,0.029328982,0.003079391,2.547055989,-1.558842381
0.063157573,-0.124810003,0.024994532,0.003078355,-0.075530553,0.006059162,-0.060009491,-0.257642396,-0.171839343,0.403320574
0.06312398,-0.124825951,0.03850388,0.003175816,-0.07545406,0.006172011,-0.05998685,-0.159871726,-0.003876697,-0.251791917
0.062974733,-0.125011349,-0.063505338,0.005542827,-0.076331617,0.004530185,-0.060742254,-0.502069071,-0.329304324,1.278645887
0.040023545,-0.116486281,-0.095639901,-0.00826357,-0.009912774,-0.015330348,-0.02909931,-0.143576614,-0.22432767,0.966710335
0.039782898,-0.116414777,0.001016889,-0.008397411,-0.009217774,-0.014695224,-0.028780261,0.214915843,-0.255820666,-0.522791375
0.039997109,-0.116325452,-0.016709149,-0.009380402,-0.009377874,-0.014857894,-0.028706677,-0.143576614,-0.203332339,-1.794208116
0.039700403,-0.116208861,0.105026638,-0.009674704,-0.008499298,-0.014058229,-0.028290205,0.214915843,-0.308308993,-1.308101572
0.065618445,-0.100732081,-0.052106915,0.015662554,-0.161027459,-0.170952196,-0.12040185,-0.355413066,0.174583614,0.338526879
0.065955718,-0.100998973,-0.275505305,0.01527376,-0.161167767,-0.17096657,-0.120475407,-0.502069071,0.930415521,0.865871353
0.064980038,-0.100226055,0.333742089,0.016280433,-0.160713171,-0.170861876,-0.120248935,-0.355413066,-0.108853351,0.840771476
-0.070208879,-0.100192383,2.75E-07,-0.00504416,-0.167047733,-0.191169545,-0.126850128,-0.029510832,0.090602291,1.011545701
-0.005921777,-0.113474585,0.135295031,-0.065130121,-0.061874443,0.204028706,-0.164788276,-0.127281502,5.38142564,-1.422527213
0.007688533,-0.115665879,-4.33E-05,0.115985856,-0.021370273,0.156140346,-0.147443598,-0.127281502,5.171472333,-1.324961656
-0.00593904,-0.113547167,-0.018795316,-0.065741979,-0.061688556,0.203685691,-0.164793457,-0.127281502,3.628315523,-1.392380627
-0.005961162,-0.113623764,-0.13301264,-0.06614711,-0.061518268,0.203382346,-0.164799939,0.214915843,5.181969998,-2.630432337
0.038116562,-0.114239662,-0.011172001,0.023358162,0.017855368,0.092451516,-0.126086841,-0.371708178,-0.171839343,-1.467192748
0.038158308,-0.114090211,0.122149997,0.024410773,0.017706968,0.092616652,-0.125997441,0.100850061,-0.297811327,-0.719424644
0.038069349,-0.11412595,-0.111398395,0.023071688,0.017446016,0.092933919,-0.126194376,0.28009629,-0.171839343,-1.182408061
0.026130342,-0.051099998,0.099601359,0.024840545,-0.007631778,0.013829427,0.080553138,1.143737209,-0.159242144,1.217130299
0.026003038,-0.051367143,-0.009250617,0.028648398,-0.00796082,0.013398285,0.080837946,0.654883859,-0.319856425,-0.469288757
0.054109524,-0.045676297,0.018176935,-0.018402361,-0.000384447,0.02159385,0.079729191,0.817834976,-0.292562495,1.826180617
0.054056544,-0.045921794,-0.103630964,-0.013837543,-0.000817128,0.021200947,0.080024379,0.817834976,-0.231676036,-0.236659639
0.011539871,0.151556242,-0.001016287,0.026089166,-0.016459625,-0.100293959,-0.173325106,-2.32712158,-0.213830004,0.032906241
0.011515105,0.151484992,0.001191994,0.026733687,-0.016386071,-0.100469992,-0.17330442,-2.32712158,-0.257920199,0.640715973
0.090883037,0.106150743,-0.000144209,-0.026006664,0.010655295,0.025164783,-0.094678195,-1.805678006,-0.240074168,0.896245872
0.066218663,0.088522915,0.009761917,0.003501221,0.036097275,0.000476482,-0.080175192,-1.805678006,-0.260019732,-0.072020379
0.066261231,0.088442389,-0.009689853,0.002567966,0.036259139,0.000652274,-0.080036459,-1.805678006,-0.308308993,0.008652425
-0.00663213,0.015716771,-0.001850451,-0.026526504,-0.021691217,0.038269036,0.024586501,-0.208757061,-0.335602923,0.256618322
0.07288452,-0.004358223,-0.000495826,0.273957772,0.096917499,-0.041644246,0.006287975,0.850425199,-0.339801989,-2.069464041
-0.006785414,0.0153413,0.021249104,-0.024675467,-0.022089072,0.038219023,0.024889126,0.866720311,-0.300960627,-0.945706428
-0.044714677,0.023974599,0.002448325,0.062257933,-0.114865005,0.071311398,0.055078896,-0.241347284,-0.345050822,-0.916975716
-0.054627297,0.037544193,0.002125111,-0.00486108,-0.10945828,0.063391142,0.009436255,-1.626431778,-0.358697787,-0.171801049
-0.05453118,0.045388591,-4.00E-05,0.11470992,-0.09468304,0.085293579,0.003900175,-1.626431778,-0.162391444,-0.073768098
-0.054625762,0.037732017,-0.002153304,-0.002151686,-0.110002744,0.063606863,0.009307226,-1.626431778,-0.312508059,-0.211653513
-0.044399277,0.059369703,-8.13E-05,-0.128164135,-0.087052574,0.061614569,-0.010982297,-1.626431778,-0.367095919,0.602898156
0.035831834,0.132917416,-9.20E-05,0.162321436,0.012055299,-0.146783755,-0.169022679,-1.773087783,-0.200183039,0.121578484
0.039087697,0.121773161,-5.56E-05,-0.105194792,0.018042997,-0.161463964,-0.163671124,-2.783384707,0.241768673,1.003938309
0.011298122,0.151242228,-0.001871322,0.025340555,-0.016061554,-0.100530238,-0.173147023,-0.730200635,0.232320774,0.166262124
0.011236144,0.15108802,0.001969736,0.02617826,-0.01598064,-0.100697923,-0.173065784,-0.371708178,0.231271007,-0.569825934
-0.028568988,-0.105811782,0.019554451,-0.053043045,0.084333199,-0.07963904,0.091624798,1.469639443,-0.250571833,-0.558599419
-0.064268263,-0.093221027,-0.019511427,0.06208517,0.066957912,-0.055823132,0.099533098,1.094851874,-0.340851755,-0.478104302
-0.092563235,-0.126609265,0.000107353,-0.038539192,0.066628685,-0.088400896,0.104220758,1.094851874,-0.345050822,0.714897102
-0.050074789,-0.04721918,0.001316007,0.007854097,0.042995453,0.011334648,0.104631287,0.752654529,-0.276815997,0.907582608
0.029088989,0.063934079,9.32E-05,0.203647136,0.049744786,0.016184648,-0.057177373,0.67117897,-0.179187709,0.22265542
0.039917283,0.075134928,-0.001106708,-0.164197608,0.052390172,-0.015092541,-0.069776994,0.18232562,-0.297811327,1.314062001
0.019180052,0.051609051,-0.0010305,-0.378635986,0.04800896,0.044920629,-0.043984908,0.345276737,-0.304109927,0.05872688
0.051826737,0.032777342,0.001123428,0.235802442,0.097923318,-0.018038852,-0.031186779,0.345276737,-0.198083506,0.309195776
0.04315523,-0.035767174,0.026764033,-0.152533814,0.024069264,-0.066613449,0.026045777,1.225212768,-0.341901522,0.926268158
0.000185893,-0.04304004,0.004778184,-0.0187559,-0.044638297,-0.056903299,0.035950719,1.225212768,-0.189685374,-0.453771094
-0.073625664,-0.00560127,-0.000120532,0.02503062,0.054391416,0.063776261,0.048752182,0.752654529,-0.129848681,-0.905687761
-0.07444171,-0.003358609,-0.000198,0.047004969,0.05567452,0.066614302,0.057443621,0.5734083,-0.171839343,0.012709257
-0.065676894,0.028245354,-0.000239556,0.168670346,0.087141938,-0.048886793,0.102054594,0.5734083,-0.119351016,-0.756233027
-0.068269814,0.038494524,0.000684713,-0.2442103,0.091233244,-0.07896188,0.113309298,0.166030508,-0.056365024,-0.532867839
0.029208399,-0.050237595,-0.011488643,0.005830922,-0.007551924,-0.082101249,0.034511482,1.33927855,-0.308308993,1.171301732
0.029149981,-0.050593758,-0.013966518,0.006765953,-0.007544213,-0.082426966,0.034596515,1.33927855,-0.350299654,1.099926989
-3.98E-05,-0.044650947,-0.004758128,-0.014548498,-0.044573277,-0.05839412,0.036342238,1.33927855,-0.268417864,1.033135124
0.020549164,-0.056096469,-0.016365127,-0.113773465,-0.006162937,-0.098830965,0.046640318,1.062261651,-0.310408526,-0.312257286
-0.017559464,0.052268864,0.001489999,0.017836904,-0.047980148,0.100365336,0.036944831,-0.078396167,-0.252671366,0.166411277
-0.044576549,0.024720691,0.002085317,0.058955334,-0.114456524,0.071644044,0.054415068,-0.290232619,-0.309358759,-0.131291232
-0.044603202,0.024846626,0.024897425,0.058928113,-0.1144745,0.071868749,0.054312961,-0.290232619,-0.22432767,0.085382472
-0.030544897,0.038654755,-0.026665545,-0.100523292,-0.082251658,0.085962906,0.045723306,0.068259838,-0.367095919,0.734494868
-0.017521333,0.052147142,-0.020857844,0.017896467,-0.047917096,0.100147027,0.037034624,-0.078396167,-0.319856425,-0.235185125
0.105422999,0.064966994,1.83E-05,-0.013805415,0.047258773,0.04191089,-0.015588075,1.013376316,-0.379693117,-0.835334831
-0.006130073,-0.04837587,-0.167095402,0.164272631,0.041787027,-0.046800372,0.046757343,1.062261651,-0.249522067,-0.714739468
0.029482287,-0.055528704,0.167644055,0.01303561,0.042305997,-0.096523238,0.048576083,1.062261651,-0.134047748,1.405106045
-0.026765268,-0.035663179,-0.030221617,-0.054293587,-0.076213646,-0.028942826,0.036599956,1.062261651,-0.356598253,-0.170289583
-0.026913809,-0.035301518,0.043450308,-0.052624734,-0.076782025,-0.027848667,0.036842024,1.029671427,-0.313557825,1.156480881
-0.02631488,-0.033298633,-0.081754422,-0.062634613,-0.075800987,-0.02743963,0.035679574,1.078556763,-0.270517397,-0.481879049
-0.02680454,-0.033636017,0.080957175,-0.055797904,-0.077043748,-0.026016339,0.036519389,-0.013215721,-0.321955958,1.137346386
-0.000515803,-0.02489136,-9.64E-06,0.231234136,-0.029056571,-0.02524101,0.027914611,1.078556763,-0.311458292,-0.39798513
0.0176035,0.019252621,-0.016128763,-0.161534518,-0.001650384,0.007611457,0.105945537,0.328981625,0.07590556,0.998992899
-0.002264651,0.019626065,-0.000160346,0.005136245,0.007187906,0.019410444,0.110523003,0.328981625,-0.268417864,-0.741307208
-0.023043447,0.019334612,0.019847816,0.095712664,0.017350916,0.031885964,0.114269153,0.198620731,-0.261069499,0.505407214
-0.022654038,0.019328833,-0.021197328,0.095082514,0.016954968,0.031687072,0.11424833,0.068259838,-0.247422534,0.579768215
-0.043339078,0.115969589,0.006894197,0.012746102,-0.063858371,0.042529078,0.130446456,-0.713905523,-0.33350339,1.127592888
-0.04338344,0.116070785,-0.0072854,0.014481633,-0.064079855,0.042482876,0.130467877,-0.713905523,-0.30620946,-0.420148692
0.003841431,0.136273313,-0.00060097,0.020484346,-0.151933586,-0.050703886,0.115436765,-0.567249518,-0.038518993,1.217404194
