PCNM10,PCNM5,PCNM7,PCNM15,TEMPSD,PRECCV,Ca,CLAY,ELEV,feve
-0.033134008,-0.060511407,0.123417465,0.157713224,0.166030508,0.148854647,2.101245144,-0.122871541,-0.464684719,-0.822415822
-0.023733464,-0.058424649,0.088007126,0.130512702,-0.078396167,-0.036483982,-0.061041081,0.265270969,-0.098084239,0.144396758
-0.023661863,-0.058847505,0.088067425,0.130111326,0.003079391,0.148854647,5.77993989,-0.607443963,-0.256301289,-0.609567775
-0.023540974,-0.058910886,0.087994056,0.130280168,0.003079391,0.148854647,3.415465862,-0.025957057,-0.128955859,-1.889843146
0.063157573,-0.124810003,-0.075530553,0.169966695,-0.257642396,1.260886425,-0.325008491,0.8656562,-0.823567294,0.209628094
0.06312398,-0.124825951,-0.07545406,0.170018939,-0.159871726,1.260886425,-0.330624819,0.8656562,-0.808131484,0.159106194
0.062974733,-0.125011349,-0.076331617,0.167783239,-0.502069071,1.446225055,-0.336241146,0.768741716,-0.823567294,0.816799208
0.040023545,-0.116486281,-0.009912774,-0.103486666,-0.143576614,1.260886425,-0.257612556,0.8656562,-0.746388245,-0.399097127
0.039782898,-0.116414777,-0.009217774,-0.103854003,0.214915843,1.260886425,-0.246379901,1.059485169,-0.746388245,0.755280782
0.039997109,-0.116325452,-0.009377874,-0.103642161,-0.143576614,1.260886425,-0.246379901,1.253314138,-0.746388245,-0.559900729
0.039700403,-0.116208861,-0.008499298,-0.104078177,0.214915843,1.260886425,-0.285694196,0.671827231,-0.746388245,-0.204029905
0.065618445,-0.100732081,-0.161027459,-0.048145818,-0.355413066,1.075547796,-0.150902327,0.284169294,-0.206134907,-0.354587023
0.065955718,-0.100998973,-0.161167767,-0.048088652,-0.502069071,1.075547796,0.461277409,-0.006089587,-0.345057194,0.670731508
0.064980038,-0.100226055,-0.160713171,-0.048250414,-0.355413066,1.075547796,-0.207065606,0.574912747,-0.5148511,-0.7641818
-0.070208879,-0.100192383,-0.167047733,-0.050496322,-0.029510832,1.816902314,-0.240763573,0.788124612,-0.719375579,-0.44315896
-0.005921777,-0.113474585,-0.061874443,-0.084902816,-0.127281502,-0.036483982,4.886943761,0.100031773,-0.823567294,-3.002480019
0.007688533,-0.115665879,-0.021370273,-0.033965863,-0.127281502,-0.036483982,4.302845664,0.196946258,-0.823567294,-0.718708678
-0.00593904,-0.113547167,-0.061688556,-0.085131579,-0.127281502,-0.036483982,2.112477799,-0.142254438,-0.823567294,0.928455426
-0.005961162,-0.113623764,-0.061518268,-0.08534478,0.214915843,-0.036483982,4.392706909,-0.258551819,-0.823567294,-1.648898992
0.038116562,-0.114239662,0.017855368,0.044902013,-0.371708178,-0.036483982,-0.178983966,1.253314138,-0.823567294,-0.066167702
0.038158308,-0.114090211,0.017706968,0.045210164,0.100850061,0.148854647,-0.263228884,0.8656562,-0.823567294,-0.345095946
0.038069349,-0.11412595,0.017446016,0.044551337,0.28009629,-0.036483982,-0.111588032,0.8656562,-0.823567294,0.931211351
0.026130342,-0.051099998,-0.007631778,0.096028591,1.143737209,-0.963177131,0.375347593,0.545838401,-0.209993859,0.891946892
0.026003038,-0.051367143,-0.00796082,0.096900938,0.654883859,-0.963177131,-0.172244373,0.545838401,-0.248583384,-0.490971219
0.054109524,-0.045676297,-0.000384447,0.008355486,0.817834976,-0.963177131,-0.268845212,0.085979173,-0.190699097,0.855688505
0.054056544,-0.045921794,-0.000817128,0.008926316,0.817834976,-0.963177131,-0.210435402,0.933496339,-0.128955859,0.544190024
0.011539871,0.151556242,-0.016459625,-0.016435818,-2.32712158,1.075547796,-0.256489291,-1.73116741,1.858404636,-0.454134796
0.011515105,0.151484992,-0.016386071,-0.016082945,-2.32712158,1.075547796,-0.166628045,-1.73116741,2.105377591,1.140816978
0.090883037,0.106150743,0.010655295,-0.047271061,-1.805678006,5.152997648,-0.204819075,-1.852310515,3.664394367,-0.165478266
0.066218663,0.088522915,0.036097275,0.017447024,-1.805678006,2.743595463,-0.189093357,-1.610024304,3.456010937,0.404917828
0.066261231,0.088442389,0.036259139,0.017389681,-1.805678006,2.743595463,-0.307036242,-1.876539136,3.351819222,0.476744348
-0.00663213,0.015716771,-0.021691217,0.063904895,-0.208757061,-0.963177131,-0.30872114,-1.391966714,0.561796624,-0.434296143
0.07288452,-0.004358223,0.096917499,0.028451176,0.850425199,-0.963177131,-0.309844406,-0.641364033,0.179760335,-0.619942689
-0.006785414,0.0153413,-0.022089072,0.063952934,0.866720311,-0.963177131,-0.328378287,-0.762022566,0.530925005,-0.589056644
-0.044714677,0.023974599,-0.114865005,0.029263268,-0.241347284,-0.963177131,-0.313775835,-1.610024304,0.770180054,-0.075600379
-0.054627297,0.037544193,-0.10945828,-0.087280605,-1.626431778,-0.592499871,-0.063287613,-1.004308777,1.090473105,0.037208741
-0.05453118,0.045388591,-0.09468304,-0.035458996,-1.626431778,-0.592499871,-0.222229691,-1.610024304,1.33744606,1.32986342
-0.054625762,0.037732017,-0.110002744,-0.087263322,-1.626431778,-0.592499871,-0.262105619,-1.852310515,1.028729866,0.781032168
-0.044399277,0.059369703,-0.087052574,0.088781364,-1.626431778,-0.592499871,-0.323885225,-1.585795683,1.271843869,-0.239946592
0.035831834,0.132917416,0.012055299,0.229297501,-1.773087783,1.260886425,-0.272776642,-1.828081894,2.186415592,0.302851404
