PCNM16,PCNM4,PCNM18,PCNM23,PRECCV,redundancy_sp
-0.086625126,0.033598171,0.007382947,-0.044111634,0.148854647,-1.307332173
-0.01525989,0.029884005,0.057198972,0.058009718,-0.036483982,1.228525691
-0.013013061,0.029345837,0.058234959,0.058567291,0.148854647,-0.407689274
-0.012927333,0.029328982,0.058143915,0.058799733,0.148854647,-1.211193633
0.072596963,-0.060009491,0.058556675,0.029339208,1.260886425,0.214194832
0.072703895,-0.05998685,0.058665872,0.029325439,1.260886425,-1.87262733
0.071888057,-0.060742254,0.060417457,0.027364832,1.446225055,-0.507663481
-0.02286747,-0.02909931,-0.057535797,0.01904267,1.260886425,-0.833437118
-0.022655396,-0.028780261,-0.057840031,0.019284739,1.260886425,0.407019823
-0.022993291,-0.028706677,-0.058776503,0.019800787,1.260886425,1.17338084
-0.022754452,-0.028290205,-0.059270826,0.02016931,1.260886425,0.442266478
-0.057028108,-0.12040185,0.016937045,-0.041716503,1.075547796,-2.565523225
-0.056791766,-0.120475407,0.016736931,-0.04113954,1.075547796,-1.354705652
-0.057412058,-0.120248935,0.017259544,-0.04269809,1.075547796,-0.833364927
-0.075090746,-0.126850128,0.011639587,-0.049351968,1.816902314,0.148009554
0.092014083,-0.164788276,0.030114799,-0.057270067,-0.036483982,0.793638437
-0.139439708,-0.147443598,-0.131304571,0.272988619,-0.036483982,0.246778318
0.091571122,-0.164793457,0.029726489,-0.057797909,-0.036483982,0.502031054
0.091207305,-0.164799939,0.029434603,-0.05826868,-0.036483982,0.641146965
-0.13492125,-0.126086841,-0.136351371,-0.034968626,-0.036483982,-1.836569182
-0.134975842,-0.125997441,-0.136419408,-0.034516657,0.148854647,-1.705024542
-0.134546347,-0.126194376,-0.136378783,-0.034839336,-0.036483982,-0.731204067
0.157088673,0.080553138,-0.173804452,-0.06310595,-0.963177131,0.827232159
0.157787105,0.080837946,-0.17360159,-0.062331442,-0.963177131,1.515936505
-0.013447055,0.079729191,0.056654467,0.015269806,-0.963177131,0.443164483
-0.01346621,0.080024379,0.057800109,0.016315093,-0.963177131,-0.522812712
0.043616795,-0.173325106,0.039959155,0.090392417,1.075547796,-0.025274762
0.043827597,-0.17330442,0.040208289,0.091128576,1.075547796,-0.455712573
-0.039706539,-0.094678195,-0.161866645,-0.337879467,5.152997648,-1.795132665
-0.057946027,-0.080175192,-0.030292032,-0.025150075,2.743595463,-0.598155256
-0.057785649,-0.080036459,-0.030353669,-0.024722777,2.743595463,-1.080682003
-0.045558987,0.024586501,0.053989182,-0.003660255,-0.963177131,1.755704622
0.086453871,0.006287975,-0.013259202,-0.065197499,-0.963177131,0.556628198
-0.045656858,0.024889126,0.054313612,-0.003720584,-0.963177131,0.241366007
-0.023992016,0.055078896,-0.003470113,0.078537884,-0.963177131,-0.189075416
0.037928316,0.009436255,-0.07368671,-0.041602487,-0.592499871,-0.437662902
-0.070872257,0.003900175,0.031029567,-0.08094963,-0.592499871,-1.173631646
0.037128317,0.009307226,-0.073906823,-0.042459582,-0.592499871,-1.465361662
-0.202135031,-0.010982297,0.148978421,-0.072195393,-0.592499871,-1.791575616
-0.1147331,-0.169022679,0.05343598,-0.037550326,1.260886425,0.466647779
-0.031183435,-0.163671124,-0.023383348,-0.136335206,1.446225055,-0.035347427
0.046409885,-0.173147023,0.04162161,0.098347596,-0.592499871,-0.766278724
0.046492135,-0.173065784,0.041823091,0.098735413,-0.592499871,0.292758192
-0.089189988,0.091624798,0.187798805,0.102793439,-0.963177131,0.828673388
0.056936245,0.099533098,0.029836794,0.242463512,-0.963177131,2.148032534
0.148224689,0.104220758,-0.006640792,0.07053272,-0.963177131,-0.009081583
0.098931216,0.104631287,-0.16618367,-0.092067896,-0.963177131,2.008086403
0.054749512,-0.057177373,-0.020315101,0.182153068,-0.777838501,-0.893957314
0.036271103,-0.069776994,-0.034292501,0.057180172,-0.777838501,0.337735439
0.119904346,-0.043984908,-0.053395354,0.215734157,-0.777838501,1.665301613
0.156752112,-0.031186779,0.149298822,0.089349001,-0.777838501,0.325580871
0.118753352,0.026045777,-0.069477008,0.104359562,-0.963177131,1.633732513
0.095558821,0.035950719,-0.086640149,0.02296667,-0.963177131,-0.017447517
0.021481527,0.048752182,0.017586913,0.067778843,-0.036483982,0.140262058
0.032597643,0.057443621,0.012152402,-0.009981868,-0.036483982,0.100407642
-0.120424048,0.102054594,-0.051170181,0.076978304,-0.036483982,-1.899630427
-0.04174047,0.113309298,0.029065097,-0.173104093,-0.221822612,-0.718269003
0.053794097,0.034511482,0.003786207,0.097757522,-0.963177131,0.62775232
0.054087329,0.034596515,0.003981613,0.097168514,-0.963177131,0.831581283
0.096845158,0.036342238,-0.08569114,0.020400557,-0.963177131,1.047991759
-0.022128992,0.046640318,0.064420003,-0.019197603,-0.963177131,0.667287308
0.018090475,0.036944831,-0.043140844,-0.030364188,-0.963177131,-0.395686133
-0.025052476,0.054415068,-0.00390467,0.078809413,-0.777838501,0.391041013
-0.025492974,0.054312961,-0.004005673,0.078610038,-0.777838501,0.038119207
0.040879676,0.045723306,-0.076930677,0.084534127,-0.777838501,1.781682933
0.018570643,0.037034624,-0.043053706,-0.030254541,-0.963177131,-0.346950713
-0.303099483,-0.015588075,0.378775166,0.085904391,-0.777838501,1.345503776
-0.129321905,0.046757343,0.027712112,-0.018117716,-0.963177131,0.248562953
0.032510627,0.048576083,0.163536549,-0.013826031,-0.963177131,1.988029095
-0.057543274,0.036599956,0.02314869,-0.118945634,-0.963177131,-0.425849486
-0.058367889,0.036842024,0.022889576,-0.118592042,-0.963177131,-0.187283404
-0.059059269,0.035679574,0.021945568,-0.115162858,-0.963177131,1.100904691
-0.059943936,0.036519389,0.021978429,-0.116123178,-0.963177131,1.176764021
0.120743264,0.027914611,-0.141026133,-0.044479389,-0.963177131,-0.201605899
0.002800256,0.105945537,-0.016375959,-0.073501642,0.704870536,-0.824834117
0.020031274,0.110523003,-0.010019627,-0.083395761,0.704870536,0.862174809
0.031543872,0.114269153,0.001510435,-0.022961437,0.519531907,0.682295461
0.031645444,0.11424833,0.00113496,-0.022624952,0.519531907,0.314296077
-0.115469889,0.130446456,0.124419459,-0.062862766,0.704870536,0.13091896
-0.115138738,0.130467877,0.125292707,-0.0631528,0.704870536,0.823045708
0.07724446,0.115436765,0.014976722,-0.072421923,0.890209166,-1.304515348
0.078215164,0.115381788,0.016443398,-0.072004959,0.704870536,-1.252737616
0.118359727,0.125301808,0.067082712,0.030764593,0.519531907,1.0790545
0.119696228,0.124863664,0.06917169,0.031690013,0.519531907,0.928600458
0.119873469,0.124729585,0.069258489,0.031658876,0.519531907,0.517163043
-0.190398756,0.072184508,-0.140588415,0.068877364,0.519531907,0.435806478
-0.109012062,0.095993994,-0.178326561,-0.062167207,0.519531907,0.728009731
-0.057926989,0.138492675,-0.064927098,-0.003637284,0.519531907,1.18158154
-0.057335274,0.138143364,-0.064616828,-0.003636033,0.519531907,0.149829951
-0.057365445,0.138212049,-0.064229459,-0.003624697,0.519531907,0.020884103
0.16166485,0.074960722,0.141532524,-0.106451227,-0.221822612,1.775577764
-0.099689304,0.063906849,-0.073948616,0.216268702,-0.221822612,-0.577725517
0.072900007,-0.038356199,0.147175803,0.000752668,0.334193277,0.572367302
0.072472089,-0.038687379,0.146110563,0.001643835,0.334193277,1.42385702
0.072565904,-0.039253471,0.144626605,0.002481739,0.334193277,1.011568558
0.202048028,-0.058733556,-0.008350806,0.117761938,0.334193277,1.679924092
0.002387193,0.086016741,-0.096383024,0.064642628,0.890209166,-1.009674391
0.002546666,0.085820449,-0.096452264,0.065010762,0.890209166,-0.54932072
-0.104609026,0.091351672,-0.182015173,0.126400255,0.890209166,-0.359369246
