PCNM5,PCNM10,PCNM3,PCNM7,PCNM36,PCNM49,PCNM51,SAND,TEMPSD,PRECCV,ELEV,feve_sp
-0.060511407,-0.033134008,-0.142599927,0.123417465,0.081389239,0.104233487,-0.045917379,-0.102084033,0.166030508,0.148854647,-0.464684719,0.052875947
-0.058424649,-0.023733464,-0.142646304,0.088007126,-0.055085525,-0.167425599,0.010643502,-0.384435389,-0.078396167,-0.036483982,-0.098084239,0.056832119
-0.058847505,-0.023661863,-0.142666635,0.088067425,-0.054460985,0.145706797,-0.017235866,0.085837002,0.003079391,0.148854647,-0.256301289,0.153417536
-0.058910886,-0.023540974,-0.142723533,0.087994056,-0.054675447,-0.078446859,0.04577965,-0.571886622,0.003079391,0.148854647,-0.128955859,-1.252111955
-0.124810003,0.063157573,-0.157560345,-0.075530553,0.003078355,-0.031979472,0.000516122,-0.665847139,-0.257642396,1.260886425,-0.823567294,0.911470088
-0.124825951,0.06312398,-0.15759371,-0.07545406,0.003175816,0.086016332,-0.038369908,-0.684639243,-0.159871726,1.260886425,-0.808131484,-0.034465251
-0.125011349,0.062974733,-0.157209162,-0.076331617,0.005542827,-0.054368338,0.038248494,-0.496248405,-0.502069071,1.446225055,-0.823567294,1.331583652
-0.116486281,0.040023545,-0.162945734,-0.009912774,-0.00826357,-0.081351536,0.018767714,-0.684639243,-0.143576614,1.260886425,-0.746388245,0.161918687
-0.116414777,0.039782898,-0.163075527,-0.009217774,-0.008397411,0.326288993,-0.093840517,-0.966520796,0.214915843,1.260886425,-0.746388245,1.095599056
-0.116325452,0.039997109,-0.163041395,-0.009377874,-0.009380402,-0.346773186,0.099208348,-1.153972029,-0.143576614,1.260886425,-0.746388245,-1.393244286
-0.116208861,0.039700403,-0.163187189,-0.008499298,-0.009674704,0.099707451,-0.023366171,-0.590678725,0.214915843,1.260886425,-0.746388245,-0.325750237
-0.100732081,0.065618445,-0.080223701,-0.161027459,0.015662554,-0.025514891,0.010102847,-0.590678725,-0.355413066,1.075547796,-0.206134907,0.62947187
-0.100998973,0.065955718,-0.08043906,-0.161167767,0.01527376,-0.033815852,0.01984645,-0.121345939,-0.502069071,1.075547796,-0.345057194,0.909833861
-0.100226055,0.064980038,-0.079821342,-0.160713171,0.016280433,0.06204755,-0.031124578,-1.26672465,-0.355413066,1.075547796,-0.5148511,-1.578103683
-0.100192383,-0.070208879,-0.080600928,-0.167047733,-0.00504416,1.03E-09,-2.66E-09,-1.173233935,-0.029510832,1.816902314,-0.719375579,-0.284672392
-0.113474585,-0.005921777,0.129384334,-0.061874443,-0.065130121,-0.02065452,0.30376595,-0.741015554,-0.127281502,-0.036483982,-0.823567294,-3.303749172
-0.115665879,0.007688533,0.152671469,-0.021370273,0.115985856,-6.32E-05,2.17E-05,-0.881486528,-0.127281502,-0.036483982,-0.823567294,-1.273232914
-0.113547167,-0.00593904,0.129295136,-0.061688556,-0.065741979,0.02602945,0.003796955,-1.022897107,-0.127281502,-0.036483982,-0.823567294,0.249419121
-0.113623764,-0.005961162,0.129236211,-0.061518268,-0.06614711,-0.009397479,-0.301937062,-0.928936589,0.214915843,-0.036483982,-0.823567294,-0.34670275
-0.114239662,0.038116562,0.174923597,0.017855368,0.023358162,-0.161041085,-0.219772,-0.966520796,-0.371708178,-0.036483982,-0.823567294,-0.445012184
-0.114090211,0.038158308,0.175000705,0.017706968,0.024410773,-0.163746255,0.087281308,-0.590678725,0.100850061,0.148854647,-0.823567294,-0.721756868
-0.11412595,0.038069349,0.174713185,0.017446016,0.023071688,0.32567341,0.132520991,-0.590678725,0.28009629,-0.036483982,-0.823567294,0.218804756
-0.051099998,0.026130342,-0.02134474,-0.007631778,0.024840545,0.016503919,-0.109969097,-0.393361638,1.143737209,-0.963177131,-0.209993859,1.122272333
-0.051367143,0.026003038,-0.021221289,-0.00796082,0.028648398,-0.004236652,-0.152532216,-0.393361638,0.654883859,-0.963177131,-0.248583384,-0.66614936
-0.045676297,0.054109524,-0.020842521,-0.000384447,-0.018402361,0.001772242,0.1268755,0.193421795,0.817834976,-0.963177131,-0.190699097,0.479142461
-0.045921794,0.054056544,-0.020710587,-0.000817128,-0.013837543,-0.020696896,0.077071027,-0.862694424,0.817834976,-0.963177131,-0.128955859,0.417792526
0.151556242,0.011539871,-0.052385502,-0.016459625,0.026089166,-0.001969262,0.042574817,1.720280207,-2.32712158,1.075547796,1.858404636,-0.771060768
0.151484992,0.011515105,-0.052336044,-0.016386071,0.026733687,0.003306026,0.000797929,1.72075001,-2.32712158,1.075547796,2.105377591,0.882188325
0.106150743,0.090883037,-0.067560794,0.010655295,-0.026006664,-1.00E-05,0.000211312,1.838200657,-1.805678006,5.152997648,3.664394367,-0.520508379
0.088522915,0.066218663,-0.064517058,0.036097275,0.003501221,0.005718571,0.108763232,1.696790078,-1.805678006,2.743595463,3.456010937,0.041040634
0.088442389,0.066261231,-0.064551502,0.036259139,0.002567966,-0.005704577,-0.108536526,1.814240725,-1.805678006,2.743595463,3.351819222,0.119399254
0.015716771,-0.00663213,0.003554354,-0.021691217,-0.026526504,0.001027909,-0.029761485,1.462358586,-0.208757061,-0.963177131,0.561796624,-0.59068342
-0.004358223,0.07288452,0.020685151,0.096917499,0.273957772,5.04E-06,-0.000399737,0.522753409,0.850425199,-0.963177131,0.179760335,-0.592161904
0.0153413,-0.006785414,0.003525277,-0.022089072,-0.024675467,0.005326618,-0.042952248,0.639734254,0.866720311,-0.963177131,0.530925005,-0.854098199
0.023974599,-0.044714677,-0.008047579,-0.114865005,0.062257933,0.003376774,-0.082210418,1.696790078,-0.241347284,-0.963177131,0.770180054,-0.531159339
0.037544193,-0.054627297,-0.053803687,-0.10945828,-0.00486108,0.00664633,0.287631846,1.086046713,-1.626431778,-0.592499871,1.090473105,0.344651716
0.045388591,-0.05453118,-0.055351654,-0.09468304,0.11470992,-3.17E-07,6.59E-05,2.02565189,-1.626431778,-0.592499871,1.33744606,1.000843567
0.037732017,-0.054625762,-0.053802336,-0.110002744,-0.002151686,-0.006649738,-0.287718657,2.02565189,-1.626431778,-0.592499871,1.028729866,0.871184168
0.059369703,-0.044399277,-0.058002629,-0.087052574,-0.128164135,-5.24E-06,-4.47E-05,1.649809819,-1.626431778,-0.592499871,1.271843869,0.769282609
0.132917416,0.035831834,-0.037919998,0.012055299,0.162321436,-6.02E-06,-2.80E-05,1.884711113,-1.773087783,1.260886425,2.186415592,0.11573709
0.121773161,0.039087697,-0.031607076,0.018042997,-0.105194792,-4.90E-06,-6.59E-05,1.649809819,-2.783384707,1.446225055,2.225005116,1.155978647
0.151242228,0.011298122,-0.052253451,-0.016061554,0.025340555,-0.004824963,0.004558108,-0.205910405,-0.730200635,-0.592499871,0.488476528,0.522644621
0.15108802,0.011236144,-0.052168677,-0.01598064,0.02617826,0.003614519,-0.048000794,0.734164574,-0.371708178,-0.592499871,0.515489195,-0.349126607
-0.105811782,-0.028568988,0.032638476,0.084333199,-0.053043045,0.006346277,-0.072588158,-0.793163641,1.469639443,-0.963177131,-0.5148511,-0.218403234
-0.093221027,-0.064268263,0.02710495,0.066957912,0.06208517,-0.006351269,0.072734691,-0.440341897,1.094851874,-0.963177131,-0.669209197,-1.127878312
-0.126609265,-0.092563235,0.039189894,0.066628685,-0.038539192,3.41E-05,0.000923637,-0.205440603,1.094851874,-0.963177131,-0.696221864,0.736894456
-0.04721918,-0.050074789,0.012374665,0.042995453,0.007854097,0.001606286,-0.002008004,-0.440341897,0.752654529,-0.963177131,-0.476261576,0.338237049
