PCNM8,PCNM7,PCNM5,PCNM6,PCNM40,PCNM4,CLAY,TEMP,PRECDRIEST,ELEV,redundancy
0.155634444,0.123417465,-0.060511407,-0.0785943,0.001887759,0.033598171,-0.122871541,0.289282637,-0.254414923,-0.464684719,-1.089186011
0.142424162,0.088007126,-0.058424649,-0.101634871,-0.001606833,0.029884005,0.265270969,-0.070021959,0.203676219,-0.098084239,-0.711156619
0.142533033,0.088067425,-0.058847505,-0.100911722,0.002420395,0.029345837,-0.607443963,0.01980419,0.020439762,-0.256301289,-1.295572761
0.142522953,0.087994056,-0.058910886,-0.100853678,0.002339331,0.029328982,-0.025957057,0.109630339,0.020439762,-0.128955859,-1.502677875
0.006059162,-0.075530553,-0.124810003,0.093784639,-0.001626467,-0.060009491,0.8656562,0.648587233,-1.873003627,-0.823567294,-1.079760942
0.006172011,-0.07545406,-0.124825951,0.093718453,-0.001508937,-0.05998685,0.8656562,0.648587233,-1.842464218,-0.808131484,-0.724034012
0.004530185,-0.076331617,-0.125011349,0.095542498,0.003012811,-0.060742254,0.768741716,0.648587233,-1.811924808,-0.823567294,-1.225599775
-0.015330348,-0.009912774,-0.116486281,0.066245197,0.00112013,-0.02909931,0.8656562,0.738413382,-1.68976717,-0.746388245,-0.75191354
-0.014695224,-0.009217774,-0.116414777,0.065539587,0.000765761,-0.028780261,1.059485169,0.648587233,-1.628688351,-0.746388245,-0.733016735
-0.014857894,-0.009377874,-0.116325452,0.065449313,-0.000866917,-0.028706677,1.253314138,0.648587233,-1.68976717,-0.746388245,-0.797831211
-0.014058229,-0.008499298,-0.116208861,0.064523101,-0.001502807,-0.028290205,0.671827231,0.648587233,-1.628688351,-0.746388245,-1.097187035
-0.170952196,-0.161027459,-0.100732081,0.233606834,-0.000219749,-0.12040185,0.284169294,0.109630339,-1.231676027,-0.206134907,-1.618927431
-0.17096657,-0.161167767,-0.100998973,0.233871119,-0.000969092,-0.120475407,-0.006089587,0.199456488,-1.231676027,-0.345057194,-1.073651046
-0.170861876,-0.160713171,-0.100226055,0.233056505,0.00111101,-0.120248935,0.574912747,0.109630339,-1.231676027,-0.5148511,-0.938590715
-0.191169545,-0.167047733,-0.100192383,0.243026667,1.95E-06,-0.126850128,0.788124612,0.648587233,-2.086779494,-0.719375579,-0.840688943
0.204028706,-0.061874443,-0.113474585,-0.08295163,-0.000164202,-0.164788276,0.100031773,0.648587233,0.356373267,-0.823567294,2.103780036
0.156140346,-0.021370273,-0.115665879,-0.052922917,-1.31E-05,-0.147443598,0.196946258,0.648587233,0.356373267,-0.823567294,2.128687192
0.203685691,-0.061688556,-0.113547167,-0.083197584,-0.00181367,-0.164793457,-0.142254438,0.648587233,0.356373267,-0.823567294,2.004923676
