PCNM7,PCNM48,PCNM3,PCNM34,PCNM29,PCNM15,pH,TEMPSD,fdis
0.123417465,-0.026950254,-0.142599927,-0.041093706,-0.062612478,0.157713224,0.347593337,0.166030508,0.367757508
0.088007126,-0.192808842,-0.142646304,-0.014611156,0.020510768,0.130512702,-0.437427774,-0.078396167,-0.248394764
0.088067425,0.135894734,-0.142666635,-0.014183631,0.020271147,0.130111326,2.964330373,0.003079391,0.077094646
0.087994056,0.079832474,-0.142723533,-0.014375887,0.020243505,0.130280168,3.48767778,0.003079391,-1.289850126
-0.075530553,-0.201714023,-0.157560345,-0.004455103,0.02174563,0.169966695,-0.17575407,-0.257642396,-1.36746796
-0.07545406,-0.158650744,-0.15759371,-0.004394968,0.021869353,0.170018939,0.085919633,-0.159871726,-0.568552675
-0.076331617,0.364213155,-0.157209162,-0.002103232,0.020386568,0.167783239,-0.960775181,-0.502069071,-0.36769959
-0.009912774,-0.314839134,-0.162945734,-0.011351801,-0.028318713,-0.103486666,-0.17575407,-0.143576614,-2.12802491
-0.009217774,0.059876874,-0.163075527,-0.011551522,-0.027805994,-0.103854003,-0.437427774,0.214915843,0.73613575
-0.009377874,-0.106418804,-0.163041395,-0.012359588,-0.028046517,-0.103642161,-0.17575407,-0.143576614,1.063684369
-0.008499298,0.357086901,-0.163187189,-0.012709228,-0.027419475,-0.104078177,-0.17575407,0.214915843,1.035441976
-0.161027459,0.005816308,-0.080223701,0.022606878,-0.187990468,-0.048145818,1.132614448,-0.355413066,-1.464121326
-0.161167767,0.115045468,-0.08043906,0.022132793,-0.188281687,-0.048088652,1.132614448,-0.502069071,-1.054830131
-0.160713171,-0.121305177,-0.079821342,0.023409275,-0.187402677,-0.048250414,1.132614448,-0.355413066,-1.591374979
-0.167047733,5.27E-09,-0.080600928,-0.010724528,0.541742912,-0.050496322,0.085919633,-0.029510832,-1.064364898
-0.061874443,-0.049841043,0.129384334,0.039278626,0.010990991,-0.084902816,4.272698891,-0.127281502,-1.138932351
-0.021370273,1.90E-05,0.152671469,-0.280871476,-0.042261719,-0.033965863,3.226004076,-0.127281502,-1.081214408
-0.061688556,-0.000596148,0.129295136,0.03883081,0.010911556,-0.085131579,2.440982966,-0.127281502,1.482418374
-0.061518268,0.058882647,0.129236211,0.038543444,0.010887874,-0.08534478,4.796046298,0.214915843,0.145311395
0.017855368,0.058085693,0.174923597,0.043528701,0.019039172,0.044902013,-0.699101477,-0.371708178,0.952594339
0.017706968,0.003117476,0.175000705,0.044675413,0.019050404,0.045210164,-0.699101477,0.100850061,1.401028334
0.017446016,-0.061320278,0.174713185,0.044002198,0.018748554,0.044551337,-0.437427774,0.28009629,1.233665145
-0.007631778,-0.025618717,-0.02134474,0.094921998,-0.000114155,0.096028591,0.426095448,1.143737209,-0.177909852
-0.00796082,-0.059471563,-0.021221289,0.095925416,-1.83E-05,0.096900938,-0.411260403,0.654883859,0.498251272
-0.000384447,0.066829193,-0.020842521,0.033367323,0.029774306,0.008355486,-0.934607811,0.817834976,0.635874303
-0.000817128,0.027713027,-0.020710587,0.034233849,0.029991916,0.008926316,-0.097251959,0.817834976,0.899138474
-0.016459625,-0.004446788,-0.052385502,-0.010069277,0.027084186,-0.016435818,0.661601781,-2.32712158,-1.092406411
-0.016386071,0.001818456,-0.052336044,-0.009217915,0.026962814,-0.016082945,0.923275485,-2.32712158,-0.146569269
0.010655295,8.93E-05,-0.067560794,-0.219261419,0.076829344,-0.047271061,-0.201921441,-1.805678006,0.28032668
0.036097275,0.00632432,-0.064517058,-0.004431286,-0.011817969,0.017447024,0.007417522,-1.805678006,-0.251731177
0.036259139,-0.006313213,-0.064551502,-0.004233246,-0.011773979,0.017389681,0.112087004,-1.805678006,0.168274728
-0.021691217,-0.005513103,0.003554354,-0.040904244,0.018674602,0.063904895,0.059752263,-0.208757061,-1.66631024
0.096917499,-0.000433356,0.020685151,0.152818756,-0.002619118,0.028451176,-0.568264626,0.850425199,0.788527869
-0.022089072,-0.001650864,0.003525277,-0.039959062,0.018527205,0.063952934,-0.672934107,0.866720311,1.360191926
-0.114865005,-0.053186957,-0.008047579,0.033203103,-0.001678544,0.029263268,0.295258596,-0.241347284,-0.513409747
-0.10945828,-0.012612172,-0.053803687,0.013199953,-0.021220613,-0.087280605,-0.594431996,-1.626431778,-0.063877893
-0.09468304,1.28E-06,-0.055351654,-0.026902041,0.031696866,-0.035458996,-0.17575407,-1.626431778,0.957566624
-0.110002744,0.012615237,-0.053802336,0.012106901,-0.021101324,-0.087263322,0.085919633,-1.626431778,-0.032753791
-0.087052574,-2.15E-06,-0.058002629,0.001314683,-0.026582141,0.088781364,0.164421744,-1.626431778,0.633780917
0.012055299,-8.50E-06,-0.037919998,-0.004797024,-0.045780585,0.229297501,0.687769152,-1.773087783,-2.280162108
0.018042997,-6.45E-06,-0.031607076,0.127186427,-0.050608932,0.207088774,1.341953411,-2.783384707,-0.947103799
-0.016061554,-0.003477309,-0.052253451,-0.004321757,0.027092392,-0.017126334,0.661601781,-0.730200635,-0.264951546
-0.01598064,0.006045669,-0.052168677,-0.003561465,0.026872358,-0.016612913,0.242923856,-0.371708178,-0.852787205
0.084333199,-0.007195044,0.032638476,0.012290971,-0.0281163,0.0032233,-0.646766737,1.469639443,0.247755829
0.066957912,0.007214661,0.02710495,0.097061622,-0.031590844,0.137646626,-0.960775181,1.094851874,0.795701727
0.066628685,3.87E-05,0.039189894,0.086440192,-0.022079901,0.076015322,-1.300950996,1.094851874,-0.167043677
0.042995453,7.69E-05,0.012374665,-0.288730461,0.06540955,0.130021103,-0.672934107,0.752654529,0.333134294
0.049744786,1.16E-05,-0.060789769,-0.066776879,0.029310203,-0.041358531,0.478430189,0.67117897,0.53694424
0.052390172,-0.000463399,-0.062528253,0.183307773,-0.045786256,0.055662133,0.190589115,0.18232562,-0.771165146
0.04800896,-4.65E-05,-0.05873244,-0.054576867,0.096607725,-0.148561018,1.132614448,0.345276737,-1.338447277
0.097923318,4.78E-05,-0.048977181,0.055509694,-0.038489196,-0.159811773,-0.228088811,0.345276737,0.895885065
0.024069264,-0.021896364,0.020630128,-0.016931854,0.009821779,0.060136887,-0.620599366,1.225212768,0.387431848
-0.044638297,-0.008022591,0.014726998,0.008766141,-0.017343531,-0.05596366,0.033584893,1.225212768,0.71991648
0.054391416,-7.17E-05,0.17669992,0.01204449,-0.025801916,-0.040542746,-0.17575407,0.752654529,0.211179633
0.05567452,3.99E-05,0.172238208,0.095426162,0.096759872,-0.04986347,-0.437427774,0.5734083,1.173836804
0.087141938,-6.25E-05,0.14706088,-0.427561673,-0.045242696,0.070861696,-0.437427774,0.5734083,-1.780983128
0.091233244,0.000105156,0.138866284,0.126958171,0.017805044,0.085374311,-0.437427774,0.166030508,0.131030854
-0.007551924,0.00479742,0.020369508,-0.041325603,0.045690228,0.02578518,-0.90844044,1.33927855,1.389692714
-0.007544213,0.017457473,0.020386023,-0.040820606,0.045568537,0.025910805,-1.928967884,1.33927855,0.381079647
-0.044573277,0.008032875,0.014808939,0.010977785,-0.017820842,-0.055331078,0.059752263,1.33927855,0.52612694
-0.006162937,0.02838737,0.024977386,-0.123501463,0.02715442,0.04976648,-0.986942551,1.062261651,1.378796379
-0.047980148,0.014464016,-0.007327787,0.006152843,0.001237714,0.079142694,-0.201921441,-0.078396167,-0.441130861
-0.114456524,0.006577473,-0.008021417,0.031498919,-0.00169211,0.028454961,-0.751436218,-0.290232619,0.643293919
-0.1144745,0.027584646,-0.00804317,0.031491916,-0.001851827,0.028219807,-0.228088811,-0.290232619,-0.15538623
-0.082251658,0.021869796,-0.007622643,0.055545617,-0.037563314,0.062966983,0.085919633,0.068259838,-0.76944221
-0.047917096,-0.007260671,-0.007305943,0.006173343,0.00138993,0.079416312,-0.123419329,-0.078396167,1.077698862
0.047258773,2.28E-05,0.008199262,-0.031620907,0.019955118,-0.189137489,-0.672934107,1.013376316,1.033244076
0.041787027,0.026913664,0.01442479,0.268627667,0.002145828,-0.037732816,-0.672934107,1.062261651,0.823690548
0.042305997,-0.02696844,0.022461697,-0.042980232,-0.020612874,-0.040455372,-0.90844044,1.062261651,0.519702064
-0.076213646,0.004144542,0.008712491,-0.036641551,-0.010775208,-0.030518636,-0.594431996,1.062261651,0.437782817
-0.076782025,0.000785608,0.008566376,-0.035808282,-0.011015361,-0.030608961,-0.332758292,1.029671427,-0.84626822
-0.075800987,-0.019935632,0.008696449,-0.041088661,-0.009781303,-0.031438853,-0.542097255,1.078556763,-0.164021368
-0.077043748,-0.016060385,0.008422811,-0.037538553,-0.010690859,-0.031198704,-0.646766737,-0.013215721,-1.686906064
-0.029056571,-4.95E-06,0.012110511,-0.019341136,-0.006078727,-0.038173004,-0.934607811,1.078556763,0.559972077
-0.001650384,0.008292976,-0.091765499,-0.148542267,-0.062659605,0.006287499,0.295258596,0.328981625,-1.955812837
0.007187906,7.15E-05,-0.082363895,0.040852944,0.081853176,-0.017624586,-0.699101477,0.328981625,-0.65944131
0.017350916,0.095592341,-0.072891694,0.064628797,0.044280594,-0.03734359,-0.437427774,0.198620731,0.938043144
0.016954968,-0.100257273,-0.072973871,0.064700248,0.043995446,-0.037138426,-0.88227307,0.068259838,-0.163904178
-0.063858371,0.048128151,0.030996791,0.026263731,0.003967921,0.161261388,-0.201921441,-0.713905523,-0.232107634
-0.064079855,-0.048008064,0.031286552,0.027055532,0.003952016,0.161148232,-0.1495867,-0.713905523,0.18464628
-0.151933586,0.014556159,0.070533701,0.031854514,-0.028881803,-0.123445258,0.007417522,-0.567249518,-0.589427223
-0.152248526,-0.014724652,0.070903713,0.032069209,-0.029128164,-0.123183211,-0.463595144,-0.567249518,-2.337091385
-0.08247487,0.024314283,0.089744123,-0.057624105,0.008589573,-0.04138684,-0.254256181,-0.844266417,1.078175556
-0.082554882,0.00063626,0.090116366,-0.05717807,0.008153769,-0.040565953,-0.542097255,-0.844266417,-1.142980446
-0.082851536,-0.024143004,0.090056158,-0.056484067,0.007847543,-0.04053049,-0.332758292,-0.844266417,-0.304228003
-0.050380163,5.78E-05,0.136974249,0.138122295,-0.08749635,-0.080713101,-0.542097255,-0.127281502,0.574425289
-0.072464067,-0.000126018,0.118561012,0.206752064,0.094044076,0.025305801,-0.803770959,-0.713905523,1.11851601
0.125731903,0.410148427,-0.030362017,-0.00111904,-0.011407583,-0.194372931,-0.699101477,0.198620731,1.123065408
0.126078858,-0.422149337,-0.031028436,-0.001439068,-0.012174229,-0.195116249,-0.228088811,0.198620731,-0.179187483
0.126337755,0.013899024,-0.030782021,-0.00158568,-0.011618427,-0.194644424,-1.039277292,0.08455495,0.860600482
0.2112876,5.48E-06,0.150437963,-0.170799266,-0.071319238,0.052821479,-0.17575407,0.557113189,0.564009447
0.204116035,-1.85E-06,0.163513319,0.126827421,0.096593693,0.118510102,0.085919633,0.736359417,0.207304609
-0.13808751,0.027681667,0.184179367,0.021685982,-0.010334159,0.08753315,-0.018749848,-0.192461949,-0.016907924
-0.137602566,0.115851811,0.18435806,0.019869921,-0.009787782,0.087646087,-0.489762514,-0.062101056,-0.231967807
-0.137602966,-0.146694838,0.184191578,0.019608451,-0.009849355,0.086840075,-0.777603588,0.003079391,-1.69717326
-0.115895352,-0.005626688,0.18094349,-0.086739547,-0.021388919,-0.063903843,-0.411260403,-0.176166837,1.177498292
-0.076694349,0.065003947,-0.099662686,-0.122808449,0.039901394,0.097277602,-0.437427774,-0.453183736,-1.74365132
-0.076768389,-0.065136477,-0.099701437,-0.123261971,0.039515867,0.097532716,2.283978743,-0.453183736,-1.857502328
-0.085629741,0.000339982,-0.092206648,0.152527098,-0.090579626,0.058541045,-0.699101477,-0.860561528,-1.827498041
-0.068379205,5.95E-07,-0.037280649,-0.083547595,-0.02492708,-0.130400428,-0.803770959,-1.023512645,0.59628209
-0.059045909,3.27E-06,-0.03657543,0.044994123,0.012562458,-0.155628192,0.399928078,-1.414595326,-0.036649527
-0.004258402,-0.005834105,-0.021302644,0.03278805,0.030120893,0.005983492,-0.228088811,-0.045805944,-0.336025866
-0.004305698,0.008140164,-0.021392762,0.032340533,0.030024982,0.00555755,-0.751436218,-0.045805944,-0.153018916
-0.038919146,0.026942375,-0.02993679,-0.218802771,-0.113976897,-0.050425589,0.007417522,-0.159871726,-1.319716996
-0.074518454,-0.002045974,-0.037731501,0.119221585,-0.00740109,-0.075323792,-0.123419329,-0.159871726,-1.615754902
-0.004449202,-0.036751809,-0.021163287,0.033581366,0.030294262,0.006604087,-0.620599366,-0.045805944,-0.981116246
0.070099259,0.014042182,0.013731175,-0.022687878,0.005111633,0.017795847,-0.332758292,-1.26793932,0.684626756
0.069565598,0.010057134,0.01375163,-0.022946809,0.00531206,0.017835972,-0.437427774,-1.26793932,-0.071518168
0.06769155,-0.007789436,0.013825638,-0.02391882,0.00600336,0.017877539,0.58309967,-1.544956219,-0.35104578
0.068153058,-0.005244288,0.013819502,-0.023747731,0.005892282,0.017837985,-0.018749848,-1.544956219,0.316762372
0.056103129,3.83E-06,0.011961016,0.064482238,0.025125088,-0.054808047,-0.699101477,-1.398300214,1.727713563
0.044044036,4.62E-06,0.010030911,-0.101137826,-0.011992336,-0.116174398,0.347593337,-1.756792671,-1.353342222
0.069527509,-0.00491996,0.013820676,-0.023409359,0.005628419,0.017558628,0.085919633,-0.958332198,0.390355526
0.069705085,-0.006291381,0.013823468,-0.023395018,0.005600596,0.017489156,0.975610226,-1.561251331,-0.398245461
0.068432844,-6.11E-06,0.102327481,-0.01326561,-0.017437414,-0.097524568,0.609267041,2.202919469,1.271488716
0.072331777,0.077736778,0.104013866,0.01943497,-0.009263743,0.026747939,-0.699101477,1.958492794,0.18376455
0.080264642,-0.07755181,0.104357822,-0.04274535,0.02040118,-0.061494733,-0.437427774,1.958492794,0.204966963
