PCNM15,PCNM29,PCNM5,PCNM19,PCNM54,PCNM4,PCNM25,SAND,TEMPMIN,elevation,fdiv_sp
0.157713224,-0.062612478,-0.060511407,-0.063275185,-8.94E-06,0.033598171,0.224080808,-0.102084033,0.221431927,-0.464684719,1.909136052
0.130512702,0.020510768,-0.058424649,0.019228065,2.71E-05,0.029884005,-0.068594135,-0.384435389,-0.031159583,-0.098084239,-0.514279596
0.130111326,0.020271147,-0.058847505,0.018548611,-1.89E-05,0.029345837,-0.067904969,0.085837002,0.053037587,-0.256301289,-1.351024742
0.130280168,0.020243505,-0.058910886,0.01867663,3.41E-06,0.029328982,-0.068040378,-0.571886622,0.053037587,-0.128955859,-0.424348918
0.169966695,0.02174563,-0.124810003,-0.019257523,1.81E-05,-0.060009491,-0.062390605,-0.665847139,0.642417778,-0.823567294,0.863110607
0.170018939,0.021869353,-0.124825951,-0.019322537,-8.84E-07,-0.05998685,-0.062372751,-0.684639243,0.642417778,-0.808131484,1.150936921
0.167783239,0.020386568,-0.125011349,-0.021065181,-1.74E-05,-0.060742254,-0.060743516,-0.496248405,0.558220608,-0.823567294,-0.340656269
-0.103486666,-0.028318713,-0.116486281,0.038248793,-2.23E-06,-0.02909931,0.032147845,-0.684639243,0.642417778,-0.746388245,0.998686021
-0.103854003,-0.027805994,-0.116414777,0.038505884,-4.49E-05,-0.028780261,0.032265581,-0.966520796,0.642417778,-0.746388245,-0.696216222
-0.103642161,-0.028046517,-0.116325452,0.039223408,4.54E-05,-0.028706677,0.031824666,-1.153972029,0.642417778,-0.746388245,-1.569903325
-0.104078177,-0.027419475,-0.116208861,0.039633146,8.79E-07,-0.028290205,0.031922501,-0.590678725,0.642417778,-0.746388245,-0.759076723
-0.048145818,-0.187990468,-0.100732081,-0.028131093,2.52E-05,-0.12040185,0.013427286,-0.590678725,0.053037587,-0.206134907,1.126396239
