PCNM4,PCNM10,PCNM5,CLAY,OrganicMatter,PRECDRIEST,TEMPMIN,feve
0.033598171,-0.033134008,-0.060511407,-0.122871541,-0.752900987,-0.254414923,0.221431927,-0.20703116
0.029884005,-0.023733464,-0.058424649,0.265270969,-0.171773219,0.203676219,-0.031159583,-0.574847115
0.029345837,-0.023661863,-0.058847505,-0.607443963,-0.702263298,0.020439762,0.053037587,-0.611274343
0.029328982,-0.023540974,-0.058910886,-0.025957057,-1.353319303,0.020439762,0.053037587,-1.160677942
-0.060009491,0.063157573,-0.124810003,0.8656562,-0.21999959,-1.873003627,0.642417778,0.13033785
-0.05998685,0.06312398,-0.124825951,0.8656562,-0.118724211,-1.842464218,0.642417778,-1.055384525
-0.060742254,0.062974733,-0.125011349,0.768741716,0.091060502,-1.811924808,0.558220608,-0.156772167
-0.02909931,0.040023545,-0.116486281,0.8656562,-0.31886365,-1.68976717,0.642417778,-1.718778488
-0.028780261,0.039782898,-0.116414777,1.059485169,-0.253758049,-1.628688351,0.642417778,-0.242575658
-0.028706677,0.039997109,-0.116325452,1.253314138,-0.511769133,-1.68976717,0.642417778,-0.637786225
-0.028290205,0.039700403,-0.116208861,0.671827231,-0.113901574,-1.628688351,0.642417778,-1.074535589
-0.12040185,0.065618445,-0.100732081,0.284169294,-0.752900987,-1.231676027,0.053037587,1.219964472
-0.120475407,0.065955718,-0.100998973,-0.006089587,-0.338154198,-1.231676027,0.137234757,0.694145278
-0.120248935,0.064980038,-0.100226055,0.574912747,-1.413602267,-1.231676027,0.053037587,-0.300097765
-0.126850128,-0.070208879,-0.100192383,0.788124612,-0.916870648,-2.086779494,0.642417778,-1.366909991
-0.164788276,-0.005921777,-0.113474585,0.100031773,-1.153179865,0.356373267,0.726614948,1.162255725
-0.147443598,0.007688533,-0.115665879,0.196946258,-1.314738207,0.356373267,0.726614948,-1.161425859
-0.164793457,-0.00593904,-0.113547167,-0.142254438,-0.998855478,0.356373267,0.726614948,1.481833402
-0.164799939,-0.005961162,-0.113623764,-0.258551819,-1.172470413,0.386912676,0.726614948,0.577611433
-0.126086841,0.038116562,-0.114239662,1.253314138,-0.61545583,0.234215629,0.726614948,0.581237565
-0.125997441,0.038158308,-0.114090211,0.8656562,-0.581697371,0.081518581,0.726614948,0.885950769
-0.126194376,0.038069349,-0.11412595,0.8656562,-0.193475086,0.264755038,0.642417778,-0.808258796
0.080553138,0.026130342,-0.051099998,0.545838401,-0.145248715,0.845003819,0.474023438,-0.317670062
0.080837946,0.026003038,-0.051367143,0.545838401,-0.369501339,0.875543228,0.474023438,-0.917962283
0.079729191,0.054109524,-0.045676297,0.085979173,0.459992238,0.936622047,0.305629098,-1.437229658
0.080024379,0.054056544,-0.045921794,0.933496339,-0.437018258,0.936622047,0.305629098,0.099869314
-0.173325106,0.011539871,0.151556242,-1.73116741,1.412463061,0.203676219,-2.136088833,0.388853218
-0.17330442,0.011515105,0.151484992,-1.73116741,0.65530904,0.203676219,-2.136088833,0.922354404
-0.094678195,0.090883037,0.106150743,-1.852310515,3.141378454,-2.880804141,-4.325215254,-1.04959259
-0.080175192,0.066218663,0.088522915,-1.610024304,3.491019642,-1.72030658,-3.904229404,-0.268491024
-0.080036459,0.066261231,0.088442389,-1.876539136,2.868899459,-1.72030658,-3.904229404,0.166853139
0.024586501,-0.00663213,0.015716771,-1.391966714,0.963957813,0.875543228,-0.283751093,0.66607031
0.006287975,0.07288452,-0.004358223,-0.641364033,0.293611259,0.814464409,-0.031159583,0.590691882
0.024889126,-0.006785414,0.0153413,-0.762022566,0.679422225,0.906082638,-0.283751093,1.915453408
0.055078896,-0.044714677,0.023974599,-1.610024304,0.537154431,0.936622047,-0.536342603,1.353542819
0.009436255,-0.054627297,0.037544193,-1.004308777,0.633607173,1.150397914,-1.041525623,1.954413848
0.003900175,-0.05453118,0.045388591,-1.610024304,1.323244275,1.150397914,-1.041525623,1.228244541
0.009307226,-0.054625762,0.037732017,-1.852310515,1.173742526,1.150397914,-1.041525623,1.239523742
-0.010982297,-0.044399277,0.059369703,-1.585795683,-0.205531679,1.150397914,-1.041525623,1.060663947
-0.169022679,0.035831834,0.132917416,-1.828081894,2.070753023,0.050979172,-2.388680344,0.522078491
-0.163671124,0.039087697,0.121773161,-1.828081894,1.250904719,0.020439762,-2.304483173,0.288927988
-0.173147023,0.011298122,0.151242228,-0.665108081,-0.936161196,0.539609724,-0.367948263,0.622686859
-0.173065784,0.011236144,0.15108802,-0.907394292,-0.097022344,0.478530905,-0.283751093,1.020254917
0.091624798,-0.028568988,-0.105811782,0.788609185,-0.538293637,0.906082638,0.474023438,-0.746470051
0.099533098,-0.064268263,-0.093221027,0.545838401,0.443113008,0.814464409,0.810812118,0.625684762
0.104220758,-0.092563235,-0.126609265,0.546322974,0.228505658,0.814464409,0.810812118,0.351233776
0.104631287,-0.050074789,-0.04721918,0.424695296,-0.068086522,0.845003819,0.642417778,0.447690414
-0.057177373,0.029088989,0.063934079,0.061265979,-0.687795387,0.631227952,0.221431927,-0.210760294
-0.069776994,0.039917283,0.075134928,-0.059877126,-0.654036927,0.722846181,0.053037587,1.233209008
-0.043984908,0.019180052,0.051609051,-1.028537398,0.799988152,0.692306771,0.305629098,-0.592661498
-0.031186779,0.051826737,0.032777342,0.30355219,-0.598576601,0.692306771,0.305629098,0.372735568
0.026045777,0.04315523,-0.035767174,0.424695296,-0.506946496,1.028240276,0.389826268,0.48111539
0.035950719,0.000185893,-0.04304004,0.424695296,-0.878289551,1.028240276,0.389826268,-0.199147133
0.048752182,-0.073625664,-0.00560127,1.253314138,-0.678150112,-0.223875514,0.726614948,0.278479967
0.057443621,-0.07444171,-0.003358609,1.059485169,-0.810772632,-0.223875514,0.726614948,-0.470412191
0.102054594,-0.065676894,0.028245354,1.059485169,-0.473188037,-0.223875514,0.726614948,-1.392032185
0.113309298,-0.068269814,0.038494524,1.059485169,-0.106667619,0.264755038,0.305629098,-0.914079909
0.034511482,0.029208399,-0.050237595,-0.059877126,-0.18624113,1.058779685,0.474023438,0.174881679
0.034596515,0.029149981,-0.050593758,0.30355219,0.320135763,1.058779685,0.558220608,-0.498172458
0.036342238,-3.98E-05,-0.044650947,0.667466079,-1.208640191,1.058779685,0.558220608,-0.800471724
0.046640318,0.020549164,-0.056096469,0.788124612,-0.777014172,1.028240276,0.474023438,1.003159578
0.036944831,-0.017559464,0.052268864,-1.51310982,0.86991639,0.845003819,-0.536342603,2.082703744
0.054415068,-0.044576549,0.024720691,-1.852310515,0.088649183,0.845003819,-0.704736943,1.443215463
0.054312961,-0.044603202,0.024846626,-1.610024304,1.730757108,0.845003819,-0.704736943,1.264219154
0.045723306,-0.030544897,0.038654755,-1.416195335,0.380418726,0.783925,-0.620539773,0.466244168
0.037034624,-0.017521333,0.052147142,-1.537338441,0.93502199,0.845003819,-0.536342603,2.210814219
