PCNM5,PCNM35,PCNM24,PCNM14,PCNM12,PRECCV,TEMPSD,feve_sp
-0.060511407,0.037633395,-0.163089893,-0.049364228,-0.024561532,0.148854647,0.166030508,1.623577455
-0.058424649,-0.033469131,0.010968068,-0.041710197,-0.010742824,-0.036483982,-0.078396167,-0.255952329
-0.058847505,-0.034028318,0.009370591,-0.040180937,-0.009846018,0.148854647,0.003079391,-0.670094118
-0.058910886,-0.034116336,0.009378565,-0.040031256,-0.009924489,0.148854647,0.003079391,-0.488798068
-0.124810003,0.006059117,-0.009220827,0.181823371,-0.013965015,1.260886425,-0.257642396,0.037675182
-0.124825951,0.00606797,-0.009277009,0.181944337,-0.013906337,1.260886425,-0.159871726,-1.812841503
-0.125011349,0.006462071,-0.010337991,0.179243932,-0.012955597,1.446225055,-0.502069071,-0.162339664
-0.116486281,-0.008906118,0.004892354,-0.096100944,0.010881731,1.260886425,-0.143576614,-1.234839284
-0.116414777,-0.009013649,0.004908576,-0.096155004,0.011017279,1.260886425,0.214915843,-0.776435902
-0.116325452,-0.00913966,0.005422227,-0.096158495,0.010529813,1.260886425,-0.143576614,-0.462940307
-0.116208861,-0.009296006,0.005499789,-0.096217933,0.010646129,1.260886425,0.214915843,-0.422631107
-0.100732081,0.012951355,0.003243479,-0.078201,0.007886913,1.075547796,-0.355413066,1.211912916
-0.100998973,0.012720397,0.003224287,-0.07802862,0.007895249,1.075547796,-0.502069071,0.321782507
-0.100226055,0.013314744,0.003268551,-0.078492562,0.007870558,1.075547796,-0.355413066,-0.291426997
-0.100192383,-0.006868005,0.025576695,-0.070099232,-6.14E-05,1.816902314,-0.029510832,-0.85891044
-0.113474585,-0.021674783,0.012476033,-0.155929504,-0.029552399,-0.036483982,-0.127281502,0.354239487
-0.115665879,0.067529938,0.18151468,-0.008877335,0.003670623,-0.036483982,-0.127281502,-2.483796484
-0.113547167,-0.021476157,0.012707183,-0.155661118,-0.029808363,-0.036483982,-0.127281502,0.744554299
-0.113623764,-0.021269975,0.01291295,-0.15548808,-0.030022357,-0.036483982,0.214915843,-0.536349645
