PCNM7,PCNM3,PCNM29,PCNM48,PCNM8,PCNM43,PCNM34,PCNM15,PCNM46,TEMPSD,redundancy_sp
0.123417465,-0.142599927,-0.062612478,-0.026950254,0.155634444,-0.048957056,-0.041093706,0.157713224,0.167473937,0.166030508,-2.234883958
0.088007126,-0.142646304,0.020510768,-0.192808842,0.142424162,-0.072603149,-0.014611156,0.130512702,0.367175345,-0.078396167,-0.313711744
0.088067425,-0.142666635,0.020271147,0.135894734,0.142533033,0.069931612,-0.014183631,0.130111326,-0.215880344,0.003079391,-0.580991572
0.087994056,-0.142723533,0.020243505,0.079832474,0.142522953,0.079215052,-0.014375887,0.130280168,-0.29468672,0.003079391,0.911713698
-0.075530553,-0.157560345,0.02174563,-0.201714023,0.006059162,-0.067914557,-0.004455103,0.169966695,0.024994532,-0.257642396,1.00245602
-0.07545406,-0.15759371,0.021869353,-0.158650744,0.006172011,-0.069818535,-0.004394968,0.170018939,0.03850388,-0.159871726,1.575893734
-0.076331617,-0.157209162,0.020386568,0.364213155,0.004530185,0.138735917,-0.002103232,0.167783239,-0.063505338,-0.502069071,-0.246494888
-0.009912774,-0.162945734,-0.028318713,-0.314839134,-0.015330348,0.070791474,-0.011351801,-0.103486666,-0.095639901,-0.143576614,1.798362004
-0.009217774,-0.163075527,-0.027805994,0.059876874,-0.014695224,0.023825017,-0.011551522,-0.103854003,0.001016889,0.214915843,0.236924812
-0.009377874,-0.163041395,-0.028046517,-0.106418804,-0.014857894,-0.016291693,-0.012359588,-0.103642161,-0.016709149,-0.143576614,-0.805827617
-0.008499298,-0.163187189,-0.027419475,0.357086901,-0.014058229,-0.081508116,-0.012709228,-0.104078177,0.105026638,0.214915843,-0.359872476
-0.161027459,-0.080223701,-0.187990468,0.005816308,-0.170952196,-0.015153877,0.022606878,-0.048145818,-0.052106915,-0.355413066,0.788229639
-0.161167767,-0.08043906,-0.188281687,0.115045468,-0.17096657,-0.077686732,0.022132793,-0.048088652,-0.275505305,-0.502069071,1.542581502
