PCNM7,PCNM3,PCNM8,PCNM15,PCNM48,PCNM10,PCNM4,PCNM34,PCNM5,TEMPSD,uniqueness
0.123417465,-0.142599927,0.155634444,0.157713224,-0.026950254,-0.033134008,0.033598171,-0.041093706,-0.060511407,0.166030508,0.087565774
0.088007126,-0.142646304,0.142424162,0.130512702,-0.192808842,-0.023733464,0.029884005,-0.014611156,-0.058424649,-0.078396167,-0.556868594
0.088067425,-0.142666635,0.142533033,0.130111326,0.135894734,-0.023661863,0.029345837,-0.014183631,-0.058847505,0.003079391,0.297780313
0.087994056,-0.142723533,0.142522953,0.130280168,0.079832474,-0.023540974,0.029328982,-0.014375887,-0.058910886,0.003079391,-0.20670363
-0.075530553,-0.157560345,0.006059162,0.169966695,-0.201714023,0.063157573,-0.060009491,-0.004455103,-0.124810003,-0.257642396,-1.373585927
-0.07545406,-0.15759371,0.006172011,0.170018939,-0.158650744,0.06312398,-0.05998685,-0.004394968,-0.124825951,-0.159871726,-0.956062814
-0.076331617,-0.157209162,0.004530185,0.167783239,0.364213155,0.062974733,-0.060742254,-0.002103232,-0.125011349,-0.502069071,-0.189251053
-0.009912774,-0.162945734,-0.015330348,-0.103486666,-0.314839134,0.040023545,-0.02909931,-0.011351801,-0.116486281,-0.143576614,-2.266955458
-0.009217774,-0.163075527,-0.014695224,-0.103854003,0.059876874,0.039782898,-0.028780261,-0.011551522,-0.116414777,0.214915843,0.551997647
-0.009377874,-0.163041395,-0.014857894,-0.103642161,-0.106418804,0.039997109,-0.028706677,-0.012359588,-0.116325452,-0.143576614,1.025073185
-0.008499298,-0.163187189,-0.014058229,-0.104078177,0.357086901,0.039700403,-0.028290205,-0.012709228,-0.116208861,0.214915843,0.657871836
-0.161027459,-0.080223701,-0.170952196,-0.048145818,0.005816308,0.065618445,-0.12040185,0.022606878,-0.100732081,-0.355413066,-0.798345859
-0.161167767,-0.08043906,-0.17096657,-0.048088652,0.115045468,0.065955718,-0.120475407,0.022132793,-0.100998973,-0.502069071,-0.940879559
-0.160713171,-0.079821342,-0.170861876,-0.048250414,-0.121305177,0.064980038,-0.120248935,0.023409275,-0.100226055,-0.355413066,-1.546806782
