PCNM4,PCNM2,PCNM6,PCNM16,PCNM5,PCNM9
0.033598171,0.036914277,-0.0785943,-0.086625126,-0.060511407,-0.021122871
0.029884005,0.044895944,-0.101634871,-0.01525989,-0.058424649,-0.007987587
0.029345837,0.044858932,-0.100911722,-0.013013061,-0.058847505,-0.007200172
0.029328982,0.044873628,-0.100853678,-0.012927333,-0.058910886,-0.007213059
-0.060009491,0.043757123,0.093784639,0.072596963,-0.124810003,0.001754342
-0.05998685,0.043767114,0.093718453,0.072703895,-0.124825951,0.001787884
-0.060742254,0.043622763,0.095542498,0.071888057,-0.125011349,0.002566352
-0.02909931,0.047048022,0.066245197,-0.02286747,-0.116486281,0.05360638
-0.028780261,0.047099135,0.065539587,-0.022655396,-0.116414777,0.053735536
-0.028706677,0.047095339,0.065449313,-0.022993291,-0.116325452,0.053426868
-0.028290205,0.04715569,0.064523101,-0.022754452,-0.116208861,0.053546588
-0.12040185,0.019274815,0.233606834,-0.057028108,-0.100732081,0.029655548
-0.120475407,0.019328937,0.233871119,-0.056791766,-0.100998973,0.029858189
-0.120248935,0.019174048,0.233056505,-0.057412058,-0.100226055,0.029279315
-0.126850128,0.019341229,0.243026667,-0.075090746,-0.100192383,-0.012189374
-0.164788276,-0.005574247,-0.08295163,0.092014083,-0.113474585,-0.069069184
-0.147443598,-0.011116438,-0.052922917,-0.139439708,-0.115665879,0.002724287
-0.164793457,-0.005549818,-0.083197584,0.091571122,-0.113547167,-0.069209937
-0.164799939,-0.00552974,-0.083419791,0.091207305,-0.113623764,-0.069319
-0.126086841,-0.017310783,-0.020339862,-0.13492125,-0.114239662,0.046792799
-0.125997441,-0.017339188,-0.020016983,-0.134975842,-0.114090211,0.047043584
-0.126194376,-0.017270926,-0.020450514,-0.134546347,-0.11412595,0.04638163
0.080553138,-0.093603048,0.034956668,0.157088673,-0.051099998,-0.044666875
0.080837946,-0.093217746,0.034704188,0.157787105,-0.051367143,-0.044194827
0.079729191,-0.087336316,0.04085879,-0.013447055,-0.045676297,-0.086488886
0.080024379,-0.086850108,0.040562042,-0.01346621,-0.045921794,-0.086115609
-0.173325106,-0.113655453,-0.142596919,0.043616795,0.151556242,0.130886381
-0.17330442,-0.11353412,-0.142571629,0.043827597,0.151484992,0.130785693
-0.094678195,-0.178694038,-0.028833926,-0.039706539,0.106150743,-0.109294981
-0.080175192,-0.186517837,-0.025055642,-0.057946027,0.088522915,-0.091440772
-0.080036459,-0.18669588,-0.024847756,-0.057785649,0.088442389,-0.09168301
0.024586501,0.08097599,-0.006646762,-0.045558987,0.015716771,0.043161329
0.006287975,0.111738689,0.001615453,0.086453871,-0.004358223,-0.173413478
0.024889126,0.08072729,-0.006868835,-0.045656858,0.0153413,0.043217794
0.055078896,0.065631813,0.019275912,-0.023992016,0.023974599,0.113451841
0.009436255,-0.127035979,-0.049720184,0.037928316,0.037544193,0.16766244
