Ca,Mg,K,P,OrganicMatter,SAND,LIMO,CLAY,pH,ACIDITY
4.47,1.83,0.22,2,4.39,35.21,21.6,43.19,4.7,7.26
0.62,0.47,0.06,3.2,6.8,29.2,19.6,51.2,4.4,3.4
11.02,3.78,0.28,1.8,4.6,39.21,27.59,33.19,5.7,0.22
6.81,2.89,0.1,1.3,1.9,25.21,29.59,45.19,5.9,1.57
0.15,0.3,0.05,3,6.6,23.21,13.2,63.59,4.5,2.54
0.14,0.46,0.06,2.7,7.02,22.81,13.6,63.59,4.6,2.28
0.13,0.15,0.06,4.6,7.89,26.82,11.6,61.59,4.2,2.76
0.27,0.25,0.05,2.4,6.19,22.81,13.6,63.59,4.5,1.89
0.29,0.22,0.06,2.8,6.46,16.81,15.6,67.59,4.4,2.22
0.29,0.27,0.05,2.1,5.39,12.82,15.6,71.59,4.5,2.34
0.22,0.17,0.06,2.9,7.04,24.81,15.6,59.59,4.5,1.68
0.46,0.63,0.05,1.2,4.39,24.81,23.6,51.59,5,2.29
1.55,1.35,0.1,1.5,6.11,34.8,19.6,45.6,5,2.79
0.36,0.36,0.03,1.2,1.65,10.42,31.99,57.59,5,4.57
0.3,0.55,0.07,2.1,3.71,12.41,25.6,61.99,4.6,3.77
9.43,5.59,0.22,15.1,2.73,21.61,30.6,47.79,6.2,0.28
8.39,5.39,0.09,5.6,2.06,18.62,31.59,49.79,5.8,1.44
4.49,3.92,0.13,2,3.37,15.61,41.59,42.79,5.5,3.26
8.55,5.4,0.21,13.6,2.65,17.61,41.99,40.39,6.4,0.1
0.41,0.3,0.09,3.1,4.96,16.81,11.6,71.59,4.3,3.88
0.26,0.18,0.05,2.6,5.1,24.81,11.6,63.59,4.3,3.33
0.53,0.3,0.06,3.9,6.71,24.81,11.6,63.59,4.4,3.41
1.397,0.312,0.075,1.7,6.91,29.01,14,56.99,4.73,2.663
0.422,0.159,0.06,2.33,5.98,29.01,14,56.99,4.41,3.712
0.25,0.185,0.089,2.95,9.42,41.5,11,47.5,4.21,4.225
0.354,0.243,0.072,1.86,5.7,19.02,16,64.99,4.53,3.351
0.272,0.26,0.066,1.16,13.37,74,16,10,4.82,1.662
0.432,0.218,0.062,1.04,10.23,74.01,16,10,4.92,0.931
0.364,0.235,0.095,3.44,20.54,76.51,16,7.5,4.49,2.16
0.392,0.216,0.155,3.42,21.99,73.5,14,12.5,4.57,1.446
0.182,0.17,0.1,1.63,19.41,76,17,7,4.61,1.103
0.179,0.144,0.083,2.69,11.51,68.51,14.5,17,4.59,1.544
0.177,0.14,0.071,3.57,8.73,48.51,19,32.49,4.35,2.634
0.144,0.177,0.098,2.39,10.33,51,19,30,4.31,2.309
0.17,0.135,0.072,1.84,9.74,73.5,14,12.5,4.68,1.546
0.616,0.122,0.083,2.7,10.14,60.5,14.5,25,4.34,2.334
0.333,0.309,0.106,1.5,13,80.5,7,12.5,4.5,1.962
0.262,0.166,0.077,1.7,12.38,80.5,12,7.5,4.6,2.115
0.152,0.114,0.043,0.69,6.66,72.5,14.5,13,4.63,1.258
0.243,0.273,0.105,2.05,16.1,77.5,14.5,8,4.83,1.566
1.725,0.694,0.121,1.23,12.7,72.5,19.5,8,5.08,0.829
1.431,0.685,0.207,1.41,3.63,33,35,32,4.82,5.386
0.275,0.684,0.068,1.5,7.11,53.01,20,27,4.66,4.255
0.306,0.225,0.066,2.37,5.28,20.5,17.5,62,4.32,3.91
0.088,0.139,0.084,4.05,9.35,28.01,15,56.99,4.2,4.77
0.088,0.135,0.075,7.05,8.46,33.01,10,57,4.07,6.552
0.156,0.2,0.077,2.87,7.23,28.01,17.5,54.49,4.31,4.053
0.551,0.293,0.061,0.94,4.66,35.51,17.5,46.99,4.75,2.583
0.203,0.18,0.055,1.84,4.8,33.01,22.5,44.49,4.64,2.789
0.096,0.174,0.059,0.97,10.83,60.5,15,24.5,5,1.441
0.257,0.275,0.085,1.64,5.03,30.51,17.5,51.99,4.48,3.251
0.186,0.138,0.075,1.39,5.41,30.51,15,54.49,4.33,2.848
0.271,0.283,0.057,0.86,3.87,23.01,22.5,54.49,4.58,2.696
0.4,0.34,0.04,2.1,4.7,12.81,15.6,71.59,4.5,2.2
0.21,0.3,0.04,2.3,4.15,14.82,17.6,67.59,4.4,3.72
0.3,0.35,0.05,2.4,5.55,16.81,15.6,67.59,4.4,4.12
0.22,0.41,0.06,3.7,7.07,16.81,15.6,67.59,4.4,2.75
