SAND,LIMO,CLAY,pH,ACIDITY
35.21,21.6,43.19,4.7,7.26
29.2,19.6,51.2,4.4,3.4
39.21,27.59,33.19,5.7,0.22
25.21,29.59,45.19,5.9,1.57
23.21,13.2,63.59,4.5,2.54
22.81,13.6,63.59,4.6,2.28
26.82,11.6,61.59,4.2,2.76
22.81,13.6,63.59,4.5,1.89
16.81,15.6,67.59,4.4,2.22
12.82,15.6,71.59,4.5,2.34
24.81,15.6,59.59,4.5,1.68
24.81,23.6,51.59,5,2.29
34.8,19.6,45.6,5,2.79
10.42,31.99,57.59,5,4.57
12.41,25.6,61.99,4.6,3.77
21.61,30.6,47.79,6.2,0.28
18.62,31.59,49.79,5.8,1.44
15.61,41.59,42.79,5.5,3.26
17.61,41.99,40.39,6.4,0.1
16.81,11.6,71.59,4.3,3.88
24.81,11.6,63.59,4.3,3.33
24.81,11.6,63.59,4.4,3.41
29.01,14,56.99,4.73,2.663
29.01,14,56.99,4.41,3.712
41.5,11,47.5,4.21,4.225
19.02,16,64.99,4.53,3.351
74,16,10,4.82,1.662
74.01,16,10,4.92,0.931
76.51,16,7.5,4.49,2.16
73.5,14,12.5,4.57,1.446
76,17,7,4.61,1.103
68.51,14.5,17,4.59,1.544
48.51,19,32.49,4.35,2.634
51,19,30,4.31,2.309
73.5,14,12.5,4.68,1.546
60.5,14.5,25,4.34,2.334
80.5,7,12.5,4.5,1.962
80.5,12,7.5,4.6,2.115
72.5,14.5,13,4.63,1.258
77.5,14.5,8,4.83,1.566
72.5,19.5,8,5.08,0.829
33,35,32,4.82,5.386
53.01,20,27,4.66,4.255
20.5,17.5,62,4.32,3.91
28.01,15,56.99,4.2,4.77
33.01,10,57,4.07,6.552
28.01,17.5,54.49,4.31,4.053
35.51,17.5,46.99,4.75,2.583
33.01,22.5,44.49,4.64,2.789
60.5,15,24.5,5,1.441
30.51,17.5,51.99,4.48,3.251
30.51,15,54.49,4.33,2.848
23.01,22.5,54.49,4.58,2.696
12.81,15.6,71.59,4.5,2.2
14.82,17.6,67.59,4.4,3.72
16.81,15.6,67.59,4.4,4.12
16.81,15.6,67.59,4.4,2.75
40.51,15,44.49,4.22,4.641
30.52,17.5,51.99,3.83,4.994
20.51,20,59.5,4.59,2.657
13.01,25,61.99,4.19,3.739
66,19.5,14.5,4.49,1.472
80.5,12,7.5,4.28,2.234
75.5,12,12.5,4.48,2.393
66,17.5,16.5,4.6,1.362
68.51,17.5,14,4.52,3.602
41.01,17.5,41.49,4.31,3.249
36.01,17.5,46.49,4.31,3.626
31.02,15,53.99,4.22,4.136
25.51,20.5,53.99,4.34,3.475
58.5,19.5,22,4.44,2.152
43.01,15.5,41.49,4.36,3.009
55.5,20.5,24,4.32,2.808
40.51,18,41.49,4.21,3.847
15.51,15.5,68.99,4.68,2.661
25.51,15.5,58.99,4.3,4.351
30.51,13,56.49,4.4,3.788
20.52,13,66.48,4.23,4.308
21.5,12.5,66,4.49,3.563
29.02,15,55.98,4.51,2.742
26.52,15,58.49,4.57,2.901
21.51,17.5,60.99,4.39,3.377
16.52,12.5,70.99,4.47,3.608
19.02,20,60.99,4.36,3.436
19.01,17.5,63.49,4.44,3.361
21.52,15,63.49,4.36,3.951
29.01,15,55.99,4.26,4.02
21.51,17.5,60.99,4.3,3.72
21.52,15,63.49,4.48,3.171
19.01,17.5,63.49,4.17,5.248
22.42,15.6,61.99,4.5,2.66
20.42,13.6,65.98,4.6,2.53
49.01,17.5,33.5,4.56,2.328
19.01,15,65.99,4.38,3.774
21.51,17.5,60.99,4.27,4.511
21.52,15,63.49,4.41,3.338
31,13,56,4.4,4.425
13.51,13,73.49,5.44,2.867
18.52,13,68.49,4.3,3.829
74,10,16,4.26,3.679
39.01,17.5,43.49,4.72,1.329
36.51,15,48.5,4.48,2.848
26.51,25,48.49,4.28,3.937
51.51,17.5,30.99,4.57,2.685
41.51,20,38.49,4.52,2.567
44,17.5,38.5,4.33,2.177
69,12.5,18.5,4.44,1.731
66.51,12.5,21,4.4,2.044
76.5,12.5,11,4.79,1.568
69,12.5,18.5,4.56,1.897
74.01,17.5,8.5,4.3,2.524
79,17.5,3.5,4.7,0.564
74,10,16,4.6,1.584
66.5,12.5,21,4.94,1.999
30.41,14.8,54.79,4.8,4.19
32.41,12.8,54.79,4.3,5.13
28.41,12.8,58.79,4.4,4.89
56.4,13.6,30,4.4,2.92
32.41,15.6,51.99,4.8,1.35
26.01,12,62,4.8,2.83
38.01,15.6,46.39,4.7,1.77
32,15.6,52.4,4.5,2.06
8.02,13.6,78.38,4.6,2.29
12.02,13.6,74.39,4.5,2.64
16.01,13.6,70.39,4.6,2.31
10.01,13.6,76.39,4.6,2.72
22.01,17.6,60.39,4.7,1.77
