ELEV,SLOPE_PER,SLOPE_DEG
133,11.1,5.71
228,27.66,14.72
187,17.16,10.32
220,18.12,10.02
40,16.93,8.59
44,8.44,5.05
40,0,0
60,0,0
60,0,0
60,0,0
60,0,0
200,3.34,0
164,35.36,25.45
120,5.3,0
67,23.57,14.88
40,0,0
40,0,0
40,0,0
40,0,0
40,0,0
40,0,0
40,0,0
199,1.96,2.86
189,4.96,3.2
204,30.41,20.39
220,0,0
735,40.51,22.43
799,48.72,28
1203,11.93,7.05
1149,23.35,16.84
1122,6.71,8.11
399,11.04,8.11
300,19.7,0
391,13.7,8.05
453,5.88,3.2
536,18.75,13.52
600,0,0
520,0,0
583,8.44,5.15
820,4.16,1.01
830,0,0
380,0,0
387,23.35,16.17
120,17.3,2.02
80,24.84,13.9
73,26.41,15.35
130,6.85,3.2
240,0,0
271,61.32,28.12
213,28.68,18.85
200,0,0
212,14.91,8.65
227,14.32,8.11
47,11.93,8.05
47,12.04,8.05
71,34.98,18.94
140,3.62,1.01
160,3.34,0
160,0,0
140,0,0
160,0.62,0
493,11.23,7.05
513,10.83,6.38
557,14.89,8.59
528,6.2,3.65
447,22.64,11.4
344,11.32,6.38
201,25.26,14.3
192,8.16,5.05
180,3.72,0
186,12.65,9.88
294,16.1,11
344,5.88,3.2
275,31.68,15.62
50,0,0
60,0,0
50,0,0
50,0,0
60,0,0
60,0,0
40,3.1,0
40,0,0
60,0,0
60,0,0
60,0,0
40,0,0
40,6.93,3.04
50,3.1,2.86
59,1.96,1.01
60,0,0
30,0,0
40,0,0
40,0.62,0
36,5.3,3.04
40,0,0
35,3.51,0
60,0,0
59,14.64,11.4
60,0,0
480,2.24,0
492,15.79,10.83
340,0,0
346,12.77,8.98
378,16.28,5.71
400,0,0
340,0,0
581,6.59,4.17
625,10.1,5.71
720,9.47,0
700,1.96,0
764,5.72,4.04
768,10.6,5.15
560,5.85,0
623,30.9,17.88
50,0,0
50,0,0
50,0,0
297,21.09,13.83
320,0,0
314,19.32,14.98
80,0,0
80,0,0
80,1.96,0
70,0,0
70,0,0
70,0,0
70,0,0
