CRTM_90_X,CRTM_90_Y
5.685546856,6.068358051
5.685236309,6.068512306
5.684778333,6.068351085
5.684727804,6.068413567
5.68122689,6.073199875
5.681243061,6.073158384
5.680608333,6.073125711
5.681602781,6.072259487
5.681778847,6.072106686
5.681845937,6.072309922
5.682080897,6.072136707
5.675665937,6.072682211
5.675986991,6.072676164
5.675119428,6.072624866
5.67565196,6.072142499
5.703061949,6.069266846
5.702797768,6.069204744
5.703178376,6.069136037
5.703246572,6.069004597
5.701669974,6.0693513
5.70157478,6.069484729
5.701865933,6.069492216
5.692842298,6.060204763
5.693122229,6.060222895
5.693137991,6.06010085
5.693456788,6.060087853
5.684230421,6.056040961
5.684063828,6.056180001
5.688871051,6.054871366
5.689233429,6.054963173
5.689279633,6.055091003
5.698555469,6.055592846
5.699155662,6.05553007
5.698448005,6.055724923
5.697688546,6.055656314
5.691206226,6.057394435
5.691134124,6.057167388
5.691230835,6.057064698
5.690839805,6.057284922
5.682975832,6.055885019
5.682186433,6.055999502
5.683766189,6.057719554
5.683580342,6.057794992
5.694491108,6.060873841
5.694067078,6.061369168
5.694163258,6.06147346
5.693497626,6.061145098
5.689492096,6.05968897
5.689222704,6.059338305
5.689991219,6.059897103
5.690193614,6.060081041
5.699349536,6.057814474
5.699153681,6.057893768
5.695496865,6.068309035
5.695247648,6.068427868
5.694818891,6.068435545
5.694495385,6.068423903
5.699328595,6.0583054
5.699315201,6.058485443
5.699094652,6.058701691
5.69860294,6.058779608
5.698082831,6.055057526
5.697692815,6.055121401
5.697601025,6.054977345
5.697922236,6.054948514
5.69817296,6.05520882
5.699423966,6.055140937
5.697943998,6.058481046
5.698088054,6.058588857
5.698490313,6.058589858
5.698230693,6.058353992
5.698823936,6.057472071
5.698183928,6.057513456
5.699088207,6.057511078
5.687852171,6.071575895
5.68812052,6.071674504
5.688314819,6.071161848
5.68827285,6.071344601
5.690885204,6.073154
5.691073584,6.073048407
5.692084501,6.075135167
5.692359963,6.07504684
5.694087684,6.073414727
5.694472245,6.073359689
5.694504579,6.073505693
5.695602682,6.072655556
5.69532987,6.072657765
5.689307942,6.07060224
5.68897411,6.070557126
5.689092011,6.070436799
5.695245258,6.066075083
5.695580757,6.066141483
5.698358493,6.072443158
5.698495307,6.072159841
5.69884732,6.072254257
5.69913001,6.072157077
5.687646999,6.073936394
5.687541075,6.074088259
5.687824153,6.07419902
5.692914789,6.057412223
5.693153978,6.057612626
5.693294336,6.05873044
5.693153636,6.058647275
5.693025072,6.05843818
5.692964485,6.058320495
5.693567969,6.058786538
5.70140793,6.052065327
5.701135601,6.052131907
5.700323161,6.052560318
5.700562207,6.052538635
5.699542828,6.05274997
5.699313568,6.052813937
5.701503293,6.052827207
5.701672648,6.05293428
5.701942354,6.063020848
5.701897788,6.062890824
5.701854081,6.062760782
5.706060214,6.052682527
5.705707697,6.052675317
5.705409496,6.052716717
5.691250803,6.062455557
5.690990153,6.06245323
5.682514771,6.066509372
5.682522591,6.066613909
5.670118971,6.066305695
5.67028975,6.06615865
5.669994361,6.066133355
