cwm_af,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
1942954.842,11.31,406.2404545,0.276818182,22.39931818,1.047272727
1510380.886,11.03951613,425.7556452,0.430806452,21.72758065,0.953225806
2015673.977,11.275,395.6309259,0.271111111,22.63074074,1.149259259
2146583.781,11.28942029,386.1572464,0.267391304,22.8315942,1.223333333
1848809.867,10.05224138,425.4091379,0.400689655,20.32741379,0.886551724
1363216.196,9.943111111,419.4148889,0.476,19.72377778,0.883555556
1858545.873,9.86975,432.58025,0.3665,20.344,0.88275
1848188.924,10.895,426.8495455,0.420681818,20.72113636,0.951136364
1170773.572,11.41263158,423.2192105,0.386842105,21.92289474,0.991578947
1130622.889,11.86222222,429.8142593,0.422777778,23.84759259,0.997777778
1614517.776,10.52521739,434.7204348,0.403478261,22.15217391,1.00673913
1997419.68,10.29575,430.358,0.35525,19.176,0.85725
1498366.014,11.56625,411.7147917,0.388333333,20.31020833,0.884583333
1480168.036,11.15666667,423.0466667,0.443703704,19.93888889,0.873148148
1861234.278,10.63824561,425.5029825,0.384912281,21.32403509,1
54264.80375,13.835,413.4358333,0.4875,27.90583333,1.12375
54237.68042,14.81,401.84875,0.460416667,28.62208333,1.179166667
105538.6935,12.8985,405.6835,0.538,26.017,1.113
245581.7186,13.19136364,414.275,0.479090909,26.02727273,1.078636364
839394.5709,13.05212121,409.9530303,0.417272727,24.57666667,1.034242424
1196944.152,11.9803125,417.1796875,0.3615625,24.08,1.02625
1194833.926,13.07452381,396.7828571,0.394047619,24.2702381,1.10952381
1268788.44,11.25790698,431.2369767,0.481627907,22.40674419,0.909069767
1776093.729,11.06025,432.3305,0.376,21.9625,0.97975
1109008.298,11.77416667,428.1863889,0.465833333,23.62,0.943055556
1199492.685,12.45192308,407.4144231,0.401346154,23.62076923,1.040961538
30329.02195,13.41341463,386.724878,0.550243902,19.23463415,0.923658537
646974.6931,15.59192308,373.3311538,0.435384615,26.86307692,1.22
35190.15056,15.56111111,385.225,0.608333333,26.20111111,1.183888889
29998.33476,15.88047619,383.7904762,0.601428571,26.44238095,1.190952381
37457.8055,16.7085,354.5,0.5705,27.321,1.3155
438515.0205,12.13666667,423.7366667,0.614761905,21.18571429,0.912380952
272775.6811,13.74684211,411.3736842,0.506315789,27.71315789,1.145789474
125862.0912,14.82923077,407.9207692,0.516538462,26.21461538,1.158461538
43253.17059,15.63823529,432.8341176,0.521176471,27.47588235,1.1
610524.5436,15.414,375.728,0.486,25.0104,1.2532
775937.2752,14.96142857,346.8028571,0.434761905,22.80714286,1.29047619
325357.536,14.3908,371.624,0.4756,22.776,1.1464
169228.4608,14.88692308,348.8519231,0.409230769,25.28923077,1.255769231
1383073.646,11.104,393.674,0.4195,19.33225,0.9655
1404845.365,13.27969697,369.2878788,0.382727273,23.71484848,1.231212121
993024.0015,12.09176471,412.2752941,0.497058824,20.62617647,1.105
1669740.157,11.73434783,399.0026087,0.347173913,22.29065217,1.173043478
1233986.71,12.20805556,425.395,0.430555556,23.64861111,1.038055556
1007023.666,11.69744681,420.7434043,0.460212766,23.71425532,1.005957447
1224822.767,11.33921053,413.8797368,0.469736842,22.71368421,0.963684211
1146572.886,11.86375,417.2325,0.48775,22.86125,1.0035
978186.7221,14.44517241,381.1624138,0.390344828,25.15586207,1.18
1225170.742,12.77026316,406.07,0.399736842,23.27947368,1.082894737
993920.8639,10.09321429,446.7625,0.624642857,19.51071429,0.808214286
396410.1471,13.73235294,401.8588235,0.525588235,25.03735294,1.137058824
400179.4953,12.95605263,419.9502632,0.52,25.91342105,1.038947368
445615.8919,15.09967742,401.1554839,0.476451613,28.05645161,1.21516129
1274660.585,11.686,428.464,0.425,23.20333333,1.023666667
974659.1443,11.595,430.4354545,0.45,24.75545455,1.031818182
786984.3872,13.68641026,413.2292308,0.553589744,23.74153846,1.054615385
1438180.271,10.9966,431.3308,0.439,22.2648,0.95
973012.576,13.0208,418.9892,0.428,23.926,1.0028
816945.7367,12.09538462,426.4366667,0.496666667,22.11487179,0.909487179
883936.3344,11.88296296,411.1848148,0.447777778,23.40814815,0.982592593
1028152.824,12.9795,394,0.3755,24.846,1.1265
