Q,U,redundancy
0.469914627,0.579461604,0.420538396
0.454815667,0.514511897,0.485488103
0.448749058,0.614921172,0.385078828
0.398418429,0.650504163,0.349495837
0.483023919,0.577842271,0.422157729
0.459310558,0.516724378,0.483275622
0.48834821,0.602899025,0.397100975
0.452015059,0.521514395,0.478485605
0.431411211,0.518267711,0.481732289
0.423014511,0.529403568,0.470596432
0.47542931,0.58083627,0.41916373
0.490286413,0.670477146,0.329522854
0.485166626,0.576792522,0.423207478
0.47499186,0.553587636,0.446412364
0.460935658,0.536767009,0.463232991
0.014793828,0.030874077,0.969125923
0.016714059,0.026594747,0.973405253
0.03493686,0.047858713,0.952141287
0.110811199,0.182423878,0.817576122
0.354444895,0.439624704,0.560375296
0.440532962,0.651886927,0.348113073
0.42478194,0.506979257,0.493020743
0.442040467,0.498373673,0.501626327
0.460146426,0.546979407,0.453020593
0.398622081,0.465418214,0.534581786
0.424064736,0.483419496,0.516580504
0.012252666,0.013203033,0.986796967
0.283923999,0.307584332,0.692415668
0.007085948,0.007809004,0.992190996
0.006920315,0.007825279,0.992174721
0.008734328,0.010039457,0.989960543
0.193019794,0.206606139,0.793393861
0.124947673,0.15553831,0.84446169
0.055670377,0.069950139,0.930049861
0.011999321,0.013235892,0.986764108
0.27179285,0.292880226,0.707119774
0.324763433,0.361668368,0.638331632
0.154796225,0.166806277,0.833193723
0.080440575,0.094079288,0.905920712
0.430534271,0.529888334,0.470111666
0.433391036,0.531489683,0.468510317
0.362499673,0.396077148,0.603922852
0.429079249,0.543671671,0.456328329
0.431221955,0.491092842,0.508907158
0.350774597,0.426216218,0.573783782
0.393654682,0.445483825,0.554516175
0.378651007,0.427250783,0.572749217
0.384109279,0.416283381,0.583716619
0.423005082,0.457885561,0.542114439
0.32757968,0.419644558,0.580355442
0.189961338,0.214448542,0.785551458
0.187698413,0.241135683,0.758864317
0.203919309,0.221681512,0.778318488
0.453967472,0.533382147,0.466617853
0.384493087,0.480864739,0.519135261
0.311512179,0.382722152,0.617277848
0.458234589,0.538339508,0.461660492
0.379620227,0.431386622,0.568613378
0.334312544,0.361656742,0.638343258
0.35631394,0.400853182,0.599146818
0.381863826,0.44925156,0.55074844
0.019871318,0.021270028,0.978729972
0.21657906,0.237066269,0.762933731
0.119928546,0.128685234,0.871314766
0.263151572,0.297451243,0.702548757
0.094176629,0.101965673,0.898034327
0.106222518,0.149452613,0.850547387
0.354486947,0.439156277,0.560843723
0.383889128,0.459395271,0.540604729
0.214451952,0.241615866,0.758384134
0.349889278,0.394307631,0.605692369
0.213094849,0.242298047,0.757701953
0.320466193,0.344360602,0.655639398
0.329685013,0.370656322,0.629343678
0.441442982,0.53656785,0.46343215
0.378401183,0.451144973,0.548855027
0.409652946,0.485434696,0.514565304
0.446073254,0.526619274,0.473380726
0.425686919,0.481661221,0.518338779
0.451888451,0.506621492,0.493378508
0.376103421,0.425634899,0.574365101
0.359372627,0.460262073,0.539737927
0.416059717,0.493349643,0.506650357
0.371756436,0.472268362,0.527731638
0.46620695,0.536076162,0.463923838
0.294545767,0.335468515,0.664531485
0.357027263,0.425331341,0.574668659
0.450075297,0.555802382,0.444197618
0.426243933,0.497883893,0.502116107
0.429549129,0.514393642,0.485606358
0.491278815,0.672388415,0.327611585
0.456130811,0.526185032,0.473814968
0.419301452,0.493501366,0.506498634
0.374953398,0.441305445,0.558694555
0.425798911,0.490252034,0.509747966
0.432072834,0.588159145,0.411840855
0.418901292,0.473089144,0.526910856
0.344622061,0.41480107,0.58519893
0.455278092,0.506009911,0.493990089
0.141161538,0.152264131,0.847735869
0.021804823,0.023037508,0.976962492
0.333619876,0.387964245,0.612035755
0.395103067,0.429395031,0.570604969
0.314197315,0.351058453,0.648941547
0.20128263,0.214276826,0.785723174
0.335342899,0.412400416,0.587599584
0.395543219,0.440580318,0.559419682
0.380882441,0.482584036,0.517415964
0.274504913,0.297567826,0.702432174
0.275084463,0.300573058,0.699426942
0.344759987,0.420724052,0.579275948
0.302607813,0.44774444,0.55225556
0.231234769,0.248723113,0.751276887
0.327717097,0.358750913,0.641249087
0.399829612,0.486529507,0.513470493
0.344165849,0.432625005,0.567374995
0.257475186,0.323142048,0.676857952
0.358447283,0.520344168,0.479655832
0.380644242,0.432128275,0.567871725
0.305542405,0.409208578,0.590791422
0.446391706,0.528439759,0.471560241
0.442770431,0.544602004,0.455397996
0.474244693,0.619885519,0.380114481
0.364610734,0.568572246,0.431427754
0.073797183,0.121039731,0.878960269
0.129220587,0.182083555,0.817916445
0.29793282,0.478538113,0.521461887
